C199S_1,C199S1_BG,C199S_2,C199S2_BG,C199S_3,C199S3_BG,C199S4,C199S4_BG,C199S5,C199S5_BG,C199S6,C199S6_BG,C199S7,C199S7_BG,C199S8,C199S8_BG,C199S9,C199S9_BG,C199S10,C199S10_BG,C199S11,C199S11_BG,C199S12,C199S12_BG,C199S13,C199S13_BG,C199S14,C199S14_BG,C199S15,C199S15_BG,C199S16,C199S16_BG
7.165,0.482,6.468,0.35,5.7,0.356,14.508,3.842,12.218,1.168,10.396,0.285,9.325,0.48,20.582,0.48,7.815,0.107,8.271,0.224,9.635,0.475,11.185,0.411,1.567,0.586,10.385,0.874,6.981,0.874,11.175,0.372
7.063,0.443,6.498,0.352,7.869,0.348,14.158,5.775,11.871,1.107,10.067,0.316,9.083,0.48,20.198,0.48,7.6,0.179,7.985,0.245,9.686,0.499,11.12,0.318,1.561,0.643,9.772,0.915,6.797,0.915,10.9,0.5
7.07,0.409,6.481,0.377,7.886,0.336,14.215,5.988,11.808,0.974,10.062,0.269,8.631,0.408,19.653,0.408,7.421,0.194,7.752,0.224,9.651,0.482,11.081,0.4,1.534,0.57,9.559,0.859,6.786,0.859,10.761,0.469
6.978,0.423,6.564,0.348,7.881,0.346,14.237,6.309,12.011,0.964,9.967,0.296,8.264,0.474,19.13,0.474,7.33,0.189,7.593,0.219,9.533,0.488,10.913,0.334,1.574,0.626,9.427,0.835,6.795,0.835,10.771,0.443
6.913,0.441,6.524,0.298,7.827,0.36,14.292,6.364,11.968,0.944,10.001,0.273,8.221,0.474,18.826,0.474,7.243,0.179,7.444,0.199,9.442,0.526,10.725,0.357,1.553,0.6,9.352,0.856,6.774,0.856,10.635,0.458
6.818,0.435,6.505,0.292,7.807,0.308,14.313,6.682,12.044,0.857,9.915,0.298,7.92,0.51,18.561,0.51,7.167,0.148,7.302,0.179,9.241,0.502,10.493,0.374,1.559,0.526,9.313,0.917,6.777,0.917,10.554,0.469
6.718,0.399,6.462,0.346,7.723,0.296,14.375,7.333,12.101,0.985,9.978,0.269,7.827,0.505,18.179,0.505,7.095,0.107,7.214,0.204,9.09,0.466,10.229,0.347,1.537,0.488,9.242,0.867,6.79,0.867,10.456,0.63
6.618,0.372,6.444,0.283,7.635,0.296,14.263,7.629,12.037,0.903,9.948,0.33,7.58,0.444,17.865,0.444,7.026,0.204,7.062,0.179,8.831,0.493,10.035,0.368,1.529,0.555,9.159,0.901,6.755,0.901,10.372,0.666
6.529,0.421,6.411,0.316,7.521,0.342,14.165,8.711,11.945,0.857,9.929,0.33,7.436,0.378,17.498,0.378,6.919,0.209,7.028,0.26,8.7,0.483,9.795,0.4,1.538,0.594,9.003,0.872,6.767,0.872,10.274,0.455
6.441,0.417,6.353,0.292,7.458,0.34,14.027,10.184,11.8,0.827,9.842,0.294,7.326,0.434,17.039,0.434,6.861,0.168,6.935,0.199,8.553,0.458,9.575,0.403,1.496,0.555,8.874,0.83,6.657,0.83,10.008,0.551
6.333,0.496,6.335,0.283,7.334,0.356,13.861,10.565,11.626,0.755,9.744,0.277,7.092,0.52,16.89,0.52,6.81,0.148,6.852,0.214,8.419,0.443,9.49,0.336,1.533,0.552,8.631,0.88,6.609,0.88,9.881,0.346
6.197,0.458,6.28,0.283,7.207,0.334,13.62,11.598,11.439,0.837,9.591,0.294,6.974,0.556,16.65,0.556,6.783,0.122,6.743,0.153,8.337,0.477,9.395,0.411,1.558,0.579,8.422,0.891,6.543,0.891,9.649,0.602
6.131,0.451,6.224,0.3,7.113,0.328,13.498,11.498,11.242,0.929,9.557,0.267,6.833,0.423,16.375,0.423,6.738,0.224,6.626,0.23,8.255,0.533,9.274,0.427,1.551,0.56,8.23,0.782,6.454,0.782,9.465,0.489
5.978,0.449,6.148,0.31,7.013,0.356,13.285,10.533,11.145,0.888,9.384,0.352,6.681,0.403,16.09,0.403,6.623,0.138,6.513,0.173,8.236,0.458,9.123,0.406,1.544,0.589,8.099,0.803,6.417,0.803,9.325,0.346
5.875,0.433,6.034,0.251,6.937,0.308,13.041,7.995,10.913,0.806,9.256,0.249,6.53,0.408,15.652,0.408,6.567,0.112,6.457,0.219,8.105,0.526,8.992,0.398,1.556,0.589,7.992,0.808,6.345,0.808,9.151,0.584
5.804,0.413,6.012,0.271,6.842,0.36,12.917,6.904,10.755,0.939,9.172,0.253,6.319,0.413,15.478,0.413,6.51,0.173,6.386,0.24,8.015,0.488,8.865,0.395,1.533,0.592,7.852,0.834,6.353,0.834,9.016,0.479
5.768,0.399,5.93,0.245,6.756,0.33,12.782,6.1,10.671,0.929,9.198,0.277,6.333,0.434,15.24,0.434,6.487,0.179,6.27,0.255,7.924,0.466,8.853,0.416,1.545,0.606,7.759,0.811,6.356,0.811,8.875,0.644
5.626,0.385,5.842,0.298,6.687,0.344,12.715,6.653,10.601,0.801,9.147,0.302,6.195,0.357,15.091,0.357,6.421,0.102,6.164,0.194,7.859,0.467,8.747,0.387,1.552,0.515,7.646,0.821,6.355,0.821,8.809,0.356
5.606,0.409,5.773,0.255,6.642,0.322,12.526,5.426,10.453,0.903,9.109,0.304,6.035,0.383,14.729,0.383,6.373,0.148,6.111,0.173,7.726,0.482,8.497,0.39,1.528,0.549,7.577,0.846,6.298,0.846,8.678,0.62
5.568,0.401,5.756,0.249,6.634,0.34,12.475,5.486,10.406,0.786,9.04,0.283,5.931,0.541,14.486,0.541,6.361,0.158,6.082,0.194,7.724,0.464,8.51,0.442,1.532,0.582,7.479,0.813,6.279,0.813,8.598,0.586
5.512,0.379,5.692,0.292,6.553,0.324,12.415,4.641,10.308,0.908,9.029,0.316,5.854,0.474,14.34,0.474,6.308,0.153,6.021,0.153,7.628,0.437,8.374,0.41,1.529,0.651,7.407,0.795,6.296,0.795,8.428,0.55
5.423,0.377,5.623,0.255,6.533,0.281,12.372,4.301,10.153,0.862,8.975,0.31,5.788,0.449,14.113,0.449,6.256,0.112,5.983,0.199,7.55,0.544,8.373,0.408,1.549,0.587,7.368,0.819,6.265,0.819,8.38,0.537
5.408,0.413,5.602,0.291,6.546,0.33,12.255,3.811,10.099,0.893,8.931,0.31,5.701,0.526,13.859,0.526,6.221,0.128,5.975,0.235,7.492,0.461,8.278,0.421,1.534,0.581,7.276,0.805,6.235,0.805,8.338,0.615
5.331,0.415,5.573,0.352,6.457,0.322,12.207,3.483,10.054,0.883,8.919,0.298,5.577,0.423,13.638,0.423,6.143,0.133,5.872,0.209,7.466,0.47,8.33,0.368,1.545,0.614,7.245,0.784,6.21,0.784,8.258,0.569
5.304,0.419,5.518,0.298,6.428,0.33,12.025,3.194,9.952,0.791,8.766,0.287,5.526,0.495,13.46,0.495,6.164,0.168,5.819,0.173,7.416,0.49,8.224,0.379,1.539,0.597,7.187,0.73,6.203,0.73,8.149,0.613
5.276,0.423,5.563,0.332,6.394,0.36,12.009,2.775,9.897,0.832,8.849,0.304,5.489,0.434,13.34,0.434,6.134,0.143,5.765,0.184,7.366,0.506,8.107,0.368,1.583,0.6,7.156,0.805,6.216,0.805,8.103,0.623
5.163,0.381,5.482,0.338,6.35,0.36,11.927,2.658,9.79,0.765,8.747,0.306,5.467,0.423,13.243,0.423,6.103,0.117,5.841,0.209,7.333,0.458,8.144,0.4,1.578,0.624,7.086,0.808,6.205,0.808,8.116,0.603
5.102,0.415,5.469,0.306,6.322,0.34,11.922,2.634,9.668,0.98,8.722,0.316,5.395,0.413,13.2,0.413,6.085,0.153,5.754,0.214,7.306,0.461,8.063,0.379,1.576,0.638,7.099,0.776,6.229,0.776,7.993,0.62
5.104,0.391,5.483,0.332,6.262,0.289,11.783,2.531,9.552,0.878,8.642,0.291,5.389,0.398,12.932,0.398,6.01,0.153,5.748,0.204,7.184,0.486,7.978,0.461,1.572,0.605,7.049,0.786,6.195,0.786,7.994,0.526
5.033,0.429,5.525,0.336,6.259,0.366,11.744,2.383,9.512,0.918,8.648,0.296,5.337,0.474,12.727,0.474,6.013,0.23,5.713,0.214,7.176,0.464,8.017,0.432,1.584,0.594,7.017,0.758,6.224,0.758,7.984,0.556
5.027,0.427,5.459,0.318,6.249,0.334,11.569,2.337,9.354,0.776,8.454,0.289,5.333,0.464,12.595,0.464,5.997,0.122,5.623,0.173,7.244,0.442,7.922,0.432,1.573,0.67,7.023,0.757,6.222,0.757,7.9,0.476
4.993,0.433,5.577,0.281,6.255,0.348,11.596,2.347,9.358,0.709,8.452,0.298,5.285,0.362,12.502,0.362,6.004,0.179,5.743,0.194,7.124,0.486,7.906,0.403,1.577,0.645,6.971,0.776,6.217,0.776,7.892,0.541
4.947,0.425,5.543,0.356,6.189,0.344,11.553,2.4,9.324,0.74,8.498,0.306,5.273,0.357,12.444,0.357,5.999,0.153,5.704,0.24,7.085,0.478,7.871,0.358,1.574,0.614,6.976,0.71,6.228,0.71,7.864,0.478
4.934,0.476,5.616,0.294,6.138,0.352,11.506,2.268,9.285,0.847,8.464,0.281,5.328,0.52,12.424,0.52,5.966,0.163,5.695,0.153,7.019,0.499,7.798,0.43,1.557,0.568,7.009,0.789,6.224,0.789,7.838,0.377
4.84,0.449,5.632,0.338,6.102,0.354,11.5,2.311,9.173,0.827,8.394,0.328,5.266,0.413,12.163,0.413,5.983,0.153,5.715,0.209,6.993,0.47,7.828,0.376,1.584,0.574,6.967,0.707,6.232,0.707,7.817,0.368
4.9,0.445,5.63,0.3,6.107,0.37,11.455,2.242,9.177,0.852,8.469,0.294,5.223,0.459,12.112,0.459,5.897,0.117,5.64,0.189,6.979,0.446,7.742,0.432,1.593,0.642,6.91,0.736,6.226,0.736,7.784,0.359
4.811,0.439,5.633,0.287,6.113,0.326,11.412,2.187,9.125,0.837,8.348,0.32,5.122,0.393,11.884,0.393,5.914,0.148,5.518,0.235,6.963,0.45,7.785,0.392,1.582,0.565,6.866,0.758,6.241,0.758,7.667,0.356
4.798,0.425,5.615,0.302,6.094,0.294,11.426,2.249,9.007,0.781,8.4,0.291,5.107,0.469,11.846,0.469,5.905,0.112,5.511,0.27,6.912,0.435,7.796,0.402,1.586,0.656,6.844,0.72,6.265,0.72,7.654,0.383
4.773,0.451,5.641,0.308,6.079,0.35,11.419,2.244,8.988,0.903,8.286,0.336,5.068,0.434,11.766,0.434,5.906,0.128,5.562,0.168,7.003,0.44,7.898,0.374,1.602,0.61,6.917,0.792,6.261,0.792,7.672,0.414
4.784,0.47,5.632,0.334,6.008,0.348,11.402,2.184,8.934,0.796,8.337,0.287,5,0.449,11.438,0.449,5.856,0.153,5.54,0.214,7.006,0.467,7.968,0.379,1.611,0.6,6.88,0.773,6.226,0.773,7.646,0.376
4.681,0.423,5.59,0.287,5.975,0.318,11.338,2.077,8.85,0.842,8.209,0.308,4.891,0.413,11.234,0.413,5.817,0.133,5.49,0.204,7.064,0.506,8.022,0.392,1.633,0.562,6.876,0.699,6.217,0.699,7.615,0.34
4.686,0.354,5.508,0.296,5.946,0.32,11.293,2.065,8.893,0.791,8.183,0.281,4.899,0.474,11.11,0.474,5.841,0.163,5.453,0.168,7.07,0.458,8.075,0.414,1.629,0.613,6.836,0.722,6.247,0.722,7.554,0.355
4.643,0.372,5.564,0.229,5.952,0.379,11.252,2.098,8.837,0.735,8.245,0.296,4.963,0.485,11.095,0.485,5.837,0.158,5.511,0.194,7.143,0.414,8.119,0.373,1.659,0.629,6.805,0.664,6.233,0.664,7.588,0.377
4.693,0.397,5.574,0.263,5.942,0.306,11.268,2.002,8.816,0.791,8.128,0.322,4.84,0.444,10.983,0.444,5.778,0.189,5.479,0.224,7.108,0.477,8.111,0.406,1.655,0.637,6.751,0.645,6.227,0.645,7.567,0.403
4.64,0.409,5.504,0.296,5.909,0.328,11.313,2.041,8.817,0.893,8.23,0.316,5.014,0.413,11.044,0.413,5.857,0.112,5.514,0.168,7.111,0.459,8.114,0.373,1.645,0.638,6.784,0.669,6.273,0.669,7.546,0.411
4.575,0.443,5.524,0.312,5.898,0.368,11.175,2.127,8.687,0.76,8.119,0.32,4.903,0.48,10.825,0.48,5.788,0.173,5.429,0.204,7.089,0.47,8.093,0.384,1.657,0.582,6.822,0.651,6.282,0.651,7.621,0.352
4.564,0.437,5.552,0.277,5.841,0.298,11.242,2.177,8.752,0.903,8.149,0.344,4.895,0.413,10.611,0.413,5.773,0.153,5.397,0.224,7.053,0.514,8.04,0.448,1.663,0.594,6.807,0.662,6.259,0.662,7.54,0.314
4.624,0.449,5.573,0.271,5.837,0.31,11.174,2.117,8.647,0.837,7.972,0.3,4.868,0.541,10.647,0.541,5.744,0.158,5.409,0.199,7.159,0.464,8.137,0.379,1.662,0.627,6.816,0.71,6.291,0.71,7.594,0.326
4.572,0.433,5.602,0.259,5.787,0.346,11.152,2.048,8.677,0.745,7.956,0.364,4.871,0.515,10.479,0.515,5.731,0.168,5.419,0.163,7.069,0.387,8.032,0.347,1.671,0.632,6.903,0.71,6.326,0.71,7.577,0.329
4.516,0.455,5.544,0.229,5.809,0.383,11.085,1.861,8.525,0.821,7.989,0.308,4.861,0.474,10.359,0.474,5.783,0.148,5.39,0.184,6.98,0.472,7.998,0.362,1.662,0.613,6.94,0.669,6.363,0.669,7.684,0.298
4.532,0.409,5.576,0.265,5.786,0.338,11.107,1.928,8.532,0.883,8.016,0.292,4.834,0.546,10.252,0.546,5.734,0.158,5.467,0.199,7.001,0.459,7.971,0.413,1.649,0.606,6.895,0.646,6.372,0.646,7.666,0.375
4.544,0.393,5.537,0.32,5.799,0.328,11.145,1.926,8.523,0.827,7.996,0.302,4.781,0.423,10.19,0.423,5.701,0.133,5.476,0.199,6.99,0.421,8.008,0.374,1.649,0.696,6.837,0.693,6.374,0.693,7.568,0.339
4.465,0.393,5.506,0.328,5.744,0.291,11.114,1.988,8.579,0.852,7.99,0.304,4.743,0.485,10.046,0.485,5.784,0.153,5.422,0.189,7.029,0.477,7.973,0.429,1.69,0.653,6.889,0.654,6.391,0.654,7.589,0.361
4.511,0.435,5.454,0.255,5.756,0.306,11.061,1.971,8.568,0.847,7.957,0.292,4.854,0.429,10.076,0.429,5.797,0.143,5.497,0.168,6.914,0.454,7.966,0.494,1.631,0.669,6.914,0.712,6.421,0.712,7.682,0.309
4.424,0.451,5.49,0.296,5.75,0.294,11.14,1.818,8.451,0.852,7.953,0.273,4.875,0.464,9.951,0.464,5.803,0.112,5.509,0.173,6.919,0.483,7.888,0.408,1.636,0.605,6.902,0.76,6.422,0.76,7.718,0.36
4.425,0.401,5.469,0.285,5.686,0.31,11.136,1.883,8.477,0.776,7.898,0.34,4.883,0.449,9.874,0.449,5.8,0.173,5.529,0.235,6.913,0.442,8.02,0.427,1.637,0.605,6.974,0.661,6.501,0.661,7.676,0.372
4.429,0.401,5.455,0.255,5.711,0.322,11.155,1.928,8.404,0.847,7.907,0.326,4.891,0.459,9.812,0.459,5.808,0.153,5.572,0.168,6.895,0.429,7.916,0.397,1.615,0.699,6.98,0.646,6.458,0.646,7.686,0.329
4.36,0.387,5.469,0.273,5.684,0.362,11.079,1.732,8.441,0.862,7.798,0.3,4.916,0.439,9.82,0.439,5.801,0.168,5.573,0.194,6.857,0.478,7.93,0.43,1.653,0.656,6.92,0.688,6.517,0.688,7.713,0.388
4.403,0.397,5.449,0.322,5.712,0.289,11.107,1.938,8.448,0.847,7.853,0.273,4.971,0.469,9.776,0.469,5.858,0.112,5.626,0.214,6.86,0.427,7.969,0.408,1.63,0.712,6.884,0.598,6.506,0.598,7.634,0.408
4.312,0.385,5.516,0.239,5.669,0.322,11.099,1.742,8.304,0.786,7.691,0.291,4.892,0.403,9.614,0.403,5.825,0.128,5.539,0.194,6.86,0.459,7.943,0.445,1.63,0.658,6.872,0.635,6.526,0.635,7.735,0.4
4.364,0.377,5.518,0.292,5.65,0.289,11.065,1.792,8.33,0.862,7.745,0.316,4.909,0.398,9.534,0.398,5.855,0.107,5.577,0.189,6.988,0.47,8.029,0.47,1.64,0.592,6.96,0.642,6.563,0.642,7.789,0.416
4.329,0.362,5.4,0.296,5.654,0.302,11.023,1.699,8.337,0.949,7.752,0.32,4.872,0.464,9.4,0.464,5.807,0.112,5.574,0.128,6.925,0.453,7.997,0.386,1.672,0.627,6.961,0.659,6.581,0.659,7.785,0.375
4.391,0.346,5.453,0.302,5.662,0.308,10.992,1.746,8.231,0.923,7.679,0.304,4.773,0.378,9.289,0.378,5.809,0.138,5.542,0.179,6.917,0.418,8.001,0.442,1.673,0.648,6.917,0.581,6.615,0.581,7.728,0.365
4.32,0.372,5.505,0.277,5.636,0.31,11.074,1.742,8.233,0.745,7.672,0.267,4.742,0.423,9.165,0.423,5.811,0.143,5.481,0.214,7.019,0.485,8.244,0.434,1.696,0.662,6.951,0.573,6.662,0.573,7.77,0.439
4.301,0.366,5.463,0.263,5.601,0.296,11.124,1.794,8.209,0.842,7.643,0.298,4.762,0.454,9.154,0.454,5.79,0.163,5.503,0.214,7.061,0.493,8.215,0.376,1.709,0.63,6.988,0.608,6.697,0.608,7.886,0.375
4.309,0.358,5.475,0.267,5.608,0.332,11.106,1.799,8.272,0.98,7.68,0.3,4.816,0.444,9.053,0.444,5.837,0.117,5.491,0.194,7.126,0.483,8.292,0.466,1.709,0.627,7.013,0.683,6.679,0.683,7.924,0.438
4.313,0.354,5.488,0.302,5.607,0.294,11.164,1.9,8.276,0.806,7.805,0.316,4.785,0.474,9.062,0.474,5.819,0.097,5.511,0.199,7.144,0.475,8.388,0.382,1.701,0.677,6.997,0.651,6.761,0.651,8,0.372
4.324,0.377,5.473,0.279,5.608,0.304,11.263,1.639,8.283,0.985,7.694,0.322,4.8,0.352,9.037,0.352,5.877,0.168,5.53,0.224,7.171,0.51,8.406,0.397,1.71,0.648,7.057,0.669,6.773,0.669,7.974,0.357
4.329,0.379,5.501,0.3,5.583,0.342,11.445,1.744,8.429,0.791,7.681,0.332,4.769,0.347,8.85,0.347,5.9,0.112,5.512,0.184,7.178,0.48,8.483,0.402,1.744,0.661,7.147,0.707,6.875,0.707,8.063,0.402
4.29,0.36,5.556,0.322,5.589,0.334,11.727,1.73,8.519,0.908,7.68,0.304,4.902,0.388,8.777,0.388,5.909,0.122,5.697,0.128,7.226,0.44,8.661,0.403,1.722,0.672,7.18,0.595,7.018,0.595,8.227,0.395
4.309,0.375,5.708,0.279,5.635,0.306,11.88,1.892,8.674,0.883,7.663,0.273,5.084,0.423,8.755,0.423,6.123,0.179,5.949,0.209,7.348,0.443,8.778,0.496,1.735,0.701,7.303,0.686,7.175,0.686,8.382,0.388
4.313,0.419,5.842,0.275,5.638,0.302,12.253,1.799,8.876,0.898,7.677,0.304,5.23,0.393,8.825,0.393,6.37,0.128,6.272,0.194,7.473,0.47,8.904,0.494,1.736,0.658,7.49,0.563,7.314,0.563,8.615,0.377
4.382,0.417,5.95,0.294,5.669,0.3,12.601,1.859,8.938,0.883,7.721,0.277,5.407,0.337,8.874,0.337,6.613,0.112,6.596,0.214,7.536,0.477,9.234,0.499,1.71,0.64,7.636,0.666,7.494,0.666,8.757,0.346
4.445,0.405,6.033,0.383,5.709,0.289,12.792,1.95,9.204,0.893,7.66,0.287,5.596,0.337,8.98,0.337,6.856,0.128,6.826,0.194,7.638,0.45,9.326,0.52,1.713,0.622,7.724,0.659,7.559,0.659,8.853,0.391
