kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_5-488,kl-3_5-BG,ND42_5-568,kl-3_5-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG
20.366,0.025,5.193,0.058,25.007,0.389,9.557,0.444,28.567,0.389,8.345,0.444,26.361,0.991,9.892,0.565,21.024,0.056,7.538,0.115,20.26,0.722,9.282,0.611,24.657,0.342,11.841,0.515,27.433,0.342,14.196,0.515,14.437,0.027,6.314,0.102,15.948,0.027,6.481,0.102,14.316,1.882,5.65,3.319,32.887,0.511,32.502,1.502,16.501,0.123,10.302,0.141,11.111,0.129,6.756,0.145,69.806,0.397,26.365,0.496
20.441,0.047,5.232,0.073,25.191,0.396,9.634,0.415,28.639,0.396,8.394,0.415,26.184,1.035,9.937,0.624,21.229,0.073,7.617,0.144,20.133,0.707,9.297,0.616,24.62,0.387,12.012,0.467,27.318,0.387,14.008,0.467,14.266,0.027,6.363,0.115,15.664,0.027,6.556,0.115,14.341,1.875,5.685,3.509,33.223,0.563,32.733,1.553,16.27,0.139,10.325,0.144,11.044,0.147,6.656,0.143,67.302,0.397,25.781,0.478
20.491,0.04,5.244,0.069,24.95,0.38,9.515,0.46,28.621,0.38,8.347,0.46,26.156,1.013,9.936,0.615,21.013,0.073,7.548,0.147,20.113,0.7,9.386,0.631,24.812,0.355,12.157,0.542,27.365,0.355,13.907,0.542,14.637,0.029,6.424,0.135,15.933,0.029,6.54,0.135,14.627,1.815,5.862,3.159,33.041,0.543,33.025,1.569,16.203,0.139,10.306,0.139,11.012,0.154,6.668,0.136,67.05,0.43,25.613,0.456
20.569,0.051,5.282,0.065,24.806,0.373,9.466,0.444,28.773,0.373,8.362,0.444,25.521,1.027,9.755,0.555,21.522,0.075,7.707,0.155,20.059,0.684,9.439,0.609,24.794,0.344,12.189,0.544,27.304,0.344,13.86,0.544,14.487,0.045,6.507,0.116,15.927,0.045,6.687,0.116,14.455,1.991,5.859,3.766,33.374,0.571,32.867,1.676,15.979,0.112,10.29,0.146,11.038,0.139,6.638,0.176,66.925,0.459,25.732,0.496
20.414,0.033,5.26,0.053,24.987,0.404,9.512,0.465,28.827,0.404,8.37,0.465,24.943,1.016,9.634,0.567,20.981,0.053,7.555,0.131,20.044,0.749,9.259,0.629,24.739,0.344,12.33,0.438,27.185,0.344,13.786,0.438,14.307,0.025,6.681,0.109,15.664,0.025,6.803,0.109,14.256,1.88,5.878,3.418,33.259,0.525,33.084,1.663,15.803,0.128,10.36,0.114,11.108,0.123,6.706,0.136,65.137,0.478,25.43,0.485
20.453,0.029,5.377,0.069,25.09,0.447,9.506,0.465,28.737,0.447,8.383,0.465,25.278,0.962,9.835,0.627,20.793,0.055,7.566,0.142,19.904,0.731,9.404,0.6,24.481,0.42,12.448,0.522,27.141,0.42,13.692,0.522,14.52,0.029,6.725,0.113,15.803,0.029,6.806,0.113,13.836,1.763,5.761,3.054,33.189,0.582,33.403,1.679,15.768,0.115,10.465,0.131,11.107,0.15,6.705,0.143,64.878,0.432,25.375,0.509
20.47,0.053,5.394,0.071,25.045,0.376,9.532,0.469,28.754,0.376,8.406,0.469,25.335,0.929,9.824,0.642,20.703,0.055,7.535,0.133,19.912,0.764,9.363,0.593,24.696,0.345,12.586,0.556,27.181,0.345,13.631,0.556,14.564,0.02,6.811,0.113,15.929,0.02,6.933,0.113,13.544,1.873,5.719,3.208,33.554,0.533,33.205,1.625,15.659,0.122,10.493,0.16,11.051,0.082,6.679,0.13,62.457,0.464,24.892,0.574
20.523,0.031,5.454,0.062,24.937,0.404,9.515,0.505,28.561,0.404,8.454,0.505,24.8,1.024,9.667,0.622,20.895,0.067,7.657,0.12,19.85,0.695,9.4,0.64,24.363,0.329,12.598,0.545,27.02,0.329,13.41,0.545,14.465,0.027,6.975,0.124,15.918,0.027,6.926,0.124,13.342,2.016,5.677,3.442,33.59,0.52,33.385,1.697,15.519,0.154,10.516,0.138,11,0.107,6.786,0.118,63.316,0.523,25.189,0.568
20.496,0.049,5.478,0.044,24.677,0.355,9.382,0.373,28.838,0.355,8.424,0.373,24.687,0.964,9.707,0.533,20.549,0.076,7.606,0.196,19.742,0.669,9.478,0.584,24.686,0.389,12.842,0.524,26.928,0.389,13.326,0.524,14.503,0.02,6.914,0.116,15.739,0.02,6.856,0.116,13.679,1.79,5.899,3.437,33.493,0.545,33.538,1.656,15.428,0.128,10.546,0.139,10.963,0.1,6.619,0.109,64.938,0.482,25.829,0.531
20.575,0.033,5.518,0.073,24.245,0.378,9.236,0.44,28.851,0.378,8.381,0.44,24.569,1.022,9.712,0.547,20.857,0.049,7.6,0.147,19.638,0.644,9.487,0.629,24.65,0.347,12.838,0.545,27.103,0.347,13.362,0.545,14.599,0.013,7.056,0.104,15.86,0.013,7.14,0.104,13.903,2.158,6.095,3.415,33.504,0.558,33.635,1.741,15.271,0.134,10.55,0.125,10.836,0.062,6.667,0.123,64.791,0.446,25.957,0.549
20.435,0.035,5.544,0.069,23.92,0.422,9.116,0.46,28.736,0.422,8.416,0.46,24.101,1.031,9.537,0.647,21.052,0.078,7.673,0.145,19.522,0.695,9.541,0.616,24.503,0.355,12.98,0.54,27.024,0.355,13.353,0.54,14.669,0.038,7.166,0.12,15.773,0.038,7.18,0.12,13.506,2,5.92,3.207,33.55,0.594,33.743,1.529,15.233,0.125,10.608,0.152,10.79,0.107,6.598,0.134,64.74,0.506,25.874,0.538
20.587,0.051,5.567,0.064,24.342,0.424,9.164,0.527,28.669,0.424,8.443,0.527,24.103,0.924,9.595,0.578,20.469,0.067,7.514,0.145,19.501,0.738,9.453,0.589,24.825,0.338,13.163,0.522,27.152,0.338,13.298,0.522,14.718,0.027,7.242,0.109,15.833,0.027,7.198,0.109,13.678,2.013,6.005,3.4,33.627,0.574,33.855,1.697,15.24,0.118,10.658,0.122,10.982,0.152,6.832,0.147,68.52,0.448,27.37,0.566
20.634,0.045,5.652,0.047,24.048,0.407,9.074,0.44,28.802,0.407,8.463,0.44,23.643,1.06,9.39,0.6,20.818,0.069,7.586,0.156,19.359,0.644,9.562,0.649,24.714,0.351,13.307,0.509,27.041,0.351,13.241,0.509,14.558,0.024,7.271,0.125,15.815,0.024,7.289,0.125,13.923,2.007,6.151,3.178,33.732,0.589,33.925,1.824,14.949,0.13,10.592,0.126,10.923,0.136,6.729,0.161,67.389,0.485,27.044,0.48
20.65,0.047,5.736,0.062,24.056,0.382,9.027,0.404,28.831,0.382,8.519,0.404,23.137,0.958,9.271,0.604,20.392,0.06,7.477,0.149,19.296,0.691,9.602,0.567,24.652,0.455,13.355,0.556,26.998,0.455,13.169,0.556,14.68,0.031,7.394,0.129,15.895,0.031,7.299,0.129,13.812,1.938,6.175,3.507,33.746,0.582,34.079,1.786,14.79,0.11,10.673,0.142,10.929,0.12,6.737,0.132,66.295,0.462,27.012,0.464
20.712,0.02,5.754,0.064,24.41,0.378,9.251,0.451,28.944,0.378,8.634,0.451,23.394,1.016,9.41,0.587,20.345,0.065,7.496,0.169,19.249,0.695,9.506,0.584,24.706,0.364,13.454,0.533,26.865,0.364,12.997,0.533,14.6,0.024,7.414,0.12,16.036,0.024,7.521,0.12,13.688,2.06,6.203,3.335,33.821,0.652,34.315,1.734,14.711,0.15,10.78,0.102,10.743,0.096,6.816,0.111,68.974,0.405,28.049,0.507
20.7,0.044,5.831,0.067,24.435,0.502,9.198,0.495,29.017,0.502,8.642,0.495,23.191,0.942,9.314,0.535,19.994,0.058,7.404,0.14,19.325,0.685,9.565,0.593,24.639,0.422,13.577,0.571,26.879,0.422,13.079,0.571,14.722,0.045,7.532,0.144,15.948,0.045,7.506,0.144,13.75,2.056,6.237,3.243,33.699,0.639,34.602,1.835,14.576,0.139,10.747,0.138,11.089,0.154,7.03,0.158,68.83,0.429,28.107,0.494
20.686,0.044,5.87,0.06,24.433,0.451,9.157,0.505,29.076,0.451,8.763,0.505,23.104,0.907,9.347,0.575,20.503,0.067,7.589,0.165,19.323,0.62,9.667,0.553,24.53,0.393,13.538,0.573,26.846,0.393,12.898,0.573,14.811,0.025,7.599,0.093,15.869,0.025,7.602,0.093,13.759,1.998,6.296,3.353,33.793,0.676,34.278,1.826,14.416,0.123,10.763,0.112,10.608,0.111,7.001,0.132,66.756,0.427,27.454,0.478
20.654,0.031,6.024,0.06,24.069,0.453,9.038,0.44,29.132,0.453,8.71,0.44,23.007,1.042,9.393,0.618,20.576,0.065,7.67,0.142,19.056,0.64,9.678,0.569,24.949,0.355,13.824,0.525,27.03,0.355,13.015,0.525,14.745,0.025,7.689,0.145,15.936,0.025,7.724,0.145,13.454,1.964,6.265,3.428,33.739,0.562,34.827,1.643,15.173,0.126,11.343,0.117,10.953,0.092,7.274,0.147,69.784,0.414,28.754,0.496
20.633,0.033,6.111,0.073,23.894,0.407,8.96,0.462,28.884,0.407,8.914,0.462,22.695,1.002,9.925,0.596,20.216,0.078,7.569,0.162,18.886,0.636,9.766,0.598,24.92,0.407,13.983,0.525,27.113,0.407,13.087,0.525,14.575,0.027,7.578,0.122,15.874,0.027,7.747,0.122,13.334,2.094,6.407,3.201,33.725,0.774,34.674,1.873,14.288,0.114,10.893,0.152,10.692,0.116,7.394,0.167,67.678,0.424,30.357,0.517
20.909,0.027,6.469,0.064,23.799,0.433,9.005,0.416,29.095,0.433,9.336,0.416,22.856,0.92,10.771,0.58,20.361,0.042,7.587,0.156,18.926,0.656,9.995,0.596,24.664,0.4,14.18,0.524,26.991,0.4,13.081,0.524,14.817,0.027,7.95,0.127,16.088,0.027,7.982,0.127,14.309,1.915,8.861,3.038,33.878,0.721,37.105,1.848,14.151,0.144,11.291,0.142,11.096,0.132,7.772,0.188,66.656,0.458,32.077,0.557
20.895,0.045,7.012,0.064,23.444,0.438,8.868,0.449,29.249,0.438,9.9,0.449,22.318,0.916,11.194,0.605,20.103,0.067,7.573,0.129,18.99,0.582,10.452,0.607,25.039,0.402,15.596,0.547,27.116,0.402,13.223,0.547,14.975,0.036,9.006,0.109,16.059,0.036,8.239,0.109,14.35,1.909,10.061,3.304,34.004,0.797,40.521,1.817,13.996,0.096,11.792,0.125,10.802,0.103,7.912,0.143,67.828,0.45,34.287,0.557
21.004,0.035,7.499,0.064,23.682,0.485,8.996,0.518,29.328,0.485,10.391,0.518,22.231,0.885,11.695,0.602,21.03,0.056,7.974,0.122,19.021,0.693,11.104,0.62,25.098,0.382,17.139,0.571,27.154,0.382,13.267,0.571,15.206,0.02,10.087,0.127,15.846,0.02,9.113,0.127,14.613,1.884,10.511,3.145,34.187,0.754,43.335,1.949,13.823,0.109,12.18,0.131,11.068,0.109,8.174,0.138,69.89,0.437,36.84,0.549
21.185,0.031,8.087,0.064,23.801,0.42,9.076,0.491,29.506,0.42,10.84,0.491,22.629,0.876,12.195,0.564,20.028,0.062,7.823,0.158,18.919,0.582,11.633,0.611,25.233,0.362,18.706,0.598,27.278,0.362,13.358,0.598,15.194,0.022,11.169,0.105,15.811,0.022,9.611,0.105,14.535,1.844,10.92,3.208,34.135,0.763,44.853,1.9,13.739,0.12,12.519,0.13,10.957,0.114,8.314,0.179,72.468,0.4,39.272,0.515
21.191,0.025,8.557,0.06,23.807,0.398,9.226,0.435,29.655,0.398,11.218,0.435,22.327,0.935,12.174,0.584,19.468,0.064,7.745,0.16,18.996,0.553,12.242,0.547,25.543,0.335,20.316,0.607,27.291,0.335,13.493,0.607,15.379,0.036,12.102,0.12,15.999,0.036,10.378,0.12,14.381,1.792,10.815,3.002,34.377,0.714,45.642,1.975,13.819,0.138,12.91,0.139,11.074,0.089,8.584,0.147,73.318,0.437,40.961,0.531
21.142,0.051,8.931,0.071,24.239,0.456,9.447,0.438,29.778,0.456,11.685,0.438,22.671,0.944,12.423,0.518,19.991,0.062,8.046,0.135,19.21,0.635,12.669,0.555,25.292,0.38,21.282,0.598,27.294,0.38,13.6,0.598,15.253,0.031,12.791,0.125,15.614,0.031,10.997,0.125,14.41,1.909,10.751,2.991,34.097,0.774,46.063,1.908,13.82,0.106,13.2,0.122,10.832,0.096,8.569,0.154,74.958,0.354,42.764,0.558
21.306,0.022,9.318,0.053,24.26,0.382,9.562,0.451,29.807,0.382,11.895,0.451,22.389,0.964,12.391,0.596,19.778,0.076,8.135,0.145,19.127,0.578,13.17,0.547,25.181,0.353,22.149,0.578,27.428,0.353,13.798,0.578,15.431,0.022,13.467,0.107,15.831,0.022,11.545,0.107,14.51,1.931,10.747,3.002,34.139,0.875,45.874,1.917,13.565,0.147,13.221,0.142,11.121,0.112,9.016,0.158,76.108,0.384,44.381,0.509
21.237,0.02,9.566,0.056,24.184,0.38,9.648,0.465,30.029,0.38,12.257,0.465,22.503,0.976,12.5,0.578,19.888,0.071,8.284,0.136,19.135,0.627,13.479,0.622,25.485,0.32,22.869,0.584,27.538,0.32,13.953,0.584,15.367,0.022,13.879,0.127,16.006,0.022,12.108,0.127,15.045,1.917,10.854,2.967,34.096,0.866,45.74,1.955,13.734,0.118,13.428,0.136,11.084,0.096,9.196,0.13,75.778,0.413,45.193,0.506
21.293,0.04,9.876,0.069,24.196,0.458,9.701,0.398,30.077,0.458,12.446,0.398,22.706,0.945,12.574,0.633,19.838,0.055,8.442,0.14,19.042,0.62,13.871,0.627,25.256,0.32,23.314,0.591,27.515,0.32,14.118,0.591,15.28,0.022,14.294,0.118,15.766,0.022,12.431,0.118,15.367,1.891,10.932,3.12,34.254,0.826,45.321,1.888,13.751,0.141,13.562,0.146,11.079,0.109,9.181,0.168,76.96,0.355,46.709,0.576
21.387,0.029,10.103,0.051,24.308,0.385,9.83,0.422,30.047,0.385,12.687,0.422,22.525,0.827,12.475,0.615,19.824,0.042,8.541,0.155,18.889,0.576,14.115,0.569,25.283,0.415,23.861,0.576,27.619,0.415,14.279,0.576,15.394,0.024,14.678,0.102,15.712,0.024,12.812,0.102,15.359,2.027,10.786,3.417,34.015,0.797,45.517,1.917,13.699,0.16,13.614,0.152,11.036,0.138,9.45,0.159,75.931,0.4,46.914,0.53
21.417,0.029,10.177,0.051,23.924,0.504,9.876,0.533,29.944,0.504,12.767,0.533,22.402,0.949,12.486,0.618,20.157,0.062,8.673,0.149,18.83,0.593,14.312,0.529,25.093,0.369,24.086,0.604,27.546,0.369,14.422,0.604,15.435,0.027,14.918,0.104,15.659,0.027,12.975,0.104,15.428,1.98,10.763,2.909,34.154,0.812,44.893,1.966,13.742,0.122,13.705,0.138,10.99,0.103,9.308,0.147,73.658,0.39,46.543,0.592
21.408,0.045,10.246,0.056,24.157,0.418,10.017,0.491,30.06,0.418,12.908,0.491,22.482,0.938,12.468,0.616,20.137,0.058,8.841,0.187,18.596,0.585,14.518,0.567,25.12,0.356,24.231,0.611,27.338,0.356,14.457,0.611,15.316,0.025,15.068,0.115,15.696,0.025,13.263,0.115,15.655,1.958,10.803,3.143,34.282,0.801,45.009,2.08,13.472,0.11,13.672,0.147,11.172,0.118,9.603,0.167,72.631,0.422,46.772,0.65
21.335,0.029,10.447,0.076,24.05,0.425,10.044,0.525,30.023,0.425,13.042,0.525,23.102,0.882,12.743,0.635,20.232,0.071,8.967,0.16,18.722,0.589,14.809,0.513,24.92,0.345,24.396,0.604,27.398,0.345,14.539,0.604,15.387,0.025,15.025,0.135,15.595,0.025,13.486,0.135,16.088,1.993,10.871,3.183,34.259,0.813,44.845,1.857,13.547,0.118,13.619,0.152,11.035,0.107,9.632,0.168,73.957,0.424,47.839,0.573
21.323,0.038,10.558,0.062,23.692,0.484,10.004,0.465,29.831,0.484,13.104,0.465,22.862,0.987,12.71,0.604,20.185,0.082,9.073,0.165,18.687,0.593,14.919,0.542,24.791,0.342,24.371,0.609,27.4,0.342,14.69,0.609,15.305,0.035,15.253,0.125,15.839,0.035,13.655,0.125,15.521,1.957,10.583,2.85,34.055,0.804,44.439,1.862,13.402,0.09,13.596,0.114,11.136,0.114,9.853,0.197,73.93,0.389,48.409,0.566
21.338,0.049,10.592,0.071,23.569,0.442,10.032,0.418,29.965,0.442,13.231,0.418,22.942,0.885,12.686,0.598,19.928,0.065,9.062,0.144,18.529,0.545,14.991,0.545,24.86,0.435,24.615,0.6,27.3,0.435,14.677,0.6,15.111,0.015,15.306,0.133,15.693,0.015,13.689,0.133,15.408,2.183,10.413,3.335,34.198,0.886,44.237,1.752,13.376,0.134,13.528,0.147,11.19,0.139,9.933,0.172,75.692,0.347,49.905,0.514
21.347,0.035,10.699,0.04,23.423,0.491,10.097,0.449,29.771,0.491,13.23,0.449,22.664,0.956,12.586,0.642,19.731,0.065,9.035,0.142,18.512,0.538,15.284,0.509,24.882,0.36,24.611,0.644,27.227,0.36,14.771,0.644,15.176,0.024,15.308,0.12,15.569,0.024,13.85,0.12,15.589,1.991,10.328,3.139,34.21,0.839,44.499,1.931,13.215,0.122,13.497,0.134,10.939,0.12,9.927,0.152,74.88,0.37,49.822,0.542
21.3,0.045,10.743,0.055,23.829,0.449,10.238,0.462,29.892,0.449,13.429,0.462,22.78,0.864,12.591,0.616,19.521,0.078,9.021,0.153,18.347,0.567,15.227,0.585,24.499,0.329,24.344,0.604,27.165,0.329,14.824,0.604,15.014,0.036,15.362,0.113,15.504,0.036,13.993,0.113,15.777,2.04,10.46,3.078,34.046,0.824,44.423,1.893,13.345,0.104,13.583,0.139,11.136,0.109,10.099,0.187,77.192,0.318,51.676,0.538
21.413,0.04,10.752,0.073,24.26,0.427,10.513,0.469,30.142,0.427,13.584,0.469,22.527,0.904,12.565,0.671,19.869,0.058,9.227,0.144,18.167,0.573,15.176,0.545,24.637,0.365,24.463,0.616,27.02,0.365,14.847,0.616,15.103,0.033,15.482,0.113,15.315,0.033,13.874,0.113,15.659,2.101,10.33,3.029,34.054,0.85,44.156,1.873,13.461,0.109,13.578,0.117,11.114,0.112,9.95,0.159,75.464,0.389,51.634,0.566
21.403,0.047,10.896,0.082,24.593,0.455,10.637,0.431,30.079,0.455,13.734,0.431,22.341,0.898,12.418,0.609,19.521,0.1,9.198,0.147,18.079,0.576,15.187,0.524,24.359,0.358,24.542,0.645,26.833,0.358,14.915,0.645,14.952,0.036,15.385,0.127,15.355,0.036,13.857,0.127,15.458,2.236,10.101,3.308,33.98,0.801,44.063,1.929,13.447,0.101,13.579,0.126,10.983,0.092,10.277,0.152,74.965,0.389,51.35,0.643
21.316,0.022,10.863,0.051,24.484,0.375,10.675,0.44,30.103,0.375,13.732,0.44,22.61,0.918,12.648,0.605,19.512,0.076,9.249,0.165,17.914,0.569,15.212,0.553,24.511,0.42,24.678,0.647,26.955,0.42,15.094,0.647,15.024,0.036,15.5,0.125,15.346,0.036,14.027,0.125,15.157,1.837,9.959,3.114,34.298,0.875,44.303,1.922,13.365,0.117,13.586,0.139,10.964,0.101,10.242,0.185,75.841,0.366,52.201,0.602
21.331,0.038,10.918,0.08,24.246,0.389,10.642,0.485,30.084,0.389,13.821,0.485,22.049,0.945,12.403,0.644,19.731,0.06,9.399,0.162,17.987,0.565,15.331,0.553,24.582,0.347,24.582,0.636,26.977,0.347,15.139,0.636,14.983,0.044,15.364,0.116,15.605,0.044,14.257,0.116,14.842,1.986,9.8,3.071,34.148,0.786,44.174,1.862,13.355,0.106,13.464,0.133,11.083,0.127,10.425,0.212,77.231,0.349,53.371,0.562
21.352,0.042,10.966,0.056,24.275,0.444,10.618,0.495,30.018,0.444,13.93,0.495,22.143,0.967,12.476,0.695,19.84,0.064,9.472,0.14,18.101,0.562,15.491,0.582,24.668,0.424,24.634,0.605,27.265,0.424,15.273,0.605,15.045,0.016,15.401,0.115,15.706,0.016,14.211,0.115,14.951,1.955,9.91,3.034,34.051,0.877,43.943,1.893,13.278,0.173,13.442,0.12,10.817,0.188,10.162,0.187,77.11,0.414,53.499,0.525
21.231,0.04,11.101,0.06,24.234,0.435,10.62,0.485,29.987,0.435,13.964,0.485,21.906,0.991,12.367,0.575,19.733,0.071,9.475,0.131,17.954,0.545,15.365,0.565,24.662,0.415,24.851,0.636,27.326,0.415,15.436,0.636,15.225,0.033,15.459,0.095,15.655,0.033,14.29,0.095,15.062,2.005,9.934,3.426,33.99,0.893,44.232,1.808,13.239,0.117,13.381,0.136,11.146,0.125,10.627,0.159,76.954,0.41,53.783,0.581
21.333,0.038,11.056,0.064,23.856,0.504,10.545,0.558,29.961,0.504,13.974,0.558,21.937,1.004,12.495,0.605,19.622,0.075,9.536,0.138,17.703,0.511,15.341,0.545,24.632,0.422,24.702,0.605,27.308,0.422,15.385,0.605,15.06,0.035,15.432,0.105,15.735,0.035,14.17,0.105,15.186,2.076,9.936,3.109,34.103,0.783,44.344,1.808,13.112,0.109,13.349,0.144,11.061,0.139,10.624,0.154,75.788,0.392,53.776,0.579
21.316,0.042,11.126,0.071,23.948,0.502,10.59,0.458,29.967,0.502,14.052,0.458,21.666,0.902,12.407,0.682,19.802,0.067,9.745,0.155,17.581,0.482,15.428,0.522,24.789,0.404,24.565,0.615,27.268,0.404,15.495,0.615,15.09,0.027,15.322,0.129,15.547,0.027,14.217,0.129,15.3,2.21,9.957,3.159,33.822,0.812,44.247,1.759,13.082,0.109,13.397,0.141,11.174,0.147,10.719,0.17,75.757,0.387,54,0.624
21.316,0.042,11.163,0.069,23.88,0.427,10.529,0.38,29.955,0.427,14.006,0.38,21.599,0.973,12.495,0.645,19.311,0.053,9.602,0.145,17.433,0.502,15.363,0.564,24.935,0.378,24.752,0.676,27.476,0.378,15.762,0.676,15.253,0.027,15.541,0.095,15.5,0.027,14.152,0.095,15.338,2.1,10.094,3.264,34.001,0.775,44.424,1.623,13.155,0.115,13.341,0.136,11.179,0.163,10.61,0.23,74.801,0.405,53.799,0.614
21.488,0.035,11.193,0.056,23.918,0.562,10.574,0.542,30.01,0.562,14.068,0.542,21.801,0.927,12.571,0.665,19.566,0.062,9.846,0.149,17.417,0.509,15.43,0.575,24.923,0.444,24.905,0.696,27.518,0.444,15.744,0.696,15.278,0.036,15.449,0.133,15.628,0.036,14.06,0.133,15.11,1.986,9.943,3.236,34.157,0.87,44.637,1.928,13.163,0.114,13.413,0.134,10.844,0.116,10.329,0.214,72.4,0.49,52.914,0.661
21.582,0.025,11.27,0.06,24.197,0.513,10.739,0.471,30.057,0.513,14.168,0.471,21.893,0.902,12.707,0.596,19.834,0.067,9.979,0.158,17.271,0.56,15.406,0.564,24.647,0.422,24.583,0.62,27.412,0.422,15.702,0.62,15.241,0.027,15.188,0.113,15.578,0.027,14.16,0.113,15.215,2.105,9.988,3.409,34.031,0.851,44.284,1.848,13.062,0.09,13.283,0.128,10.782,0.103,10.41,0.178,71.506,0.469,52.745,0.659
21.582,0.036,11.276,0.044,24.491,0.455,10.81,0.547,30.28,0.455,14.249,0.547,21.807,0.949,12.657,0.622,19.915,0.071,10.125,0.144,17.277,0.518,15.428,0.556,24.748,0.407,24.559,0.66,27.347,0.407,15.834,0.66,15.099,0.029,15.285,0.098,15.468,0.029,13.983,0.098,15.146,2.15,10.059,3.458,34.095,0.803,44.516,1.793,12.993,0.128,13.176,0.138,10.942,0.094,10.4,0.141,74.239,0.469,54.873,0.654
21.392,0.033,11.342,0.042,24.361,0.524,10.845,0.556,30.254,0.524,14.29,0.556,22.057,0.967,12.592,0.664,19.135,0.065,9.932,0.149,17.285,0.5,15.492,0.505,24.69,0.313,24.498,0.653,27.304,0.313,15.898,0.653,15.038,0.031,15.255,0.096,15.393,0.031,14.221,0.096,15.077,2.192,10.055,3.326,34.087,0.752,44.631,1.665,12.918,0.122,13.201,0.155,10.738,0.076,10.238,0.194,75.969,0.363,55.888,0.592
21.572,0.056,11.316,0.06,24.134,0.404,10.681,0.495,30.154,0.404,14.163,0.495,22.202,0.956,12.32,0.649,19.082,0.065,9.814,0.14,17.038,0.529,15.349,0.464,24.657,0.422,24.606,0.62,27.185,0.422,15.842,0.62,15.031,0.033,15.065,0.113,15.455,0.033,14.128,0.113,14.977,2.139,9.416,3.319,33.997,0.719,44.534,1.775,12.864,0.094,13.138,0.152,10.505,0.118,10.062,0.199,76.174,0.373,55.341,0.536
