G6Pdh_1-488,G6Pdh_1-BG,G6Pdh_1-568,G6Pdh_1-BG,G6Pdh_2-488,G6Pdh_2-BG,G6Pdh_2-568,G6Pdh_2-BG,G6Pdh_3-488,G6Pdh_3-BG,G6Pdh_3-568,G6Pdh_3-BG,G6Pdh_4-488,G6Pdh_4-BG,G6Pdh_4-568,G6Pdh_4-BG,G6Pdh_5-488,G6Pdh_5-BG,G6Pdh_5-568,G6Pdh_5-BG,G6Pdh_6-488,G6Pdh_6-BG,G6Pdh_6-568,G6Pdh_6-BG,G6Pdh_7-488,G6Pdh_7-BG,G6Pdh_7-568,G6Pdh_7-BG,G6Pdh_8-488,G6Pdh_8-BG,G6Pdh_8-568,G6Pdh_8-BG,G6Pdh_9-488,G6Pdh_9-BG,G6Pdh_9-568,G6Pdh_9-BG,G6Pdh_10-488,G6Pdh_10-BG,G6Pdh_10-568,G6Pdh_10-BG,G6Pdh_1-488,G6Pdh_1-BG,G6Pdh_1-568,G6Pdh_1-BG,G6Pdh_2-488,G6Pdh_2-BG,G6Pdh_2-568,G6Pdh_2-BG,G6Pdh_3-488,G6Pdh_3-BG,G6Pdh_3-568,G6Pdh_3-BG,G6Pdh_4-488,G6Pdh_4-BG,G6Pdh_4-568,G6Pdh_4-BG,G6Pdh_5-488,G6Pdh_5-BG,G6Pdh_5-568,G6Pdh_5-BG
17.135,0.077,4.245,0.214,19.997,0.077,5.29,0.214,15.394,0.355,9.691,0.375,10.06,0.516,5.825,0.92,11.273,0.516,7.994,0.92,30.516,0.214,11.518,0.282,41.303,0.214,14.277,0.282,15.696,0.027,8.376,0.102,13.034,0.027,9.529,0.102,10.795,0.077,7.71,0.136,18.377,0.25,16.245,0.342,21.635,0.25,21.044,0.342,10.562,0.064,7.45,0.104,10.561,0.064,5.467,0.104,22.038,0.15,13.32,0.268
17.361,0.07,4.332,0.227,20.154,0.07,5.284,0.227,15.412,0.386,9.73,0.439,10.02,0.509,5.778,0.941,11.223,0.509,8.027,0.941,29.506,0.225,11.191,0.295,40.98,0.225,14.395,0.295,15.558,0.057,8.389,0.086,12.902,0.057,9.549,0.086,10.713,0.057,7.74,0.086,18.288,0.185,16.251,0.293,21.586,0.185,21.082,0.293,10.333,0.059,7.35,0.126,10.471,0.059,5.497,0.126,22.373,0.113,13.393,0.279
17.507,0.091,4.336,0.225,20.247,0.091,5.313,0.225,15.367,0.366,9.766,0.366,9.986,0.527,5.756,0.955,11.26,0.527,8.006,0.955,30.437,0.218,11.656,0.309,41.209,0.218,14.352,0.309,15.368,0.032,8.474,0.091,12.741,0.032,9.51,0.091,10.658,0.034,7.738,0.102,18.223,0.2,16.243,0.33,21.537,0.2,21.171,0.33,10.332,0.061,7.303,0.113,10.425,0.061,5.457,0.113,22.74,0.119,13.433,0.218
17.474,0.059,4.408,0.198,20.187,0.059,5.311,0.198,15.303,0.382,9.603,0.405,9.835,0.539,5.632,1.025,11.288,0.539,7.988,1.025,28.834,0.202,11.236,0.305,41.464,0.202,14.449,0.305,15.253,0.043,8.511,0.066,12.74,0.043,9.588,0.066,10.599,0.036,7.826,0.107,18.082,0.231,16.206,0.31,21.561,0.231,21.206,0.31,10.211,0.062,7.248,0.119,10.492,0.062,5.447,0.119,22.938,0.119,13.316,0.231
17.296,0.057,4.412,0.227,19.987,0.057,5.235,0.227,15.478,0.339,9.622,0.402,10.036,0.486,5.733,0.984,11.376,0.486,8.02,0.984,29.412,0.182,11.413,0.25,41.288,0.182,14.592,0.25,15.257,0.034,8.525,0.091,12.594,0.034,9.66,0.091,10.544,0.068,7.914,0.145,18.016,0.222,16.27,0.299,21.539,0.222,21.18,0.299,10.187,0.05,7.274,0.108,10.365,0.05,5.486,0.108,22.754,0.119,13.379,0.244
17.435,0.08,4.462,0.218,20.105,0.08,5.274,0.218,15.363,0.366,9.562,0.466,9.99,0.627,5.723,0.966,11.197,0.627,7.975,0.966,29.56,0.198,11.526,0.307,41.199,0.198,14.66,0.307,15.138,0.052,8.474,0.077,12.614,0.052,9.589,0.077,10.488,0.075,7.886,0.1,17.929,0.224,16.245,0.35,21.486,0.224,21.299,0.35,10.178,0.062,7.252,0.123,10.363,0.062,5.436,0.123,22.888,0.105,13.339,0.23
17.48,0.045,4.488,0.255,20.002,0.045,5.189,0.255,15.213,0.368,9.508,0.377,9.941,0.477,5.7,0.943,11.275,0.477,7.945,0.943,28.847,0.173,11.369,0.293,41.093,0.173,14.87,0.293,14.985,0.023,8.554,0.102,12.421,0.023,9.544,0.102,10.571,0.045,8.063,0.139,17.817,0.253,16.31,0.33,21.481,0.253,21.403,0.33,10.126,0.067,7.252,0.124,10.289,0.067,5.462,0.124,22.805,0.13,13.394,0.219
17.469,0.068,4.557,0.186,20.038,0.068,5.212,0.186,15.278,0.359,9.595,0.391,9.837,0.568,5.599,0.9,11.258,0.568,7.918,0.9,28.598,0.148,11.302,0.316,40.688,0.148,14.888,0.316,14.974,0.027,8.558,0.068,12.275,0.027,9.531,0.068,10.386,0.059,8.002,0.107,17.831,0.237,16.336,0.292,21.567,0.237,21.45,0.292,10.12,0.055,7.33,0.105,10.346,0.055,5.383,0.105,22.908,0.114,13.343,0.255
17.615,0.08,4.555,0.216,19.971,0.08,5.204,0.216,15.198,0.366,9.58,0.375,9.849,0.63,5.703,0.98,11.32,0.63,7.876,0.98,28.882,0.166,11.471,0.343,41.389,0.166,15.002,0.343,14.926,0.043,8.558,0.102,12.133,0.043,9.516,0.102,10.328,0.043,8.081,0.102,17.65,0.219,16.447,0.345,21.531,0.219,21.573,0.345,10.064,0.061,7.316,0.153,10.339,0.061,5.466,0.153,22.958,0.127,13.354,0.239
17.242,0.059,4.563,0.252,19.817,0.059,5.119,0.252,15.253,0.334,9.496,0.318,9.907,0.548,5.63,0.882,11.245,0.548,7.878,0.882,29.19,0.189,11.735,0.309,41.681,0.189,15.127,0.309,14.747,0.052,8.551,0.086,12.003,0.052,9.434,0.086,10.259,0.041,8.058,0.139,17.567,0.228,16.327,0.336,21.432,0.228,21.531,0.336,10.129,0.053,7.306,0.102,10.365,0.053,5.451,0.102,22.718,0.142,13.426,0.237
17.045,0.075,4.511,0.211,19.565,0.075,5.096,0.211,15.197,0.318,9.426,0.38,9.785,0.493,5.573,0.943,11.266,0.493,7.819,0.943,28.963,0.18,11.536,0.261,41.602,0.18,15.232,0.261,14.658,0.039,8.572,0.093,11.976,0.039,9.468,0.093,10.261,0.05,8.16,0.102,17.494,0.222,16.353,0.335,21.406,0.222,21.635,0.335,10.006,0.05,7.181,0.108,10.326,0.05,5.487,0.108,22.634,0.135,13.457,0.239
16.973,0.075,4.5,0.216,19.433,0.075,5.075,0.216,15.288,0.314,9.443,0.339,9.923,0.582,5.581,0.918,11.364,0.582,7.877,0.918,29.053,0.168,11.575,0.332,41.654,0.168,15.291,0.332,14.578,0.048,8.513,0.08,11.788,0.048,9.407,0.08,10.288,0.055,8.178,0.089,17.5,0.233,16.405,0.323,21.417,0.233,21.708,0.323,9.947,0.058,7.236,0.119,10.275,0.058,5.478,0.119,22.593,0.117,13.488,0.262
17.31,0.07,4.618,0.25,19.578,0.07,5.098,0.25,15.326,0.343,9.448,0.398,9.839,0.509,5.628,0.891,11.264,0.509,7.824,0.891,28.711,0.225,11.535,0.216,41.761,0.225,15.305,0.216,14.509,0.025,8.628,0.068,11.756,0.025,9.467,0.068,10.204,0.027,8.288,0.116,17.411,0.233,16.464,0.327,21.47,0.233,21.819,0.327,9.955,0.04,7.282,0.126,10.209,0.04,5.494,0.126,22.15,0.133,13.574,0.28
17.145,0.061,4.651,0.186,19.392,0.061,5.113,0.186,15.202,0.341,9.44,0.373,9.831,0.527,5.558,1.055,11.282,0.527,7.778,1.055,28.389,0.145,11.402,0.293,41.81,0.145,15.513,0.293,14.399,0.05,8.664,0.068,11.609,0.05,9.387,0.068,10.154,0.061,8.304,0.148,17.276,0.228,16.301,0.311,21.338,0.228,21.745,0.311,9.918,0.058,7.243,0.133,10.229,0.058,5.493,0.133,22.405,0.111,13.603,0.253
17.195,0.059,4.632,0.193,19.492,0.059,5.085,0.193,15.222,0.386,9.514,0.407,9.794,0.523,5.612,0.916,11.298,0.523,7.78,0.916,28.43,0.195,11.624,0.309,40.855,0.195,15.215,0.309,14.193,0.02,8.561,0.089,11.411,0.02,9.349,0.089,10.093,0.043,8.371,0.134,17.068,0.196,16.329,0.29,21.404,0.196,21.915,0.29,9.802,0.061,7.127,0.102,10.171,0.061,5.467,0.102,22.317,0.119,13.615,0.243
17.337,0.059,4.725,0.198,19.612,0.059,5.045,0.198,15.162,0.352,9.371,0.425,9.82,0.652,5.601,0.977,11.256,0.652,7.734,0.977,29.454,0.17,11.872,0.289,41.573,0.17,15.47,0.289,14.178,0.032,8.645,0.073,11.504,0.032,9.402,0.073,10.098,0.068,8.401,0.107,17.028,0.267,16.375,0.295,21.316,0.267,21.843,0.295,9.884,0.05,7.204,0.098,10.243,0.05,5.539,0.098,22.276,0.133,13.752,0.236
17.373,0.073,4.782,0.214,19.616,0.073,5.109,0.214,15.194,0.377,9.386,0.402,9.734,0.539,5.518,0.948,11.263,0.539,7.733,0.948,28.864,0.18,11.862,0.341,41.68,0.18,15.726,0.341,14.232,0.03,8.718,0.086,11.492,0.03,9.403,0.086,10.024,0.05,8.328,0.116,16.889,0.215,16.266,0.326,21.258,0.215,21.861,0.326,9.87,0.059,7.357,0.126,10.198,0.059,5.579,0.126,21.913,0.13,13.739,0.253
17.397,0.064,4.764,0.186,19.574,0.064,5.106,0.186,15.161,0.361,9.432,0.407,9.774,0.495,5.52,0.902,11.205,0.495,7.758,0.902,28.911,0.202,11.818,0.28,41.926,0.202,15.795,0.28,14.14,0.041,8.679,0.1,11.315,0.041,9.331,0.1,9.957,0.059,8.453,0.13,16.916,0.215,16.247,0.311,21.272,0.215,21.949,0.311,9.608,0.079,7.437,0.135,10.168,0.079,5.728,0.135,22.41,0.129,13.895,0.259
17.185,0.05,4.852,0.223,19.378,0.05,5.049,0.223,15.127,0.298,9.353,0.432,9.763,0.536,5.516,0.941,11.356,0.536,7.729,0.941,28.23,0.141,11.661,0.234,41.568,0.141,15.751,0.234,13.969,0.03,8.611,0.093,11.161,0.03,9.436,0.093,10.006,0.052,8.531,0.109,17.33,0.193,16.752,0.329,21.335,0.193,22.135,0.329,9.537,0.05,7.665,0.098,10.142,0.05,5.93,0.098,21.823,0.145,13.87,0.262
17.088,0.03,4.919,0.218,19.191,0.03,5.072,0.218,15.304,0.334,9.467,0.405,9.812,0.625,5.583,0.916,11.259,0.625,7.725,0.916,27.66,0.161,11.544,0.232,41.788,0.161,15.897,0.232,13.678,0.03,8.79,0.086,10.972,0.03,9.48,0.086,9.711,0.052,8.461,0.148,16.705,0.213,16.512,0.308,21.212,0.213,22.224,0.308,9.599,0.062,7.89,0.123,10.103,0.062,6.05,0.123,21.865,0.133,14.241,0.256
17.007,0.048,5.155,0.195,19.07,0.048,5.114,0.195,15.133,0.334,9.31,0.489,9.764,0.616,5.585,0.868,11.303,0.616,7.8,0.868,28.723,0.168,12.018,0.236,41.425,0.168,16.033,0.236,13.735,0.034,9.586,0.08,10.755,0.034,10.441,0.08,9.965,0.059,9.094,0.166,16.596,0.276,17.679,0.308,21.16,0.276,23.501,0.308,9.501,0.068,7.961,0.142,10.143,0.068,6.285,0.142,22.198,0.102,14.976,0.273
17.043,0.07,5.612,0.184,18.97,0.07,5.194,0.184,15.166,0.311,9.314,0.38,9.592,0.589,5.455,0.916,11.249,0.589,7.709,0.916,27.882,0.164,11.981,0.232,41.912,0.164,16.532,0.232,13.61,0.061,10.333,0.089,10.729,0.061,11.357,0.089,9.933,0.066,10.089,0.123,16.347,0.203,19.14,0.336,21.128,0.203,25.017,0.336,9.702,0.046,8.246,0.135,10.202,0.046,6.429,0.135,22.033,0.136,15.383,0.249
17.207,0.057,6.041,0.227,19.082,0.057,5.326,0.227,15.097,0.309,9.353,0.384,9.633,0.53,5.5,0.932,11.206,0.53,7.818,0.932,30.169,0.136,13.447,0.182,40.459,0.136,17.05,0.182,13.541,0.055,10.938,0.098,10.491,0.055,12.004,0.098,9.912,0.036,10.943,0.084,16.184,0.233,20.138,0.316,21.06,0.233,26.223,0.316,9.741,0.067,8.4,0.111,10.247,0.067,6.638,0.111,21.655,0.126,15.738,0.274
17.204,0.08,6.387,0.227,19.169,0.08,5.511,0.227,15.184,0.4,9.374,0.455,9.782,0.559,5.579,1.009,11.128,0.559,7.794,1.009,30.134,0.191,13.881,0.195,41.103,0.191,17.996,0.195,13.328,0.032,11.464,0.091,10.38,0.032,12.383,0.091,9.99,0.045,11.775,0.114,16.177,0.216,20.896,0.274,21.13,0.216,27.081,0.274,9.575,0.062,8.511,0.084,10.35,0.062,6.81,0.084,21.538,0.163,16.217,0.286
17.155,0.064,6.62,0.198,19.175,0.064,5.652,0.198,15.167,0.316,9.327,0.384,9.699,0.523,5.497,0.957,11.196,0.523,7.75,0.957,28.306,0.164,13.971,0.261,40.895,0.164,19.2,0.261,13.138,0.027,11.597,0.095,10.262,0.027,12.586,0.095,9.88,0.025,12.478,0.123,16.197,0.243,21.374,0.326,21.128,0.243,27.631,0.326,9.67,0.062,8.719,0.126,10.188,0.062,6.943,0.126,21.255,0.15,16.504,0.327
17.439,0.068,6.962,0.218,19.313,0.068,5.776,0.218,15.151,0.336,9.434,0.382,9.74,0.555,5.599,0.948,11.102,0.555,7.868,0.948,29.483,0.195,14.97,0.277,40.705,0.195,20.009,0.277,13.284,0.032,12.032,0.098,10.299,0.032,12.834,0.098,9.811,0.025,12.857,0.116,16.271,0.209,21.506,0.301,21.134,0.209,27.807,0.301,9.792,0.071,8.966,0.127,10.301,0.071,7.07,0.127,20.885,0.163,16.666,0.301
17.398,0.05,7.09,0.198,19.35,0.05,5.918,0.198,14.879,0.345,9.325,0.425,9.456,0.493,5.535,0.966,10.946,0.493,7.878,0.966,29.623,0.193,15.722,0.245,41.149,0.193,20.927,0.245,13.293,0.041,12.185,0.116,10.292,0.041,12.857,0.116,9.826,0.052,13.25,0.089,16.161,0.216,21.356,0.31,21.225,0.216,27.876,0.31,9.622,0.086,8.96,0.104,10.23,0.086,7.211,0.104,20.847,0.164,17.083,0.302
17.295,0.059,7.237,0.2,19.28,0.059,5.972,0.2,14.853,0.307,9.361,0.391,9.626,0.491,5.564,0.839,10.979,0.491,7.867,0.839,29.849,0.157,16.37,0.264,40.614,0.157,21.508,0.264,13.286,0.018,12.379,0.093,10.274,0.018,12.927,0.093,9.999,0.057,13.517,0.107,16.253,0.258,21.433,0.301,21.233,0.258,27.877,0.301,9.679,0.076,9.172,0.105,10.195,0.076,7.368,0.105,20.676,0.175,17.114,0.301
17.427,0.077,7.342,0.209,19.297,0.077,5.986,0.209,14.837,0.275,9.315,0.357,9.66,0.595,5.68,0.948,10.87,0.595,7.924,0.948,29.997,0.15,16.912,0.273,40.529,0.15,22.19,0.273,13.084,0.036,12.457,0.093,10.118,0.036,12.982,0.093,9.839,0.039,13.683,0.13,16.212,0.25,21.306,0.284,21.152,0.25,27.716,0.284,9.562,0.061,9.128,0.11,10.131,0.061,7.374,0.11,20.94,0.141,17.535,0.279
17.319,0.057,7.448,0.177,19.205,0.057,6.134,0.177,14.838,0.334,9.428,0.418,9.647,0.536,5.696,1.014,10.895,0.536,7.958,1.014,30.39,0.139,17.549,0.239,40.887,0.139,22.479,0.239,13.062,0.018,12.443,0.116,10.028,0.018,12.909,0.116,9.842,0.036,13.795,0.118,16.186,0.215,21.149,0.342,21.169,0.215,27.649,0.342,9.569,0.058,9.32,0.101,10.153,0.058,7.571,0.101,20.787,0.139,17.762,0.324
17.316,0.059,7.551,0.214,19.201,0.059,6.149,0.214,14.807,0.359,9.415,0.393,9.638,0.57,5.746,0.9,10.818,0.57,8,0.9,30.405,0.13,17.931,0.214,40.551,0.13,23.28,0.214,13.084,0.032,12.692,0.077,10.016,0.032,12.758,0.077,9.749,0.052,13.742,0.109,16.229,0.233,21.089,0.327,21.121,0.233,27.574,0.327,9.709,0.073,9.544,0.101,10.202,0.073,7.714,0.101,21.283,0.124,18.193,0.265
17.49,0.075,7.704,0.202,19.279,0.075,6.282,0.202,14.801,0.323,9.408,0.411,9.645,0.486,5.794,0.848,10.874,0.486,8.108,0.848,30.827,0.193,18.535,0.28,40.22,0.193,23.613,0.28,12.915,0.052,12.63,0.082,9.897,0.052,12.621,0.082,9.574,0.048,13.686,0.105,16.075,0.224,20.878,0.31,21.117,0.224,27.492,0.31,9.445,0.07,9.454,0.107,10.208,0.07,7.815,0.107,20.959,0.114,18.48,0.28
17.323,0.064,7.712,0.255,19.201,0.064,6.314,0.255,14.772,0.3,9.372,0.323,9.767,0.616,5.792,0.986,10.885,0.616,8.187,0.986,30.618,0.182,18.872,0.275,40.722,0.182,24.071,0.275,13.063,0.041,12.698,0.095,9.994,0.041,12.819,0.095,9.62,0.052,13.777,0.116,16.032,0.241,20.877,0.33,21.095,0.241,27.455,0.33,9.51,0.064,9.603,0.135,10.228,0.064,7.852,0.135,21.09,0.129,18.653,0.295
17.08,0.059,7.727,0.218,18.942,0.059,6.28,0.218,14.648,0.325,9.421,0.414,9.659,0.552,5.805,0.868,10.816,0.552,8.087,0.868,30.415,0.17,19.047,0.273,40.343,0.17,24.604,0.273,12.987,0.032,12.786,0.118,9.981,0.032,12.578,0.118,9.543,0.059,13.712,0.134,15.913,0.261,20.632,0.277,20.956,0.261,27.297,0.277,9.614,0.07,9.72,0.144,10.135,0.07,8.009,0.144,20.426,0.169,18.3,0.293
17.135,0.077,7.673,0.191,18.769,0.077,6.356,0.191,14.658,0.352,9.482,0.375,9.794,0.611,5.84,0.964,10.803,0.611,8.214,0.964,30.319,0.191,19.261,0.268,40.34,0.191,24.791,0.268,12.986,0.034,12.825,0.134,9.86,0.034,12.553,0.134,9.399,0.048,13.657,0.125,15.893,0.215,20.442,0.313,20.944,0.215,27.08,0.313,9.634,0.068,9.954,0.113,10.158,0.068,8.042,0.113,20.559,0.145,18.779,0.264
17.028,0.084,7.755,0.207,18.798,0.084,6.414,0.207,14.814,0.33,9.431,0.38,9.716,0.6,5.878,0.995,10.752,0.6,8.189,0.995,30.015,0.15,19.357,0.273,40.482,0.15,25.536,0.273,12.873,0.036,12.822,0.102,9.739,0.036,12.511,0.102,9.291,0.032,13.708,0.102,15.854,0.2,20.426,0.29,20.874,0.2,27.037,0.29,9.632,0.05,10.011,0.114,10.128,0.05,8.157,0.114,21.166,0.173,19.253,0.316
17.399,0.052,7.986,0.218,19.167,0.052,6.547,0.218,14.675,0.352,9.424,0.38,9.743,0.557,5.873,0.945,10.796,0.557,8.287,0.945,29.409,0.139,19.359,0.236,40.322,0.139,25.632,0.236,12.855,0.039,12.806,0.111,9.831,0.039,12.577,0.111,9.279,0.057,13.631,0.118,15.915,0.213,20.497,0.311,20.89,0.213,27.135,0.311,9.599,0.053,10.082,0.126,10.121,0.053,8.18,0.126,20.521,0.12,19.216,0.287
17.444,0.055,8.104,0.2,19.382,0.055,6.665,0.2,14.705,0.3,9.538,0.4,9.721,0.545,5.889,0.87,10.674,0.545,8.312,0.87,29.749,0.102,19.835,0.255,40.724,0.102,25.969,0.255,12.569,0.036,12.778,0.093,9.586,0.036,12.214,0.093,9.122,0.057,13.597,0.107,16.016,0.252,20.468,0.305,20.879,0.252,27.04,0.305,9.557,0.064,10.135,0.105,10.197,0.064,8.218,0.105,21.281,0.15,19.731,0.313
17.578,0.064,8.267,0.207,19.519,0.064,6.72,0.207,14.68,0.282,9.51,0.402,9.771,0.6,5.99,0.9,10.765,0.6,8.291,0.9,29.589,0.148,19.902,0.209,40.708,0.148,26.283,0.209,12.626,0.045,12.915,0.123,9.592,0.045,12.238,0.123,9.053,0.041,13.451,0.098,15.958,0.185,20.529,0.29,20.87,0.185,27.033,0.29,9.413,0.059,9.966,0.104,10.141,0.059,8.287,0.104,20.946,0.136,19.699,0.336
17.392,0.055,8.077,0.248,19.243,0.055,6.804,0.248,14.681,0.33,9.511,0.395,9.762,0.609,6.001,0.959,10.709,0.609,8.336,0.959,29.18,0.166,19.995,0.241,40.084,0.166,26.632,0.241,12.577,0.048,12.934,0.086,9.533,0.048,12.184,0.086,9.053,0.059,13.543,0.107,15.894,0.212,20.426,0.29,20.803,0.212,27.038,0.29,9.719,0.073,10.399,0.114,10.162,0.073,8.357,0.114,20.738,0.15,19.759,0.276
17.374,0.077,8.242,0.257,19.257,0.077,6.781,0.257,14.69,0.334,9.55,0.405,9.722,0.6,5.99,0.902,10.709,0.6,8.368,0.902,29.361,0.177,20.314,0.261,40.64,0.177,27.149,0.261,12.538,0.048,12.886,0.116,9.564,0.048,12.295,0.116,9.053,0.041,13.57,0.13,15.911,0.2,20.368,0.286,20.801,0.2,26.956,0.286,9.494,0.052,10.251,0.105,10.12,0.052,8.455,0.105,20.825,0.17,19.809,0.274
17.524,0.048,8.268,0.214,19.333,0.048,6.883,0.214,14.692,0.309,9.535,0.361,9.753,0.618,6.009,0.989,10.731,0.618,8.409,0.989,29.767,0.13,20.635,0.266,40.577,0.13,27.495,0.266,12.638,0.043,13.022,0.12,9.515,0.043,12.357,0.12,9.103,0.041,13.53,0.102,15.805,0.224,20.27,0.273,20.699,0.224,27.03,0.273,9.621,0.067,10.495,0.104,10.176,0.067,8.523,0.104,20.319,0.178,19.597,0.319
17.319,0.05,8.246,0.184,19.28,0.05,6.891,0.184,14.628,0.348,9.531,0.345,9.663,0.539,6.034,0.916,10.683,0.539,8.508,0.916,29.59,0.159,20.848,0.236,41.354,0.159,27.896,0.236,12.586,0.041,12.963,0.12,9.538,0.041,12.276,0.12,9.156,0.07,13.544,0.111,15.713,0.23,20.288,0.327,20.722,0.23,26.995,0.327,9.539,0.076,10.34,0.124,10.062,0.076,8.475,0.124,21.121,0.176,20.274,0.348
17.279,0.077,8.261,0.23,19.096,0.077,6.916,0.23,14.774,0.261,9.545,0.423,9.839,0.575,6.107,0.943,10.719,0.575,8.573,0.943,29.561,0.191,21.128,0.264,41.234,0.191,28.342,0.264,12.289,0.043,12.865,0.109,9.286,0.043,12.014,0.109,9.005,0.043,13.381,0.139,15.644,0.215,20.27,0.302,20.54,0.215,26.908,0.302,9.738,0.067,10.732,0.123,10.103,0.067,8.573,0.123,21.096,0.144,20.295,0.323
17.277,0.089,8.362,0.239,19.186,0.089,7.03,0.239,14.711,0.352,9.665,0.389,9.733,0.577,6.115,0.914,10.724,0.577,8.577,0.914,29.513,0.145,21.26,0.214,40.82,0.145,28.696,0.214,12.345,0.025,12.825,0.08,9.286,0.025,12.025,0.08,8.98,0.075,13.533,0.114,15.602,0.213,20.307,0.341,20.621,0.213,27.013,0.341,9.503,0.065,10.671,0.123,10.151,0.065,8.658,0.123,21.136,0.156,20.619,0.292
17.225,0.061,8.402,0.234,19.074,0.061,6.974,0.234,14.61,0.307,9.608,0.327,9.765,0.541,6.101,0.941,10.744,0.541,8.613,0.941,29.128,0.159,21.47,0.234,40.902,0.159,28.887,0.234,12.243,0.043,12.823,0.12,9.257,0.043,12.033,0.12,9.027,0.055,13.543,0.105,15.664,0.219,20.388,0.324,20.589,0.219,27.003,0.324,9.448,0.053,10.525,0.096,10.022,0.053,8.633,0.096,21.173,0.178,20.674,0.262
17.418,0.059,8.435,0.223,19.161,0.059,7.008,0.223,14.806,0.316,9.737,0.343,9.915,0.655,6.229,0.9,10.698,0.655,8.573,0.9,29.119,0.155,21.73,0.216,40.793,0.155,29.153,0.216,12.269,0.032,12.924,0.089,9.165,0.032,11.885,0.089,9.009,0.039,13.482,0.086,15.656,0.216,20.447,0.332,20.526,0.216,27.043,0.332,9.702,0.058,10.802,0.101,10.032,0.058,8.556,0.101,21.678,0.139,21.277,0.29
17.609,0.086,8.454,0.207,19.44,0.086,7.164,0.207,14.723,0.334,9.766,0.355,9.925,0.582,6.222,0.909,10.691,0.582,8.633,0.909,28.807,0.139,21.795,0.273,40.719,0.139,29.534,0.273,12.198,0.043,12.946,0.089,9.177,0.043,12.008,0.089,8.968,0.055,13.346,0.116,15.472,0.216,20.356,0.308,20.426,0.216,27.042,0.308,9.767,0.065,10.551,0.092,9.945,0.065,8.475,0.092,21.831,0.138,21.459,0.289
17.563,0.055,8.62,0.225,19.45,0.055,7.205,0.225,14.664,0.284,9.75,0.398,9.822,0.582,6.238,0.916,10.691,0.582,8.668,0.916,30.144,0.127,22.722,0.295,41.04,0.127,29.779,0.295,12.326,0.045,12.997,0.086,9.164,0.045,11.996,0.086,8.837,0.045,13.34,0.105,15.397,0.19,20.226,0.333,20.29,0.19,27.044,0.333,9.736,0.07,10.599,0.126,9.878,0.07,8.402,0.126,20.954,0.129,21.087,0.281
17.492,0.041,8.596,0.193,19.486,0.041,7.223,0.193,14.761,0.302,9.705,0.398,9.781,0.568,6.222,0.92,10.714,0.568,8.738,0.92,28.893,0.13,22.25,0.227,41.107,0.13,30.358,0.227,12.24,0.043,13.09,0.105,9.102,0.043,11.968,0.105,8.852,0.066,13.298,0.123,15.361,0.209,20.289,0.317,20.394,0.209,27.111,0.317,9.81,0.044,10.671,0.104,9.954,0.044,8.402,0.104,20.485,0.147,20.674,0.283
