6-Pgd_1-488,6-Pgd_1-BG,6-Pgd_1-568,6-Pgd_1-BG,6-Pgd_2-488,6-Pgd_2-BG,6-Pgd_2-568,6-Pgd_2-BG,6-Pgd_3-488,6-Pgd_3-BG,6-Pgd_3-568,6-Pgd_3-BG,6-Pgd_4-488,6-Pgd_4-BG,6-Pgd_4-568,6-Pgd_4-BG,6-Pgd_5-488,6-Pgd_5-BG,6-Pgd_5-568,6-Pgd_5-BG,6-Pgd_6-488,6-Pgd_6-BG,6-Pgd_6-568,6-Pgd_6-BG,6-Pgd_7-488,6-Pgd_7-BG,6-Pgd_7-568,6-Pgd_7-BG,6-Pgd_8-488,6-Pgd_8-BG,6-Pgd_8-568,6-Pgd_8-BG,6-Pgd_9-488,6-Pgd_9-BG,6-Pgd_9-568,6-Pgd_9-BG,6-Pgd_10-488,6-Pgd_10-BG,6-Pgd_10-568,6-Pgd_10-BG,6-Pgd_10-488,6-Pgd_10-BG,6-Pgd_10-568,6-Pgd_10-BG,6-Pgd_11-488,6-Pgd_11-BG,6-Pgd_11-568,6-Pgd_11-BG,6-Pgd_11-488,6-Pgd_11-BG,6-Pgd_11-568,6-Pgd_11-BG,6-Pgd_12-488,6-Pgd_12-BG,6-Pgd_12-568,6-Pgd_12-BG,6-Pgd_13-488,6-Pgd_13-BG,6-Pgd_13-568,6-Pgd_13-BG,6-Pgd_14-488,6-Pgd_14-BG,6-Pgd_14-568,6-Pgd_14-BG,6-Pgd_1-488,6-Pgd_1-BG,6-Pgd_1-568,6-Pgd_1-BG,6-Pgd_2-488,6-Pgd_2-BG,6-Pgd_2-568,6-Pgd_2-BG,6-Pgd_3-488,6-Pgd_3-BG,6-Pgd_3-568,6-Pgd_3-BG,6-Pgd_4-488,6-Pgd_4-BG,6-Pgd_4-568,6-Pgd_4-BG,6-Pgd_5-488,6-Pgd_5-BG,6-Pgd_5-568,6-Pgd_5-BG
25.926,0.239,6.422,0.389,23.913,0.239,8.663,0.389,25.294,0.581,6.045,0.444,33.931,0.628,11.1,0.619,35.829,0.628,6.705,0.619,19.066,0.031,14.221,0.081,7.812,0.014,4.374,0.061,30.011,0.064,16.464,0.183,36.456,2.186,14.321,1.156,24.967,0.072,10.238,0.117,24.23,0.072,10.773,0.117,19.271,0.653,8.921,0.558,19.474,0.653,10.668,0.558,17.755,0.036,9.31,0.197,14.134,0.036,7.379,0.1,20.696,0.011,8.385,0.078,29.186,0.175,7.535,0.27,23.735,0.2,8.671,0.381,16.098,0.197,10.511,0.594,9.759,0.027,5.796,0.084,10.202,0.104,4.518,0.177
26.216,0.294,6.423,0.467,23.905,0.294,8.675,0.467,25.004,0.539,5.964,0.414,33.946,0.525,11.008,0.572,35.893,0.525,6.763,0.572,19.092,0.033,14.176,0.064,7.842,0.031,4.426,0.064,29.839,0.039,16.461,0.181,36.375,2.267,14.313,1.131,25.099,0.072,10.239,0.125,23.958,0.072,10.812,0.125,19.056,0.653,8.886,0.575,19.29,0.653,10.643,0.575,17.709,0.05,9.391,0.222,14.112,0.053,7.382,0.117,20.601,0.031,8.397,0.061,29.479,0.231,7.648,0.317,23.875,0.277,8.75,0.401,16.065,0.197,10.446,0.558,9.92,0.025,5.87,0.093,10.229,0.127,4.516,0.163
26.318,0.267,6.428,0.367,23.792,0.267,8.71,0.367,24.668,0.578,5.807,0.406,33.732,0.589,10.99,0.664,35.495,0.589,6.57,0.664,19.114,0.028,14.063,0.078,7.87,0.028,4.369,0.033,29.984,0.058,16.544,0.228,36.449,2.175,14.257,1.267,24.861,0.056,10.112,0.161,23.981,0.056,10.72,0.161,19.045,0.614,8.975,0.639,19.179,0.614,10.727,0.639,17.639,0.061,9.402,0.158,14.035,0.033,7.372,0.083,20.771,0.036,8.495,0.058,29.542,0.204,7.642,0.274,23.826,0.197,8.691,0.499,16.018,0.202,10.519,0.583,9.926,0.039,5.864,0.082,9.969,0.113,4.527,0.154
26.169,0.231,6.478,0.403,23.844,0.231,8.687,0.403,24.296,0.589,5.637,0.419,33.607,0.544,10.947,0.564,35.455,0.544,6.618,0.564,19.104,0.022,14.139,0.125,7.836,0.019,4.398,0.053,29.731,0.056,16.33,0.178,36.373,2.344,14.327,1.25,24.725,0.097,10.116,0.167,24.136,0.097,10.746,0.167,19.204,0.658,9.14,0.575,18.816,0.658,10.588,0.575,17.42,0.061,9.441,0.122,14.077,0.033,7.369,0.119,20.74,0.031,8.521,0.069,29.273,0.218,7.6,0.313,23.687,0.265,8.563,0.383,15.838,0.186,10.549,0.583,9.694,0.05,5.669,0.102,9.903,0.132,4.53,0.156
26.257,0.239,6.448,0.419,23.957,0.239,8.785,0.419,24.606,0.617,5.581,0.444,33.783,0.631,10.923,0.578,35.676,0.631,6.595,0.578,19.1,0.011,14.074,0.089,7.926,0.019,4.442,0.031,29.981,0.053,16.533,0.2,36.449,2.306,14.238,1.1,24.845,0.083,10.069,0.136,24.221,0.083,10.845,0.136,18.741,0.678,9.044,0.531,18.961,0.678,10.753,0.531,17.54,0.042,9.495,0.15,14.074,0.025,7.362,0.103,20.758,0.031,8.653,0.097,29.193,0.224,7.685,0.331,23.631,0.254,8.606,0.338,15.893,0.202,10.548,0.542,9.696,0.041,5.81,0.075,9.814,0.091,4.501,0.159
26.378,0.228,6.53,0.403,23.895,0.228,8.752,0.403,24.381,0.539,5.587,0.433,33.553,0.514,10.862,0.597,35.314,0.514,6.537,0.597,19.036,0.047,14.065,0.069,7.918,0.022,4.485,0.058,29.702,0.033,16.384,0.208,36.561,2.283,14.341,1.144,25.037,0.05,10.303,0.117,24.101,0.05,10.712,0.117,19.03,0.644,9.157,0.544,18.865,0.644,10.753,0.544,17.377,0.05,9.526,0.131,14.019,0.039,7.341,0.089,20.618,0.028,8.745,0.072,28.952,0.222,7.59,0.299,23.548,0.204,8.507,0.358,15.914,0.175,10.58,0.571,10.332,0.05,6.038,0.077,9.869,0.093,4.563,0.143
26.162,0.247,6.524,0.419,23.81,0.247,8.807,0.419,23.475,0.611,5.323,0.378,33.4,0.603,10.901,0.572,34.78,0.603,6.51,0.572,19.065,0.022,14.086,0.1,7.924,0.031,4.492,0.075,29.593,0.042,16.332,0.219,36.278,2.392,14.319,1.133,24.705,0.072,10.049,0.125,24.468,0.072,10.792,0.125,18.747,0.622,9.168,0.567,18.952,0.622,10.893,0.567,17.346,0.075,9.579,0.181,14.025,0.05,7.348,0.083,20.562,0.014,8.775,0.086,29.038,0.172,7.69,0.302,23.736,0.211,8.528,0.406,15.681,0.184,10.623,0.565,9.727,0.025,5.774,0.093,10.02,0.093,4.585,0.168
26.217,0.167,6.507,0.35,23.926,0.167,8.834,0.35,23.541,0.561,5.261,0.419,33.34,0.528,10.842,0.556,34.866,0.528,6.463,0.556,19.007,0.025,13.985,0.053,7.989,0.022,4.519,0.036,29.616,0.061,16.387,0.192,35.998,2.192,14.177,1.136,24.443,0.075,10.007,0.181,24.059,0.075,10.843,0.181,18.603,0.631,9.173,0.522,19.065,0.631,10.972,0.522,17.168,0.042,9.58,0.139,14.02,0.039,7.316,0.1,20.623,0.019,8.818,0.083,29.16,0.177,7.729,0.347,23.782,0.19,8.517,0.345,15.701,0.159,10.656,0.492,9.947,0.054,5.854,0.086,10.057,0.109,4.612,0.186
26.047,0.236,6.57,0.378,23.991,0.236,8.94,0.378,23.02,0.667,5.115,0.403,33.17,0.517,10.73,0.564,34.399,0.517,6.326,0.564,18.931,0.031,14.038,0.086,7.969,0.028,4.516,0.064,29.746,0.05,16.503,0.186,36.234,2.256,14.316,1.231,24.477,0.053,10.066,0.139,24.375,0.053,10.861,0.139,18.738,0.639,9.383,0.614,18.596,0.639,10.951,0.614,17.133,0.028,9.665,0.156,13.922,0.031,7.278,0.106,20.536,0.039,8.847,0.075,29.119,0.222,7.779,0.329,23.676,0.243,8.548,0.449,15.696,0.197,10.693,0.587,9.635,0.054,5.723,0.068,9.937,0.122,4.624,0.166
26.153,0.228,6.607,0.364,23.936,0.228,8.988,0.364,22.801,0.478,5.02,0.431,33.093,0.572,10.812,0.528,34.364,0.572,6.329,0.528,19.09,0.033,14.027,0.072,7.962,0.047,4.531,0.044,29.366,0.044,16.293,0.181,36.38,2.311,14.349,1.172,24.459,0.047,10.163,0.192,24.299,0.047,10.781,0.192,18.386,0.639,9.294,0.542,18.675,0.639,10.921,0.542,17.02,0.05,9.744,0.175,13.884,0.022,7.35,0.122,20.596,0.028,8.953,0.086,28.577,0.202,7.737,0.286,23.382,0.19,8.446,0.381,15.637,0.213,10.728,0.585,9.87,0.041,5.89,0.059,9.586,0.093,4.49,0.202
26.205,0.239,6.563,0.442,23.925,0.239,9.002,0.442,22.29,0.508,4.893,0.419,32.906,0.556,10.917,0.539,33.609,0.556,6.265,0.539,18.953,0.031,14.041,0.044,7.969,0.036,4.637,0.036,29.533,0.081,16.361,0.219,36.117,2.075,14.341,1.094,24.627,0.069,10.096,0.156,24.448,0.069,10.909,0.156,18.03,0.667,9.247,0.503,18.336,0.667,10.937,0.503,16.791,0.042,9.696,0.15,13.979,0.028,7.314,0.108,20.56,0.044,9.027,0.075,28.231,0.215,7.657,0.286,23.344,0.22,8.344,0.383,15.542,0.188,10.709,0.537,9.596,0.025,5.782,0.063,9.512,0.113,4.493,0.161
26.169,0.242,6.675,0.433,24.046,0.242,9.016,0.433,22.247,0.6,4.86,0.386,32.915,0.481,10.8,0.508,33.768,0.481,6.334,0.508,19.006,0.042,13.985,0.078,7.957,0.036,4.578,0.042,29.384,0.069,16.325,0.222,36.302,2.142,14.353,1.178,24.429,0.047,10.13,0.114,24.493,0.047,10.906,0.114,18.217,0.683,9.485,0.533,18.3,0.683,10.829,0.533,16.919,0.042,9.793,0.189,13.861,0.039,7.243,0.097,20.521,0.028,9.093,0.047,28.258,0.186,7.679,0.297,23.284,0.211,8.384,0.338,15.522,0.229,10.891,0.626,9.831,0.034,5.862,0.079,9.666,0.098,4.508,0.163
26.371,0.25,6.674,0.35,24.093,0.25,9.106,0.35,21.991,0.567,4.774,0.381,32.858,0.561,10.923,0.506,33.475,0.561,6.302,0.506,18.992,0.028,14.055,0.072,7.962,0.019,4.614,0.05,29.336,0.072,16.293,0.183,35.992,2.081,14.24,1.158,24.335,0.061,10.05,0.192,24.409,0.061,10.901,0.192,18.34,0.578,9.594,0.589,18.325,0.578,10.91,0.589,16.803,0.039,9.821,0.156,13.926,0.044,7.319,0.108,20.43,0.019,9.19,0.069,28.463,0.197,7.734,0.247,23.432,0.188,8.323,0.349,15.545,0.2,10.992,0.617,9.711,0.036,5.798,0.084,9.808,0.12,4.578,0.15
26.544,0.225,6.736,0.397,24.058,0.225,9.096,0.397,21.908,0.456,4.775,0.392,32.766,0.472,10.938,0.556,33.305,0.472,6.331,0.556,18.955,0.042,14.103,0.083,8.002,0.019,4.604,0.056,29.247,0.05,16.209,0.228,36.211,2.083,14.479,1.067,24.124,0.058,9.977,0.158,24.538,0.058,10.899,0.158,17.939,0.55,9.542,0.558,18.286,0.55,10.942,0.558,16.715,0.047,9.951,0.186,13.739,0.033,7.242,0.119,20.367,0.036,9.169,0.061,28.416,0.204,7.837,0.27,23.314,0.206,8.271,0.331,15.499,0.211,10.961,0.608,9.587,0.034,5.824,0.086,9.666,0.145,4.621,0.204
26.702,0.222,6.761,0.417,23.889,0.222,9.214,0.417,21.478,0.514,4.693,0.419,32.591,0.519,10.99,0.553,33.075,0.519,6.32,0.553,18.956,0.036,14.076,0.044,7.988,0.022,4.645,0.064,29.425,0.044,16.28,0.147,36.026,2.089,14.3,1.244,24.226,0.056,10.046,0.169,24.47,0.056,10.941,0.169,17.98,0.631,9.558,0.542,18.216,0.631,11.024,0.542,16.685,0.028,9.931,0.169,13.726,0.022,7.246,0.122,20.36,0.025,9.216,0.097,28.855,0.206,7.939,0.281,23.552,0.2,8.364,0.381,15.424,0.177,11.049,0.522,9.791,0.045,5.879,0.086,9.562,0.113,4.511,0.19
26.722,0.233,6.85,0.411,23.976,0.233,9.197,0.411,21.332,0.578,4.669,0.447,32.589,0.542,11.1,0.575,32.733,0.542,6.275,0.575,18.996,0.056,14.065,0.081,7.988,0.017,4.667,0.028,29.225,0.044,16.113,0.206,36.087,2.111,14.35,1.197,23.865,0.086,9.827,0.186,24.705,0.086,11.007,0.186,18.142,0.5,9.737,0.514,18.141,0.5,10.962,0.514,16.694,0.056,10.057,0.186,13.792,0.031,7.308,0.1,20.248,0.025,9.332,0.069,28.984,0.197,7.983,0.317,23.772,0.186,8.446,0.399,15.363,0.2,11.153,0.626,9.646,0.029,5.822,0.104,9.39,0.161,4.531,0.186
26.576,0.297,6.835,0.425,24.21,0.297,9.259,0.425,20.62,0.531,4.502,0.453,32.286,0.456,11.112,0.503,32.224,0.456,6.176,0.503,19.107,0.022,14.13,0.053,8.036,0.036,4.722,0.053,29.253,0.047,16.177,0.231,36.277,2.072,14.411,1.117,24.056,0.053,9.939,0.147,24.704,0.053,10.931,0.147,17.895,0.583,9.702,0.575,18.062,0.583,10.972,0.575,16.454,0.039,10.03,0.144,13.78,0.044,7.268,0.097,20.157,0.036,9.392,0.067,28.979,0.22,8.064,0.333,23.805,0.17,8.467,0.379,15.367,0.261,11.203,0.556,9.725,0.036,5.976,0.088,9.432,0.122,4.536,0.177
26.672,0.231,6.901,0.431,24.045,0.231,9.319,0.431,20.325,0.497,4.435,0.356,32.115,0.506,11.11,0.536,31.907,0.506,6.266,0.536,18.988,0.022,14.1,0.131,8.071,0.031,4.742,0.039,29.006,0.053,16.05,0.194,36.214,2.178,14.529,1.211,24.285,0.083,10.058,0.136,24.693,0.083,10.963,0.136,17.692,0.606,9.678,0.525,18.14,0.606,11.053,0.525,16.423,0.058,10.121,0.169,13.72,0.019,7.354,0.103,20.032,0.028,9.431,0.108,28.5,0.152,8.023,0.243,23.389,0.213,8.33,0.383,15.296,0.197,11.301,0.567,9.691,0.045,5.973,0.091,9.366,0.109,4.579,0.154
26.78,0.267,6.99,0.467,24.033,0.267,9.287,0.467,20.542,0.414,4.458,0.356,32.209,0.522,11.198,0.6,32.169,0.522,6.312,0.6,18.965,0.028,14.064,0.078,8.079,0.031,4.713,0.047,29.363,0.053,16.2,0.194,36.11,2.183,14.419,1.164,24.066,0.089,10.086,0.158,24.477,0.089,10.862,0.158,17.589,0.633,9.718,0.536,17.984,0.633,11.011,0.536,16.363,0.047,10.159,0.158,13.741,0.033,7.317,0.108,20.043,0.022,9.538,0.078,27.864,0.177,7.921,0.279,23.181,0.186,8.278,0.333,15.235,0.172,11.334,0.558,9.8,0.054,5.926,0.052,9.58,0.1,4.649,0.188
26.806,0.244,7.015,0.381,23.987,0.244,9.33,0.381,20.571,0.522,4.496,0.442,32.037,0.497,11.302,0.575,32.324,0.497,6.377,0.575,18.881,0.031,13.871,0.078,8.112,0.025,4.779,0.072,29.009,0.072,16.061,0.158,35.911,2.131,14.366,1.192,23.949,0.044,10.046,0.133,24.797,0.044,11.02,0.133,17.601,0.614,9.794,0.594,18.108,0.614,11.136,0.594,16.48,0.058,10.323,0.133,13.596,0.044,7.233,0.092,19.98,0.039,9.592,0.092,27.438,0.147,7.926,0.231,23.029,0.184,8.075,0.333,15.259,0.213,11.513,0.571,9.771,0.027,6.028,0.086,9.284,0.147,4.568,0.166
26.779,0.208,7.042,0.447,24.016,0.208,9.388,0.447,20.222,0.528,4.363,0.358,32.29,0.492,11.368,0.556,31.853,0.492,6.442,0.556,18.933,0.025,13.896,0.067,8.047,0.025,4.768,0.056,28.962,0.072,16.016,0.192,36.015,2.214,14.501,1.206,23.937,0.056,9.923,0.136,24.565,0.056,11.079,0.136,17.553,0.547,9.81,0.561,17.917,0.547,11.043,0.561,16.311,0.033,10.192,0.167,13.633,0.033,7.258,0.108,19.902,0.031,9.685,0.083,27.777,0.15,8.009,0.256,23.241,0.211,8.222,0.324,15.164,0.202,11.591,0.624,9.791,0.034,6.118,0.111,9.671,0.111,4.753,0.163
26.707,0.239,7.068,0.406,24.066,0.239,9.501,0.406,20.21,0.583,4.426,0.433,31.953,0.467,11.331,0.506,31.7,0.467,6.346,0.506,19.016,0.039,13.88,0.089,8.054,0.042,4.782,0.067,29.435,0.039,16.257,0.206,36.05,2.153,14.5,1.042,24.011,0.061,10.088,0.15,24.719,0.061,11.032,0.15,17.438,0.656,9.836,0.578,17.821,0.656,11.037,0.578,16.192,0.039,10.317,0.125,13.562,0.053,7.3,0.111,19.949,0.025,9.748,0.089,28.211,0.17,8.122,0.27,23.391,0.193,8.325,0.331,15.232,0.247,11.642,0.576,9.857,0.025,6.194,0.088,9.463,0.122,4.666,0.161
26.553,0.225,7.082,0.428,24.343,0.225,9.528,0.428,19.962,0.45,4.423,0.358,31.823,0.486,11.458,0.533,31.671,0.486,6.428,0.533,18.97,0.019,13.932,0.092,8.047,0.039,4.821,0.061,28.968,0.056,15.953,0.175,35.985,2.178,14.502,1.2,23.865,0.028,9.91,0.139,24.752,0.028,11.036,0.139,17.399,0.544,9.915,0.564,17.588,0.544,10.961,0.564,16.054,0.047,10.411,0.133,13.614,0.053,7.298,0.097,19.889,0.028,9.848,0.094,28.454,0.17,8.255,0.281,23.493,0.222,8.282,0.315,15.225,0.206,11.711,0.603,9.574,0.041,6.03,0.075,9.661,0.107,4.711,0.186
26.578,0.217,7.14,0.425,24.232,0.217,9.585,0.425,19.949,0.494,4.326,0.411,31.911,0.508,11.549,0.528,31.428,0.508,6.501,0.528,18.974,0.033,13.814,0.064,8.108,0.031,4.794,0.036,28.956,0.05,15.918,0.219,36.155,2.167,14.504,1.106,24.005,0.056,10.133,0.183,24.784,0.056,11.06,0.183,17.058,0.553,9.862,0.594,17.595,0.553,11.01,0.594,16.025,0.031,10.418,0.156,13.644,0.047,7.33,0.111,19.98,0.019,10.039,0.089,28.379,0.172,8.303,0.29,23.52,0.172,8.325,0.361,15.189,0.209,11.891,0.63,9.73,0.029,6.094,0.082,9.402,0.12,4.675,0.175
26.747,0.219,7.155,0.414,24.383,0.219,9.699,0.414,19.709,0.503,4.341,0.369,32.077,0.5,11.601,0.492,31.487,0.5,6.471,0.492,18.93,0.033,13.838,0.083,8.092,0.017,4.851,0.058,29.064,0.05,15.918,0.169,36.286,2.147,14.626,1.119,24.014,0.083,10.069,0.192,24.851,0.083,11.092,0.192,17.289,0.65,9.955,0.597,17.693,0.65,11.04,0.597,15.924,0.056,10.518,0.136,13.638,0.028,7.282,0.081,19.796,0.033,10.018,0.083,28.342,0.186,8.353,0.322,23.384,0.193,8.294,0.401,15.207,0.222,11.969,0.565,9.874,0.036,6.231,0.073,9.633,0.152,4.724,0.168
26.692,0.231,7.235,0.4,24.374,0.231,9.715,0.4,19.418,0.45,4.313,0.419,31.86,0.469,11.636,0.525,31.217,0.469,6.567,0.525,18.913,0.033,13.894,0.081,8.091,0.028,4.897,0.031,28.969,0.072,15.862,0.219,35.928,2.053,14.541,1.061,24.009,0.022,10.098,0.175,25.032,0.022,11.145,0.175,17.073,0.542,9.951,0.556,17.527,0.542,11.006,0.556,15.837,0.042,10.521,0.178,13.512,0.031,7.326,0.142,19.741,0.028,10.095,0.081,28.435,0.193,8.439,0.313,23.535,0.202,8.426,0.329,15.027,0.209,11.956,0.517,9.705,0.043,6.166,0.1,9.311,0.109,4.685,0.166
26.807,0.253,7.279,0.414,24.479,0.253,9.812,0.414,19.121,0.528,4.19,0.403,31.721,0.439,11.694,0.478,30.74,0.439,6.448,0.478,18.879,0.044,13.753,0.072,8.155,0.05,4.907,0.05,28.978,0.047,15.799,0.189,35.952,2.131,14.578,1.111,23.472,0.064,9.967,0.167,24.978,0.064,11.106,0.167,16.94,0.544,9.998,0.528,17.256,0.544,10.958,0.528,15.823,0.053,10.545,0.136,13.612,0.008,7.292,0.1,19.776,0.011,10.213,0.092,28.581,0.22,8.512,0.315,23.605,0.19,8.402,0.354,15.073,0.181,12.14,0.61,9.594,0.059,6.184,0.091,9.482,0.116,4.719,0.168
26.966,0.261,7.355,0.4,24.346,0.261,9.822,0.4,19.181,0.481,4.248,0.403,31.837,0.481,11.743,0.45,31.039,0.481,6.549,0.45,18.996,0.025,13.798,0.094,8.124,0.028,4.892,0.064,29.067,0.056,15.823,0.192,36.069,2.025,14.716,1.122,23.61,0.089,9.895,0.167,25.016,0.089,11.098,0.167,17.062,0.492,10.044,0.575,17.088,0.492,10.932,0.575,15.851,0.036,10.604,0.172,13.644,0.028,7.374,0.131,19.73,0.025,10.281,0.092,28.446,0.163,8.517,0.259,23.608,0.204,8.335,0.351,15.05,0.206,12.1,0.569,9.386,0.036,6.156,0.086,9.317,0.143,4.663,0.177
26.93,0.225,7.401,0.383,24.503,0.225,9.925,0.383,19.176,0.531,4.23,0.356,31.881,0.5,11.77,0.547,30.903,0.5,6.64,0.547,18.937,0.042,13.779,0.094,8.076,0.031,4.883,0.064,28.775,0.064,15.676,0.167,36.195,2.078,14.702,1.103,23.407,0.056,9.874,0.15,25.068,0.056,11.167,0.15,16.996,0.522,10.138,0.558,17.418,0.522,11.054,0.558,15.787,0.033,10.722,0.128,13.488,0.036,7.329,0.108,19.481,0.028,10.31,0.081,28.639,0.161,8.579,0.295,23.568,0.227,8.4,0.385,14.98,0.175,12.151,0.608,9.362,0.057,6.252,0.086,9.17,0.1,4.563,0.138
26.98,0.275,7.43,0.439,24.505,0.275,10.014,0.439,18.772,0.547,4.148,0.389,31.718,0.422,11.926,0.472,30.427,0.422,6.632,0.472,18.975,0.025,13.716,0.089,8.077,0.019,4.942,0.067,29.046,0.039,15.788,0.164,36.322,2.264,14.795,1.214,23.563,0.083,10.021,0.128,24.98,0.083,11.225,0.128,16.824,0.575,9.988,0.519,17.352,0.575,11.039,0.519,15.658,0.072,10.677,0.186,13.499,0.047,7.342,0.108,19.645,0.036,10.45,0.092,28.671,0.184,8.685,0.259,23.656,0.197,8.366,0.365,15.034,0.222,12.276,0.576,9.989,0.027,6.842,0.079,8.374,0.116,4.198,0.141
26.795,0.278,7.508,0.464,24.535,0.278,10.099,0.464,19.138,0.511,4.224,0.322,31.74,0.483,11.875,0.522,30.568,0.483,6.702,0.522,18.984,0.022,13.824,0.103,8.121,0.022,4.948,0.064,29.048,0.053,15.82,0.228,36.17,1.928,14.818,1.203,23.521,0.036,9.978,0.169,24.966,0.036,11.214,0.169,16.823,0.653,10.13,0.542,17.167,0.653,11.066,0.542,15.537,0.036,10.667,0.131,13.634,0.014,7.356,0.086,19.532,0.028,10.525,0.075,28.116,0.179,8.65,0.304,23.534,0.147,8.339,0.283,15.143,0.181,12.518,0.587,9.773,0.041,7.242,0.095,7.563,0.111,3.785,0.134
26.882,0.25,7.581,0.497,24.434,0.25,10.26,0.497,18.776,0.486,4.248,0.356,31.559,0.431,12.579,0.656,30.48,0.431,6.947,0.656,18.993,0.025,13.853,0.089,8.077,0.036,5.063,0.072,28.675,0.056,15.582,0.167,35.918,2.047,14.761,1.119,23.215,0.061,9.901,0.167,24.935,0.061,11.25,0.167,16.677,0.531,10.75,0.597,16.883,0.531,11.577,0.597,15.465,0.053,10.843,0.136,13.553,0.047,7.385,0.094,19.511,0.036,10.692,0.075,28.774,0.186,8.941,0.286,23.868,0.184,8.453,0.315,14.997,0.245,12.59,0.535,9.547,0.043,7.432,0.077,8.017,0.134,4.545,0.184
26.893,0.242,7.957,0.417,24.536,0.242,10.904,0.417,18.674,0.5,4.322,0.375,31.645,0.533,13.833,0.728,30.214,0.533,7.356,0.728,18.839,0.011,13.718,0.086,8.052,0.025,5.082,0.044,28.948,0.2,15.904,0.678,35.147,2.044,14.616,1.053,23.31,0.044,10.156,0.131,25.009,0.044,11.329,0.131,16.332,0.567,11.825,0.622,17.209,0.567,13.144,0.622,15.573,0.05,11.597,0.153,13.692,0.047,7.707,0.114,19.749,0.014,11.307,0.083,28.433,0.215,9.596,0.238,23.554,0.218,8.659,0.383,14.923,0.177,13.041,0.59,9.896,0.048,7.894,0.079,7.979,0.141,4.949,0.163
27.091,0.228,8.408,0.436,24.565,0.228,11.605,0.436,18.465,0.472,4.342,0.381,31.858,0.525,15.222,0.689,30.058,0.525,7.748,0.689,18.901,0.017,13.756,0.092,8.123,0.036,5.099,0.069,28.804,0.325,15.921,0.894,36.055,2.125,15.281,1.028,23.829,0.047,10.44,0.164,24.817,0.047,11.587,0.164,16.379,0.544,12.777,0.533,17.364,0.544,14.213,0.533,15.493,0.044,12.413,0.133,13.85,0.036,8.038,0.111,19.969,0.017,12.327,0.083,28.559,0.156,10.193,0.322,23.77,0.209,9.168,0.336,14.938,0.222,13.501,0.639,9.66,0.034,7.889,0.091,8.097,0.129,5.216,0.172
27.304,0.292,8.978,0.458,24.576,0.292,12.259,0.458,18.601,0.497,4.553,0.353,31.763,0.447,16.082,0.642,30.307,0.447,8.338,0.642,18.913,0.036,13.806,0.097,8.205,0.033,5.122,0.056,28.856,0.419,16.317,1.303,35.273,1.997,15.754,1.122,22.609,0.064,10.138,0.128,24.87,0.064,12.003,0.128,16.351,0.542,13.426,0.525,17.35,0.542,15.073,0.525,15.375,0.053,12.905,0.156,13.884,0.044,8.345,0.097,20.087,0.022,13.177,0.081,28.449,0.218,10.689,0.265,23.765,0.204,9.395,0.367,14.914,0.166,13.986,0.624,9.517,0.041,8.138,0.082,8.206,0.127,5.427,0.197
27.61,0.219,9.429,0.431,24.577,0.219,12.996,0.431,18.45,0.481,4.646,0.383,31.692,0.481,16.761,0.65,30.275,0.481,8.752,0.65,18.954,0.031,13.873,0.1,8.154,0.028,5.228,0.058,28.632,0.308,16.354,1.078,35.471,2.067,16.301,1.108,23.674,0.081,10.893,0.142,24.524,0.081,12.127,0.142,16.393,0.533,13.797,0.528,17.222,0.533,15.31,0.528,15.378,0.053,13.349,0.161,13.999,0.039,8.745,0.094,20.083,0.017,14.036,0.069,28.12,0.166,11.156,0.274,23.607,0.218,9.509,0.317,14.895,0.181,14.389,0.624,9.499,0.032,8.46,0.054,8.281,0.129,5.524,0.211
27.743,0.281,9.822,0.339,24.447,0.281,13.396,0.339,18.691,0.5,4.876,0.422,31.831,0.539,17.141,0.567,30.607,0.539,9.104,0.567,18.789,0.019,14.077,0.1,8.177,0.006,5.238,0.042,28.104,0.247,16.292,0.797,35.364,1.986,16.826,1.178,23.023,0.05,10.884,0.156,24.317,0.05,12.344,0.156,16.148,0.481,13.851,0.544,17.227,0.481,15.671,0.544,15.389,0.033,13.692,0.181,13.838,0.014,8.929,0.117,19.944,0.019,14.584,0.078,27.806,0.213,11.413,0.331,23.459,0.195,9.663,0.397,15.108,0.209,14.812,0.553,9.507,0.025,8.668,0.093,8.258,0.111,5.672,0.179
27.851,0.208,10.189,0.406,24.415,0.208,13.823,0.406,18.462,0.403,4.935,0.414,31.931,0.5,17.413,0.556,30.719,0.5,9.499,0.556,18.679,0.019,14.161,0.1,8.144,0.047,5.308,0.053,27.961,0.225,16.438,0.728,34.707,1.914,17.099,1.078,22.922,0.075,11.009,0.158,24.102,0.075,12.639,0.158,16.256,0.592,14.117,0.569,17.361,0.592,15.769,0.569,15.452,0.053,13.972,0.142,13.893,0.031,9.087,0.117,19.883,0.019,15.145,0.072,27.717,0.181,11.676,0.293,23.262,0.177,9.803,0.347,15.039,0.179,14.977,0.565,9.608,0.045,8.807,0.111,8.381,0.143,5.87,0.175
