HyPer_1,HyPer1_BG,HyPer_2,HyPer2_BG,HyPer_3,HyPer3_BG,HyPer4,HyPer4_BG,HyPer5,HyPer5_BG,HyPer6,HyPer6_BG,HyPer7,HyPer7_BG,HyPer8,HyPer8_BG,HyPer9,HyPer9_BG,HyPer10,HyPer10_BG,HyPer11,HyPer11_BG,HyPer12,HyPer12_BG,HyPer13,HyPer13_BG,HyPer14,HyPer14_BG,HyPer15,HyPer15_BG,HyPer16,HyPer16_BG,HyPer17,HyPer17_BG,HyPer18,HyPer18_BG
8.598,0.507,5.989,1.127,4.27,0.417,15.485,1.342,15.476,0.668,12.299,0.616,7.677,0.324,11.703,0.271,7.52,0.269,8.079,0.336,7.45,0.336,6.137,0.162,14.442,1.301,12.406,1.301,11.334,0.647,12.191,0.563,19.774,0.563,19.26,0.231
8.778,0.507,6.084,1.232,4.359,0.386,15.696,1.318,15.992,0.675,12.787,0.621,7.91,0.408,11.893,0.255,7.651,0.306,8.163,0.338,7.595,0.338,6.303,0.171,14.699,1.241,12.567,1.241,11.511,0.638,12.412,0.669,20.192,0.669,19.534,0.238
8.924,0.546,6.15,1.043,4.439,0.405,16.203,1.224,16.371,0.619,13.131,0.698,8.159,0.424,12,0.305,7.685,0.296,8.29,0.35,7.725,0.35,6.368,0.171,14.926,1.315,12.915,1.315,11.592,0.661,12.717,0.672,20.281,0.672,19.738,0.252
9.084,0.446,6.186,1.203,4.525,0.398,16.564,1.3,16.603,0.667,13.566,0.573,8.334,0.358,11.926,0.247,7.644,0.301,8.458,0.282,7.976,0.282,6.537,0.144,15.211,1.262,13.222,1.262,11.793,0.707,12.785,0.58,20.513,0.58,20.04,0.225
9.256,0.472,6.214,1.191,4.595,0.437,16.813,1.242,17.035,0.61,13.932,0.667,8.496,0.363,11.921,0.253,7.605,0.343,8.544,0.301,8.034,0.301,6.579,0.15,15.344,1.234,13.453,1.234,11.774,0.694,13.013,0.589,20.708,0.589,20.169,0.215
9.351,0.456,6.288,1.191,4.66,0.433,16.928,1.303,17.105,0.575,14.218,0.681,8.76,0.4,11.929,0.258,7.501,0.301,8.662,0.306,8.211,0.306,6.62,0.181,15.469,1.257,13.615,1.257,11.877,0.674,13.166,0.639,20.841,0.639,20.49,0.246
9.522,0.507,6.388,1.191,4.733,0.396,17.216,1.358,17.402,0.608,14.529,0.728,8.894,0.416,11.98,0.242,7.631,0.326,8.81,0.322,8.288,0.322,6.694,0.183,15.505,1.236,13.836,1.236,12.031,0.746,13.313,0.619,21.004,0.619,20.634,0.264
9.65,0.478,6.42,1.179,4.789,0.456,17.588,1.297,17.403,0.586,14.811,0.649,9.094,0.403,11.96,0.303,7.609,0.296,8.912,0.319,8.434,0.319,6.799,0.171,15.667,1.264,14.063,1.264,11.997,0.696,13.49,0.574,21.143,0.574,20.781,0.26
9.832,0.462,6.473,1.179,4.872,0.396,17.669,1.313,17.62,0.63,14.97,0.677,9.314,0.408,11.927,0.284,7.577,0.287,8.966,0.306,8.468,0.306,6.792,0.211,15.637,1.273,14.217,1.273,11.992,0.696,13.624,0.694,21.19,0.694,20.838,0.215
9.876,0.404,6.557,1.25,4.964,0.361,17.444,1.208,17.259,0.644,14.894,0.677,9.503,0.382,12.108,0.276,7.564,0.31,9.097,0.359,8.422,0.359,6.734,0.199,15.655,1.319,14.356,1.319,12.019,0.731,13.687,0.656,21.201,0.656,20.741,0.287
9.957,0.415,6.499,1.203,4.987,0.411,17.582,1.411,17.508,0.607,15.254,0.693,9.7,0.403,12.024,0.237,7.632,0.296,9.15,0.319,8.539,0.319,6.857,0.16,15.74,1.248,14.547,1.248,11.998,0.688,13.761,0.622,21.068,0.622,20.841,0.229
10.059,0.357,6.579,1.312,5.033,0.415,17.771,1.334,17.703,0.66,15.571,0.665,9.912,0.416,12.068,0.258,7.612,0.336,9.202,0.308,8.601,0.308,6.952,0.204,15.875,1.317,14.738,1.317,11.998,0.649,13.894,0.619,21.118,0.619,20.903,0.248
10.095,0.308,6.617,1.285,5.079,0.402,17.913,1.179,17.951,0.575,15.828,0.665,9.98,0.337,12.063,0.284,7.562,0.296,9.287,0.35,8.723,0.35,6.985,0.162,15.924,1.185,14.897,1.185,11.893,0.63,14.076,0.611,21.151,0.611,20.77,0.262
10.27,0.448,6.735,1.322,5.164,0.37,18.181,1.276,18.095,0.57,16.114,0.658,10.114,0.416,11.963,0.332,7.487,0.333,9.372,0.317,9.016,0.317,7.077,0.188,16.006,1.116,15.091,1.116,11.963,0.649,14.128,0.609,21.197,0.609,20.963,0.19
10.365,0.431,6.702,1.209,5.177,0.421,18.4,1.471,17.893,0.605,16.131,0.697,10.18,0.397,12.063,0.274,7.526,0.326,9.41,0.306,8.961,0.306,7.068,0.155,15.925,1.275,15.153,1.275,12.117,0.663,14.243,0.663,21.343,0.663,21.083,0.215
10.433,0.446,6.741,1.32,5.222,0.402,18.205,1.368,18.02,0.67,16.279,0.718,10.337,0.434,11.89,0.295,7.448,0.322,9.571,0.326,9.015,0.326,7.105,0.164,15.951,1.266,15.27,1.266,12.229,0.705,14.343,0.646,21.42,0.646,21.186,0.279
10.502,0.382,6.791,1.166,5.255,0.386,18.397,1.321,18.004,0.675,16.513,0.7,10.568,0.358,12.166,0.332,7.519,0.352,9.595,0.317,9.109,0.317,7.166,0.19,15.85,1.197,15.482,1.197,12.27,0.667,14.418,0.598,21.475,0.598,21.315,0.202
10.623,0.357,6.832,1.281,5.286,0.413,18.411,1.382,18.172,0.668,16.613,0.674,10.721,0.311,12.298,0.313,7.682,0.35,9.575,0.289,9.03,0.289,7.172,0.15,15.948,1.262,15.566,1.262,12.176,0.614,14.511,0.644,21.499,0.644,21.224,0.233
10.603,0.39,6.814,1.175,5.311,0.417,18.488,1.295,17.978,0.649,16.806,0.589,10.9,0.389,12.328,0.258,7.741,0.326,9.697,0.375,9.156,0.375,7.241,0.181,15.982,1.215,15.641,1.215,12.248,0.698,14.566,0.613,21.423,0.613,21.388,0.279
10.718,0.382,6.887,1.248,5.38,0.351,18.624,1.368,18.088,0.63,16.925,0.674,11.097,0.389,12.408,0.303,7.701,0.338,9.764,0.303,9.258,0.303,7.217,0.213,15.979,1.229,15.813,1.229,12.177,0.62,14.671,0.635,21.395,0.635,21.12,0.236
10.781,0.487,6.918,1.24,5.378,0.404,18.608,1.439,17.94,0.686,17.004,0.64,11.177,0.424,12.468,0.237,7.848,0.336,9.806,0.322,9.294,0.322,7.231,0.197,16.045,1.359,15.946,1.359,12.255,0.622,14.744,0.639,21.482,0.639,21.245,0.24
10.844,0.454,6.975,1.218,5.448,0.429,18.517,1.321,17.918,0.635,17.094,0.668,11.459,0.447,12.552,0.255,7.76,0.324,9.781,0.317,9.4,0.317,7.335,0.171,15.996,1.225,15.985,1.225,12.272,0.694,14.807,0.6,21.482,0.6,21.455,0.293
10.907,0.409,6.97,1.246,5.479,0.448,18.746,1.453,17.938,0.683,17.182,0.654,11.559,0.384,12.517,0.274,7.646,0.333,9.879,0.387,9.433,0.387,7.267,0.222,15.889,1.269,16.049,1.269,12.47,0.667,15.053,0.609,21.839,0.609,21.732,0.238
10.843,0.39,6.901,1.277,5.431,0.47,18.918,1.4,18.208,0.697,17.329,0.711,11.626,0.358,12.523,0.292,7.638,0.28,9.976,0.387,9.447,0.387,7.231,0.162,15.743,1.306,16.117,1.306,12.445,0.643,14.974,0.626,21.703,0.626,21.47,0.194
10.778,0.326,6.875,1.242,5.404,0.446,18.795,1.339,17.787,0.635,17.704,0.644,11.691,0.374,12.507,0.253,7.777,0.322,10.002,0.315,9.53,0.315,7.21,0.15,15.811,1.363,16.158,1.363,12.444,0.7,14.941,0.559,21.254,0.559,20.523,0.246
10.634,0.417,6.834,1.179,5.373,0.439,18.583,1.308,17.426,0.656,17.704,0.711,11.57,0.384,12.404,0.266,7.668,0.303,9.931,0.382,9.407,0.382,7.109,0.167,15.504,1.354,16.085,1.354,12.243,0.684,14.806,0.681,21.102,0.681,19.853,0.236
10.611,0.327,6.824,1.214,5.344,0.357,17.839,1.3,16.562,0.658,17.091,0.642,11.541,0.403,12.34,0.305,7.612,0.331,9.824,0.312,9.397,0.312,7.111,0.157,15.306,1.382,16.184,1.382,12.257,0.682,14.743,0.674,20.962,0.674,19.406,0.273
10.555,0.402,6.811,1.197,5.319,0.441,17.4,1.253,16.34,0.626,16.993,0.66,11.356,0.379,12.095,0.271,7.45,0.356,9.816,0.338,9.531,0.338,7.129,0.194,15.572,1.356,16.2,1.356,12.205,0.7,14.654,0.615,20.728,0.615,19.042,0.25
10.464,0.421,6.749,1.164,5.289,0.489,17.389,1.242,16.049,0.638,16.879,0.683,11.316,0.376,11.993,0.292,7.284,0.312,9.888,0.312,9.581,0.312,7.081,0.181,15.198,1.336,16.159,1.336,12.132,0.665,14.463,0.635,20.599,0.635,18.824,0.248
10.44,0.339,6.743,1.103,5.233,0.505,17.188,1.274,15.924,0.605,16.724,0.644,11.143,0.397,11.784,0.226,7.194,0.352,9.852,0.359,9.606,0.359,7.162,0.181,15.279,1.317,16.12,1.317,12.06,0.651,14.351,0.615,20.259,0.615,18.523,0.262
10.383,0.359,6.692,1.152,5.241,0.452,16.881,1.318,15.714,0.646,16.447,0.651,11.109,0.416,11.711,0.297,7.107,0.352,9.894,0.275,9.439,0.275,6.991,0.206,14.941,1.245,16.168,1.245,11.969,0.663,14.38,0.667,20.208,0.667,18.396,0.244
10.379,0.384,6.773,1.234,5.235,0.4,16.764,1.368,15.571,0.616,16.202,0.61,10.991,0.408,11.606,0.245,7.044,0.338,9.898,0.329,9.466,0.329,6.997,0.164,14.925,1.301,16.138,1.301,11.919,0.62,14.266,0.687,20.099,0.687,18.125,0.248
10.352,0.353,6.752,1.355,5.206,0.407,16.76,1.324,15.402,0.684,15.955,0.651,10.957,0.392,11.659,0.247,7.04,0.319,9.85,0.312,9.62,0.312,7.047,0.155,14.772,1.282,16.228,1.282,11.944,0.653,14.171,0.702,20.062,0.702,18.156,0.277
10.311,0.376,6.751,1.099,5.216,0.452,16.588,1.363,15.138,0.665,15.825,0.663,10.952,0.461,11.483,0.268,6.996,0.38,9.829,0.312,9.468,0.312,6.967,0.15,14.724,1.442,16.174,1.442,11.936,0.707,14.14,0.615,20.02,0.615,17.991,0.248
10.3,0.386,6.682,1.121,5.222,0.464,16.628,1.337,14.988,0.661,15.656,0.66,10.934,0.434,11.552,0.237,6.938,0.363,9.863,0.287,9.429,0.287,7.003,0.174,14.766,1.306,16.186,1.306,11.911,0.663,14.072,0.6,19.945,0.6,17.909,0.267
10.308,0.337,6.703,1.185,5.234,0.433,16.425,1.405,14.914,0.67,15.561,0.647,10.893,0.426,11.356,0.268,6.887,0.28,9.841,0.308,9.468,0.308,7.007,0.16,14.657,1.363,16.172,1.363,11.816,0.655,14.036,0.652,19.775,0.652,17.601,0.215
10.281,0.322,6.724,1.162,5.213,0.427,16.217,1.605,14.529,0.728,15.152,0.64,10.901,0.421,11.369,0.2,6.887,0.292,9.831,0.366,9.461,0.366,6.987,0.176,14.513,1.285,16.075,1.285,11.779,0.643,13.989,0.65,19.477,0.65,17.493,0.252
10.287,0.341,6.722,1.175,5.197,0.439,16.139,1.295,14.288,0.64,15.174,0.675,10.812,0.397,11.164,0.261,6.752,0.326,9.854,0.331,9.477,0.331,6.992,0.164,14.544,1.426,16.173,1.426,11.68,0.63,13.949,0.615,19.499,0.615,17.326,0.279
10.253,0.331,6.696,1.127,5.229,0.489,16.25,1.358,14.33,0.631,15.055,0.661,10.863,0.397,11.345,0.324,6.754,0.273,9.839,0.299,9.48,0.299,6.929,0.197,14.428,1.338,16.14,1.338,11.642,0.634,13.986,0.572,19.486,0.572,17.127,0.236
10.274,0.316,6.71,1.203,5.219,0.413,16.251,1.324,14.407,0.64,15.235,0.603,10.906,0.387,11.271,0.282,6.858,0.303,9.773,0.338,9.552,0.338,6.923,0.185,14.238,1.354,16.03,1.354,11.538,0.665,13.922,0.709,19.378,0.709,17.06,0.238
10.273,0.382,6.722,1.156,5.203,0.485,16.193,1.474,14.305,0.614,15.211,0.737,10.85,0.392,11.324,0.303,6.709,0.329,9.785,0.292,9.507,0.292,6.911,0.178,14.185,1.34,16.051,1.34,11.565,0.657,13.953,0.624,19.292,0.624,16.927,0.231
10.283,0.349,6.73,1.185,5.191,0.363,16.227,1.213,14.157,0.612,15.156,0.7,10.862,0.321,11.147,0.268,6.718,0.352,9.87,0.285,9.562,0.285,6.951,0.162,14.239,1.458,16.059,1.458,11.548,0.682,13.751,0.635,19.189,0.635,16.992,0.231
10.215,0.353,6.724,1.027,5.186,0.441,16.384,1.292,14.144,0.681,15.134,0.698,10.784,0.397,11.03,0.253,6.623,0.343,9.757,0.333,9.65,0.333,6.965,0.155,14.303,1.308,16.149,1.308,11.638,0.64,13.821,0.648,19.464,0.648,16.946,0.238
10.244,0.368,6.68,1.101,5.213,0.493,16.3,1.466,14.069,0.64,15.119,0.697,10.912,0.408,11.085,0.247,6.636,0.319,9.763,0.315,9.768,0.315,7.032,0.144,14.494,1.38,16.17,1.38,11.712,0.579,13.82,0.648,19.356,0.648,16.911,0.252
10.244,0.355,6.687,1.06,5.194,0.407,16.154,1.429,13.982,0.6,15.079,0.718,10.865,0.413,11.056,0.258,6.614,0.312,9.703,0.35,9.713,0.35,7.007,0.16,14.377,1.241,16.256,1.241,11.572,0.663,13.802,0.696,19.297,0.696,16.704,0.223
10.286,0.402,6.693,0.947,5.212,0.417,16.21,1.379,13.821,0.697,14.969,0.713,10.864,0.355,11.151,0.303,6.686,0.303,9.613,0.294,9.718,0.294,7.034,0.176,14.18,1.412,16.176,1.412,11.54,0.628,13.762,0.639,19.169,0.639,16.501,0.26
10.241,0.4,6.659,0.982,5.175,0.446,16.154,1.447,13.731,0.63,14.776,0.72,10.809,0.439,11.063,0.253,6.557,0.289,9.733,0.259,9.617,0.259,6.987,0.208,14.173,1.312,16.06,1.312,11.635,0.669,13.831,0.598,19.151,0.598,16.57,0.236
10.23,0.343,6.682,0.986,5.198,0.409,16.048,1.311,13.585,0.677,14.718,0.656,10.741,0.416,10.946,0.276,6.574,0.282,9.712,0.282,9.759,0.282,6.955,0.16,14.065,1.359,16.196,1.359,11.632,0.651,13.883,0.637,19.184,0.637,16.634,0.213
10.306,0.343,6.708,0.918,5.228,0.493,16.097,1.45,13.729,0.661,14.849,0.667,10.843,0.389,10.826,0.245,6.504,0.329,9.706,0.319,9.646,0.319,7.002,0.16,14.098,1.34,16.266,1.34,11.524,0.612,13.827,0.676,19.183,0.676,16.347,0.236
10.343,0.372,6.714,1.154,5.242,0.505,16.196,1.405,13.555,0.668,14.908,0.67,10.661,0.421,10.813,0.339,6.442,0.352,9.769,0.287,9.625,0.287,6.961,0.148,13.921,1.333,16.239,1.333,11.36,0.618,13.721,0.615,18.832,0.615,16.2,0.233
10.342,0.333,6.708,0.965,5.221,0.468,16.097,1.379,13.364,0.561,14.716,0.663,10.836,0.379,10.782,0.313,6.475,0.352,9.69,0.306,9.603,0.306,6.894,0.169,13.691,1.37,16.069,1.37,11.479,0.69,13.689,0.667,18.899,0.667,16.258,0.246
10.288,0.404,6.667,0.904,5.235,0.429,16.003,1.466,13.303,0.614,14.653,0.721,10.677,0.387,10.834,0.305,6.329,0.322,9.667,0.345,9.511,0.345,6.862,0.141,13.615,1.273,16.049,1.273,11.448,0.649,13.772,0.659,18.96,0.659,16.115,0.217
10.295,0.341,6.703,1.004,5.22,0.487,16.023,1.353,13.163,0.646,14.568,0.64,10.772,0.363,10.788,0.25,6.402,0.352,9.704,0.347,9.573,0.347,6.855,0.174,13.407,1.324,15.955,1.324,11.384,0.616,13.786,0.581,18.881,0.581,16.069,0.25
10.282,0.392,6.688,1.002,5.229,0.452,15.997,1.363,13.101,0.603,14.598,0.661,10.784,0.461,10.763,0.25,6.414,0.322,9.628,0.329,9.567,0.329,6.772,0.197,13.373,1.361,15.945,1.361,11.34,0.678,13.729,0.596,18.707,0.596,15.957,0.217
10.339,0.365,6.716,1.043,5.252,0.522,16.068,1.505,13.185,0.614,14.616,0.698,10.693,0.505,10.643,0.287,6.329,0.343,9.652,0.287,9.416,0.287,6.683,0.13,13.107,1.384,15.853,1.384,11.334,0.696,13.781,0.637,18.789,0.637,16.07,0.26
10.268,0.38,6.741,1.033,5.247,0.446,15.962,1.405,12.943,0.675,14.166,0.658,10.665,0.466,10.632,0.284,6.348,0.299,9.661,0.34,9.424,0.34,6.621,0.146,13.006,1.449,15.787,1.449,11.313,0.605,13.623,0.611,18.696,0.611,15.786,0.217
10.353,0.398,6.76,1.183,5.253,0.519,15.62,1.337,12.504,0.587,14.026,0.707,10.651,0.363,10.721,0.247,6.399,0.34,9.658,0.319,9.4,0.319,6.674,0.213,12.894,1.37,15.842,1.37,11.191,0.667,13.769,0.587,18.476,0.587,15.661,0.223
10.353,0.359,6.685,1.016,5.275,0.427,15.587,1.534,12.414,0.596,14.063,0.663,10.719,0.376,10.702,0.284,6.343,0.347,9.638,0.259,9.558,0.259,6.697,0.176,13.096,1.493,15.896,1.493,11.317,0.688,13.812,0.596,18.595,0.596,15.846,0.256
10.334,0.368,6.73,1.058,5.267,0.431,15.646,1.424,12.501,0.63,14.243,0.596,10.651,0.442,10.618,0.284,6.315,0.352,9.559,0.331,9.473,0.331,6.637,0.178,12.825,1.398,15.807,1.398,11.328,0.674,13.785,0.648,18.71,0.648,15.8,0.256
10.328,0.365,6.783,1.152,5.256,0.487,16.011,1.363,12.668,0.594,14.393,0.695,10.682,0.405,10.654,0.279,6.296,0.308,9.599,0.343,9.503,0.343,6.67,0.181,12.827,1.44,15.881,1.44,11.359,0.692,13.721,0.648,18.671,0.648,15.765,0.262
10.327,0.318,6.747,1.187,5.261,0.499,15.761,1.397,12.594,0.686,14.393,0.612,10.72,0.421,10.742,0.292,6.347,0.377,9.603,0.292,9.63,0.292,6.741,0.174,12.866,1.38,15.825,1.38,11.398,0.676,13.786,0.687,18.721,0.687,15.79,0.283
10.353,0.339,6.751,1.168,5.288,0.509,15.798,1.558,12.605,0.638,14.367,0.674,10.768,0.384,10.735,0.316,6.287,0.322,9.636,0.329,9.585,0.329,6.654,0.174,12.905,1.424,15.861,1.424,11.445,0.616,13.787,0.631,18.777,0.631,15.718,0.238
10.327,0.331,6.799,1.326,5.246,0.45,15.967,1.418,12.435,0.637,14.387,0.665,10.688,0.395,10.655,0.308,6.202,0.299,9.643,0.368,9.593,0.368,6.655,0.127,12.855,1.315,15.942,1.315,11.365,0.585,13.774,0.631,18.632,0.631,15.655,0.252
10.371,0.372,6.786,1.236,5.304,0.435,15.655,1.555,12.468,0.608,14.297,0.704,10.534,0.429,10.426,0.289,6.136,0.343,9.643,0.296,9.687,0.296,6.585,0.155,12.692,1.405,15.883,1.405,11.192,0.709,13.713,0.65,18.456,0.65,15.338,0.229
10.404,0.431,6.812,1.173,5.295,0.48,15.791,1.371,12.335,0.628,14.29,0.727,10.505,0.392,10.331,0.297,6.017,0.343,9.625,0.271,9.573,0.271,6.594,0.146,12.645,1.345,15.793,1.345,11.286,0.626,13.806,0.635,18.531,0.635,15.543,0.219
10.421,0.4,6.769,1.224,5.289,0.413,15.796,1.592,12.326,0.63,14.308,0.707,10.394,0.45,10.24,0.239,6.002,0.35,9.59,0.326,9.625,0.326,6.613,0.141,12.641,1.382,15.938,1.382,11.223,0.618,13.788,0.598,18.42,0.598,15.415,0.238
10.368,0.405,6.801,1.181,5.323,0.437,15.721,1.463,12.418,0.593,14.342,0.686,10.444,0.426,10.33,0.316,6.002,0.28,9.598,0.299,9.669,0.299,6.647,0.162,12.701,1.456,16.065,1.456,11.279,0.634,13.684,0.654,18.424,0.654,15.36,0.287
10.376,0.351,6.782,1.125,5.284,0.519,15.769,1.539,12.152,0.642,14.314,0.656,10.455,0.416,10.389,0.282,6.078,0.373,9.563,0.312,9.774,0.312,6.647,0.148,12.783,1.495,16.027,1.495,11.379,0.651,13.786,0.637,18.579,0.637,15.485,0.231
10.404,0.32,6.744,1.152,5.275,0.558,15.949,1.526,12.213,0.644,14.262,0.67,10.464,0.421,10.329,0.274,6.098,0.373,9.535,0.338,9.892,0.338,6.74,0.162,12.925,1.35,16.143,1.35,11.464,0.686,13.791,0.652,18.535,0.652,15.478,0.267
10.35,0.45,6.738,1.008,5.283,0.489,15.743,1.513,12.091,0.633,14.246,0.728,10.517,0.392,10.324,0.287,6.093,0.329,9.557,0.303,9.948,0.303,6.71,0.15,13.1,1.324,16.259,1.324,11.433,0.717,13.833,0.657,18.635,0.657,15.498,0.254
10.353,0.368,6.74,1.107,5.305,0.507,15.547,1.708,12.086,0.605,14.228,0.684,10.691,0.453,10.389,0.303,6.129,0.373,9.511,0.303,9.914,0.303,6.753,0.162,13.028,1.319,16.219,1.319,11.452,0.676,13.871,0.598,18.645,0.598,15.386,0.248
10.324,0.376,6.743,1.135,5.309,0.495,15.676,1.521,12.075,0.633,14.216,0.702,10.665,0.445,10.474,0.271,6.215,0.343,9.525,0.317,9.989,0.317,6.73,0.169,12.951,1.377,16.241,1.377,11.486,0.684,13.773,0.672,18.684,0.672,15.441,0.207
10.385,0.378,6.777,1.162,5.324,0.499,15.682,1.429,12.025,0.642,14.141,0.686,10.925,0.374,10.602,0.268,6.246,0.331,9.439,0.35,10.139,0.35,6.758,0.134,12.773,1.405,16.251,1.405,11.497,0.676,13.835,0.624,18.525,0.624,15.362,0.225
10.414,0.444,6.759,1.131,5.288,0.472,15.436,1.603,11.765,0.616,13.948,0.686,11.046,0.503,10.794,0.334,6.295,0.345,9.44,0.317,9.96,0.317,6.72,0.164,12.583,1.391,16.103,1.391,11.456,0.7,13.886,0.669,18.619,0.669,15.353,0.26
10.442,0.363,6.819,1.257,5.286,0.493,15.199,1.384,11.795,0.642,14.047,0.693,11.257,0.334,10.865,0.318,6.418,0.343,9.451,0.347,9.945,0.347,6.639,0.16,12.645,1.407,16.101,1.407,11.394,0.643,13.872,0.607,18.481,0.607,15.136,0.221
10.396,0.351,6.703,0.996,5.274,0.476,15.29,1.516,11.653,0.603,14.025,0.691,11.459,0.397,11.131,0.284,6.475,0.391,9.521,0.356,9.843,0.356,6.602,0.169,12.456,1.419,16.077,1.419,11.44,0.686,13.918,0.672,18.526,0.672,15.223,0.242
