kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_5-488,kl-3_5-BG,kl-3_5-568,kl-3_5-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_13-488,kl-3_13-BG,kl-3_13-568,kl-3_13-BG,kl-3_14-488,kl-3_14-BG,kl-3_14-568,kl-3_14-BG,kl-3_15-488,kl-3_15-BG,kl-3_15-568,kl-3_15-BG
15.193,0.375,66.66,0.014,18.078,0.375,78.504,0.014,5.586,0.069,25.018,0.014,4.44,0.069,24.912,0.014,33.721,0.069,69.401,0.014,25.463,0.056,66.703,0,35.629,0.056,80.7,0,8.645,0.125,45.935,0.014,14.741,1.431,58.187,0.042,24.848,1.431,68.275,0.042,14.805,0.583,48.284,0.014,10.679,0.583,43.642,0.014,26.725,2.7,73.167,0.011,21.949,2.7,71.832,0.011,25.307,2.7,95.573,0.011
14.71,0.25,66.465,0.028,18.132,0.25,78.02,0.028,5.44,0.125,24.75,0.028,4.363,0.125,25.322,0.028,33.672,0.097,69.869,0,25.39,0.083,67.04,0.028,35.811,0.083,80.563,0.028,8.849,0.083,46.563,0.014,14.673,1.597,57.726,0,25.106,1.597,69.366,0,14.633,0.306,47.771,0.014,10.458,0.306,43.964,0.014,25.98,2.411,72.186,0.056,22.085,2.411,73.146,0.056,24.485,2.411,95.415,0.056
14.793,0.361,66.332,0.028,17.854,0.361,78.325,0.028,5.464,0.083,25.521,0,4.536,0.083,24.123,0,33.608,0.069,69.522,0.014,25.692,0.069,66.557,0.028,35.65,0.069,80.942,0.028,8.695,0.139,46.469,0,14.6,1.236,57.516,0.014,25.026,1.236,69.877,0.014,14.763,0.583,48.548,0,10.321,0.583,43.797,0,25.797,3.089,72.765,0.044,21.737,3.089,72.021,0.044,23.987,3.089,93.079,0.044
14.5,0.306,66.254,0,17.938,0.306,78.803,0,5.313,0.153,24.741,0.014,4.36,0.153,24.897,0.014,33.644,0.083,69.601,0.014,25.177,0.083,66.673,0.056,35.661,0.083,80.794,0.056,8.596,0.139,46.748,0,14.768,1.431,57.829,0.014,24.751,1.431,69.343,0.014,14.927,0.111,48.4,0.028,9.935,0.111,42.717,0.028,25.078,2.689,71.781,0.033,14.801,2.689,57.029,0.033,23.372,2.689,91.724,0.033
14.491,0.319,66.378,0,18.139,0.319,79.119,0,5.498,0.125,25.266,0,4.266,0.125,24.443,0,33.375,0.083,69.703,0,25.428,0.069,66.841,0.028,35.452,0.069,80.633,0.028,8.709,0.097,46.337,0,14.876,1.347,57.325,0,24.586,1.347,69.589,0,14.511,0.458,47.082,0,8.34,0.458,35.447,0,20.039,2.544,62.717,0.011,19.984,2.544,65.678,0.011,23.463,2.544,92.941,0.011
14.062,0.264,65.924,0,17.905,0.264,78.818,0,5.399,0.042,24.906,0,4.401,0.042,24.933,0,33.795,0.083,69.219,0.028,25.24,0.097,67.111,0,35.577,0.097,80.538,0,8.389,0.097,45.523,0,14.866,1.069,57.94,0,24.414,1.069,69.428,0,14.675,0.625,48.364,0.014,10.012,0.625,42.089,0.014,21.185,2.389,54.505,0.033,21.681,2.389,72,0.033,22.944,2.389,92.442,0.033
14.149,0.306,65.845,0.014,18.289,0.306,78.468,0.014,5.248,0.139,25.642,0,4.476,0.139,25.423,0,33.335,0.097,69.607,0.014,25.094,0.083,66.891,0,35.609,0.083,80.459,0,8.643,0.042,45.684,0,14.939,1.292,57.726,0.014,24.461,1.292,69.517,0.014,12.546,0.514,43.61,0.028,9.762,0.514,42.466,0.028,25.091,2.5,71.469,0.044,21.612,2.5,71.527,0.044,22.803,2.5,92.795,0.044
14.118,0.292,65.515,0,18.175,0.292,78.158,0,5.266,0.125,24.843,0.014,4.396,0.125,24.959,0.014,33.418,0.056,69.549,0,25.121,0.125,66.925,0.028,35.421,0.125,80.562,0.028,8.691,0.097,45.891,0,15.023,1.444,58.21,0.028,24.28,1.444,69.137,0.028,10.882,0.625,35.497,0,9.63,0.625,41.682,0,24.205,2.289,71.313,0,21.287,2.289,71.846,0,23.02,2.289,91.813,0
13.813,0.347,65.337,0,18.416,0.347,78.992,0,5.283,0.125,25.405,0,4.663,0.125,26.551,0,33.087,0.194,69.703,0,24.979,0.111,67.256,0.014,35.343,0.111,80.585,0.014,8.648,0.194,45.857,0,15.025,1.139,58.554,0.014,24.254,1.139,69.771,0.014,14.455,0.5,47.384,0.014,9.475,0.5,41.328,0.014,24.617,2.4,70.781,0.022,21.753,2.4,72.556,0.022,22.558,2.4,90.329,0.022
13.887,0.278,64.992,0.014,17.99,0.278,78.298,0.014,5.203,0.167,24.771,0,4.56,0.167,26.056,0,33.207,0.097,70.162,0.028,24.753,0.125,66.947,0.042,35.349,0.125,80.722,0.042,8.692,0.069,45.837,0,15.015,1.347,57.721,0.028,24.262,1.347,69.548,0.028,14.577,0.514,48.673,0.014,9.247,0.514,40.931,0.014,24.473,2.3,70.412,0.044,21,2.3,71.221,0.044,22.646,2.3,92.345,0.044
13.79,0.278,64.907,0.014,18.103,0.278,78.062,0.014,5.325,0.153,24.652,0,4.344,0.153,25.932,0,33.099,0.111,70.101,0,24.75,0.056,66.949,0.028,35.022,0.056,80.728,0.028,8.508,0.125,45.495,0,15.086,1.417,58.661,0,24.312,1.417,69.682,0,14.519,0.458,48.759,0.014,9.259,0.458,41.64,0.014,24.175,2.389,70.013,0.011,21.093,2.389,71.668,0.011,22.427,2.389,91.567,0.011
13.675,0.278,64.458,0,18.162,0.278,78.427,0,5.194,0.181,25.417,0.014,4.272,0.181,25.243,0.014,33.193,0.083,69.873,0.042,24.612,0.125,67.181,0.028,35.052,0.125,80.629,0.028,8.488,0.056,45.357,0,14.943,1.222,58.462,0,24.064,1.222,69.585,0,14.398,0.611,48.888,0,9.457,0.611,41.585,0,23.969,2.567,70.798,0.011,21.415,2.567,72.104,0.011,22.429,2.567,91.214,0.011
13.468,0.306,64.976,0,18.157,0.306,78.576,0,5.224,0.167,25.382,0.042,4.448,0.167,25.586,0.042,33.273,0.139,69.902,0,24.841,0.139,66.892,0,35.021,0.139,80.453,0,8.481,0.167,45.368,0.014,15.085,1.194,58.693,0.014,23.916,1.194,70.203,0.014,14.337,0.653,48.458,0.014,9.257,0.653,41.208,0.014,23.604,2.278,70.812,0,22.035,2.278,72.426,0,22.785,2.278,91.382,0
13.496,0.472,64.782,0,18.231,0.472,78.279,0,5.354,0.069,25.735,0,4.393,0.069,25.751,0,33.176,0.125,70.343,0,24.834,0.028,66.974,0.014,34.95,0.028,80.786,0.014,8.557,0.125,45.132,0,14.998,0.931,58.237,0,23.762,0.931,69.997,0,14.43,0.639,48.731,0.028,9.097,0.639,41.369,0.028,23.787,2.511,69.664,0.011,21.737,2.511,71.963,0.011,22.375,2.511,90.384,0.011
13.198,0.306,64.431,0,18.008,0.306,77.531,0,5.296,0.042,24.735,0.014,4.542,0.042,26.121,0.014,33.269,0.125,70.345,0,24.661,0.083,67.104,0,34.741,0.083,80.457,0,8.62,0.069,45.611,0.014,15.134,1.222,58.157,0,23.727,1.222,70.016,0,14.541,0.639,49.323,0.014,9.359,0.639,40.959,0.014,23.662,2.2,69.922,0.022,21.654,2.2,72.641,0.022,21.919,2.2,90.675,0.022
13.289,0.306,63.31,0.014,17.695,0.306,77.929,0.014,5.055,0.194,24.242,0,4.489,0.194,26.563,0,33.215,0.153,69.693,0,24.325,0.139,67.224,0,34.718,0.139,80.107,0,8.509,0.139,45.483,0,15.032,1.333,58.092,0.028,23.688,1.333,70.221,0.028,14.702,0.444,49.145,0,9.092,0.444,40.766,0,22.955,2.3,69.634,0.033,21.391,2.3,72.173,0.033,21.892,2.3,89.257,0.033
13.093,0.347,63.979,0,18.007,0.347,77.526,0,5.203,0.083,25.199,0.014,4.307,0.083,25.405,0.014,33.158,0.056,70.227,0,24.533,0.056,67.436,0,34.637,0.056,80.385,0,8.392,0.139,44.119,0,15.365,1.042,58.27,0,24.044,1.042,69.825,0,14.591,0.542,49.33,0.097,9.019,0.542,40.809,0.097,22.961,2.144,69.77,0.022,21.29,2.144,72.487,0.022,21.804,2.144,88.763,0.022
13.172,0.361,63.719,0,18.322,0.361,77.351,0,5.168,0.097,24.983,0,4.302,0.097,24.92,0,32.695,0.139,70.214,0.014,24.413,0.069,67.381,0.014,34.277,0.069,80.033,0.014,8.723,0.111,45.129,0.014,15.18,1.375,58.484,0.042,23.804,1.375,70.01,0.042,14.579,0.736,48.851,0,9.227,0.736,40.985,0,23.142,2.433,69.219,0,21.582,2.433,72.237,0,21.835,2.433,89.659,0
13.042,0.222,63.491,0.014,17.868,0.222,77.552,0.014,5.199,0.083,25.273,0,4.379,0.083,25.533,0,33.158,0.125,69.574,0,24.303,0.125,66.811,0.028,34.457,0.125,80.064,0.028,8.472,0.083,45.14,0,15.359,1.083,58.14,0.028,23.819,1.083,70.08,0.028,14.516,0.514,49.333,0.014,9.18,0.514,41.031,0.014,22.623,1.944,69.595,0.033,20.992,1.944,73.056,0.033,21.855,1.944,89.639,0.033
13.135,0.194,63.884,0,18.687,0.194,77.641,0,4.92,0.125,22.576,0,4.554,0.125,26.303,0,32.913,0.083,70.163,0,23.971,0.083,67.377,0,34.068,0.083,79.965,0,8.775,0.139,45.676,0,15.449,0.958,58.285,0.014,23.829,0.958,69.853,0.014,14.437,0.653,48.583,0,9.016,0.653,40.59,0,22.961,2.678,69.089,0.011,20.705,2.678,71.612,0.011,22.129,2.678,89.097,0.011
12.905,0.278,62.737,0,18.442,0.278,77.258,0,5.338,0.125,25.657,0,4.381,0.125,26.073,0,32.811,0.153,70.279,0.028,24.223,0.097,67.032,0.042,34.038,0.097,79.945,0.042,8.849,0.097,45.4,0,15.487,1.264,58.508,0,23.647,1.264,70.135,0,14.018,0.361,48.333,0.028,8.875,0.361,39.47,0.028,22.576,2.156,67.587,0.011,20.872,2.156,72.5,0.011,21.856,2.156,89.424,0.011
12.708,0.361,62.931,0.014,17.959,0.361,75.515,0.014,5.312,0.125,25.722,0.014,4.511,0.125,26.162,0.014,32.66,0.083,70.168,0.014,23.846,0.042,67.25,0.014,34.057,0.042,79.423,0.014,9.105,0.069,44.563,0,15.333,1.194,58.152,0.014,23.402,1.194,69.941,0.014,14.421,0.472,48.888,0.014,8.823,0.472,40.374,0.014,22.369,2.111,68.448,0.033,21.269,2.111,71.657,0.033,21.916,2.111,88.032,0.033
12.396,0.264,62.739,0.014,18.014,0.264,75.812,0.014,5.521,0.125,25.945,0,4.398,0.125,26.411,0,32.567,0.153,69.909,0.014,23.888,0.042,67.097,0,33.663,0.042,79.571,0,8.943,0.111,45.413,0.014,15.46,1.486,58.644,0,23.685,1.486,70.334,0,14.32,0.458,49.435,0.028,8.848,0.458,40.34,0.028,22.153,1.922,68.077,0.011,21.037,1.922,72.08,0.011,21.293,1.922,87.973,0.011
12.482,0.306,63.279,0.014,18.421,0.306,77.238,0.014,5.327,0.167,25.774,0,4.307,0.167,25.842,0,32.609,0.097,70.098,0,23.713,0.111,67.06,0,33.858,0.111,79.504,0,9.244,0.125,45.256,0,15.563,1.486,58.519,0.042,23.132,1.486,69.831,0.042,14.635,0.569,49.371,0.028,8.815,0.569,40.289,0.028,22.507,2.233,67.964,0.022,20.886,2.233,71.521,0.022,21.368,2.233,86.926,0.022
12.543,0.25,62.67,0.028,18.322,0.25,78.13,0.028,5.377,0.139,26.053,0,4.645,0.139,26.528,0,32.506,0.111,69.915,0,23.67,0.056,67.232,0,33.298,0.056,79.117,0,8.847,0.083,45.451,0,15.651,1.292,58.532,0,23.722,1.292,70.677,0,14.233,0.542,49.01,0.028,8.629,0.542,39.632,0.028,22.318,2.467,67.704,0.033,21.032,2.467,72.066,0.033,21.257,2.467,86.648,0.033
12.585,0.319,62.441,0.028,18.39,0.319,77.617,0.028,5.224,0.153,25.717,0.014,4.34,0.153,26.648,0.014,32.612,0.083,70.125,0.014,23.656,0.083,67.214,0.014,33.275,0.083,79.222,0.014,9.168,0.153,45.237,0.014,15.715,1.042,58.368,0.014,23.676,1.042,70.345,0.014,14.41,0.472,49.234,0.014,8.578,0.472,39.423,0.014,22.254,2.222,67.978,0,20.984,2.222,72.152,0,21.715,2.222,86.944,0
12.512,0.333,61.667,0.014,18.475,0.333,76.803,0.014,5.218,0.111,24.949,0.014,4.455,0.111,25.76,0.014,32.562,0.208,69.947,0,23.743,0.125,66.943,0.014,32.932,0.125,78.909,0.014,9.149,0.167,45.635,0,15.801,1.236,58.652,0,23.684,1.236,69.761,0,14.617,0.625,49.348,0.028,8.606,0.625,39.627,0.028,22.393,2,67.482,0,20.524,2,72.931,0,21.282,2,86.546,0
12.08,0.389,60.399,0,18.585,0.389,77.234,0,5.193,0.111,24.66,0.014,4.273,0.111,25.869,0.014,32.418,0.139,69.937,0.014,23.476,0.028,66.89,0,32.78,0.028,78.84,0,9.377,0.097,45.397,0,15.693,1.361,58.484,0,23.072,1.361,69.634,0,14.445,0.569,49.166,0.028,8.692,0.569,39.57,0.028,22.263,2.033,67.889,0,20.699,2.033,71.84,0,21.451,2.033,86.275,0
12.145,0.319,61.326,0,18.721,0.319,77.602,0,5.397,0.153,26.189,0.014,4.41,0.153,25.554,0.014,32.402,0.153,69.675,0,23.366,0.153,66.85,0.028,32.636,0.153,78.927,0.028,9.368,0.125,44.956,0,15.767,1.056,58.906,0.014,23.085,1.056,70.335,0.014,14.408,0.611,49.277,0.014,8.706,0.611,39.09,0.014,21.551,2.133,66.856,0.022,20.423,2.133,71.404,0.022,21.675,2.133,86.447,0.022
12.49,0.333,62.188,0.028,18.64,0.333,77.91,0.028,5.399,0.111,27.035,0,4.275,0.111,26.055,0,32.33,0.111,69.894,0.028,23.229,0.056,67.239,0.028,32.359,0.056,79.11,0.028,9.495,0.111,45.452,0,15.674,1.444,58.997,0,23.322,1.444,70.436,0,14.355,0.681,49.361,0,8.693,0.681,39.124,0,21.693,2.222,67.463,0,21.138,2.222,72.162,0,21.596,2.222,86.133,0
12.41,0.417,62.412,0,18.438,0.417,76.135,0,5.435,0.111,25.871,0,4.253,0.111,26.381,0,32.267,0.125,69.866,0.028,23.109,0.125,66.889,0,32.344,0.125,78.998,0,9.149,0.139,45.137,0,15.78,1.181,59.035,0,23.147,1.181,70.221,0,14.306,0.597,49.246,0,8.703,0.597,39.73,0,21.801,2.233,67.25,0.033,21.152,2.233,72.003,0.033,21.122,2.233,83.12,0.033
12.51,0.403,62.06,0.014,18.128,0.403,75.23,0.014,5.358,0.139,26.286,0.014,4.354,0.139,25.413,0.014,32.035,0.111,69.803,0.014,23.155,0.083,67.339,0.028,32.031,0.083,78.558,0.028,9.595,0.097,45.089,0,15.766,1.236,58.82,0,23.176,1.236,70.221,0,14.356,0.569,49.229,0.028,8.626,0.569,39.203,0.028,20.983,2.256,65.365,0.011,20.888,2.256,71.734,0.011,21.14,2.256,84.781,0.011
12.4,0.278,62.337,0.014,18.668,0.278,77.163,0.014,5.413,0.111,26.476,0,4.39,0.111,26.08,0,32.189,0.153,69.413,0,22.973,0.014,67.064,0,32.061,0.014,78.436,0,9.397,0.181,45.272,0,15.851,1.028,58.928,0.028,23.034,1.028,69.365,0.028,14.548,0.556,49.35,0.014,8.49,0.556,38.449,0.014,21.272,2.078,65.715,0.011,20.617,2.078,71.431,0.011,21.224,2.078,84.794,0.011
12.51,0.278,62.104,0.014,18.915,0.278,77.553,0.014,5.415,0.153,26.372,0.014,4.446,0.153,25.329,0.014,32.342,0.167,69.869,0,23.053,0.083,66.948,0.028,32.082,0.083,78.655,0.028,9.585,0.111,45.421,0,15.84,1.236,58.472,0.028,23.037,1.236,69.781,0.028,14.399,0.528,49.286,0,8.49,0.528,38.475,0,21.352,2.278,66.12,0.033,20.867,2.278,71.654,0.033,21.406,2.278,84.61,0.033
12.39,0.264,61.324,0,18.492,0.264,76.552,0,5.229,0.125,26.07,0,4.349,0.125,26.457,0,31.878,0.111,70.031,0.014,22.952,0.111,67.249,0.014,31.644,0.111,78.721,0.014,9.499,0.069,45.377,0,15.963,1.306,58.44,0.014,23.283,1.306,69.515,0.014,14.474,0.611,49.187,0,8.444,0.611,38.277,0,21.404,2.211,65.615,0.011,20.25,2.211,71.731,0.011,21.429,2.211,82.621,0.011
12.152,0.222,61.347,0,18.479,0.222,76.727,0,5.517,0.167,26.585,0.042,4.31,0.167,26.158,0.042,32.502,0.083,69.736,0.014,23.063,0.083,67.456,0,31.785,0.083,78.757,0,9.735,0.056,45.335,0.014,15.917,1.181,58.799,0.014,23.316,1.181,70.072,0.014,14.264,0.514,49.213,0.014,8.394,0.514,38.35,0.014,20.997,2.044,65.336,0.011,20.25,2.044,70.082,0.011,21.558,2.044,84.074,0.011
12.271,0.375,61.374,0,18.978,0.375,77.289,0,5.274,0.125,26.384,0.014,4.244,0.125,25.962,0.014,32.786,0.181,70.122,0.014,23.014,0.069,66.973,0,31.759,0.069,78.707,0,9.66,0.042,44.721,0.014,16.028,1.264,58.698,0.014,23.114,1.264,69.971,0.014,14.175,0.625,49.45,0,8.583,0.625,38.031,0,21.33,2.244,66.158,0.011,20.136,2.244,70.133,0.011,21.19,2.244,83.993,0.011
12.086,0.264,62.102,0.014,18.61,0.264,76.554,0.014,5.362,0.069,26.394,0,4.496,0.069,26.175,0,32.521,0.139,70.16,0.014,23.134,0.125,67.147,0,31.999,0.125,78.871,0,9.636,0.097,44.608,0,15.904,1.319,58.81,0.028,23.093,1.319,69.915,0.028,14.465,0.625,49.521,0.014,8.462,0.625,38.135,0.014,21.274,2.167,65.648,0.033,20.588,2.167,71.277,0.033,21.135,2.167,82.772,0.033
12.269,0.347,61.613,0.014,18.858,0.347,77.031,0.014,5.406,0.139,26.241,0,4.261,0.139,27.155,0,32.634,0.097,70.431,0,22.83,0.083,67.244,0,31.456,0.083,78.924,0,9.951,0.111,45.448,0,16.063,1.139,58.84,0,23.346,1.139,70.214,0,14.039,0.444,49.226,0,8.483,0.444,37.904,0,21.091,2.144,65.299,0,20.447,2.144,70.997,0,21.054,2.144,82.569,0
12.102,0.319,61.202,0,18.91,0.319,77.219,0,5.515,0.181,26.929,0,4.273,0.181,26.413,0,32.509,0.097,70.334,0,22.937,0.069,67.82,0.028,31.511,0.069,78.863,0.028,9.895,0.125,45.393,0,16.016,1.181,58.432,0.014,23.39,1.181,69.926,0.014,14.334,0.556,49.144,0,8.384,0.556,37.844,0,21.11,2.044,65.371,0,20.963,2.044,71.582,0,21.461,2.044,83.169,0
12.071,0.347,60.96,0,18.972,0.347,76.876,0,5.387,0.069,26.176,0.042,4.413,0.069,26.561,0.042,32.554,0.153,70.129,0,22.779,0.111,67.439,0.028,31.196,0.111,79.005,0.028,10.213,0.069,45.491,0,15.854,1.361,58.172,0,23.354,1.361,70.465,0,14.356,0.431,49.253,0.028,8.332,0.431,38.103,0.028,20.991,2.111,64.365,0.011,20.255,2.111,70.383,0.011,21.397,2.111,82.914,0.011
12.379,0.222,60.949,0.014,19.085,0.222,77.184,0.014,5.38,0.056,27.099,0,4.514,0.056,26.053,0,32.141,0.111,70.317,0.028,22.674,0.097,67.181,0.028,31.244,0.097,78.952,0.028,9.884,0.056,45.293,0.014,16.163,1.25,58.781,0,23.297,1.25,69.701,0,14.229,0.486,49.079,0.014,8.418,0.486,38.086,0.014,20.947,1.9,64.269,0.011,20.545,1.9,70.702,0.011,21.429,1.9,82.384,0.011
