G6Pdh_1-488,G6Pdh_1-BG,G6Pdh_1-568,G6Pdh_1-BG,G6Pdh_2-488,G6Pdh_2-BG,G6Pdh_2-568,G6Pdh_2-BG,G6Pdh_3-488,G6Pdh_3-BG,G6Pdh_3-568,G6Pdh_3-BG,G6Pdh_4-488,G6Pdh_4-BG,G6Pdh_4-568,G6Pdh_4-BG,G6Pdh_5-488,G6Pdh_5-BG,G6Pdh_5-568,G6Pdh_5-BG,G6Pdh_6-488,G6Pdh_6-BG,G6Pdh_6-568,G6Pdh_6-BG,G6Pdh_7-488,G6Pdh_7-BG,G6Pdh_7-568,G6Pdh_7-BG,G6Pdh_8-488,G6Pdh_8-BG,G6Pdh_8-568,G6Pdh_8-BG,G6Pdh_9-488,G6Pdh_9-BG,G6Pdh_9-568,G6Pdh_9-BG,G6Pdh_10-488,G6Pdh_10-BG,G6Pdh_10-568,G6Pdh_10-BG,G6Pdh_11-488,G6Pdh_11-BG,G6Pdh_11-568,G6Pdh_11-BG,G6Pdh_12-488,G6Pdh_12-BG,G6Pdh_12-568,G6Pdh_12-BG,G6Pdh_13-488,G6Pdh_13-BG,G6Pdh_13-568,G6Pdh_13-BG,G6Pdh_14-488,G6Pdh_14-BG,G6Pdh_14-568,G6Pdh_14-BG,G6Pdh_15-488,G6Pdh_15-BG,G6Pdh_15-568,G6Pdh_15-BG,G6Pdh_16-488,G6Pdh_16-BG,G6Pdh_16-568,G6Pdh_16-BG,G6Pdh_17-488,G6Pdh_17-BG,G6Pdh_17-568,G6Pdh_17-BG,G6Pdh_18-488,G6Pdh_18-BG,G6Pdh_18-568,G6Pdh_18-BG,G6Pdh_19-488,G6Pdh_19-BG,G6Pdh_19-568,G6Pdh_19-BG,G6Pdh_20-488,G6Pdh_20-BG,G6Pdh_20-568,G6Pdh_20-BG,G6Pdh_21-488,G6Pdh_21-BG,G6Pdh_21-568,G6Pdh_21-BG,G6Pdh_22-488,G6Pdh_22-BG,G6Pdh_22-568,G6Pdh_22-BG
17.446,0.24,42.393,0.059,11.18,0.24,37.688,0.059,17.179,0.24,54.944,0.059,37.942,0.031,31.686,0.021,39.005,0.031,37.5,0.021,15.123,0.007,27.016,0.021,3.7,0.007,42.862,0.01,4.36,0.007,16.72,0.01,13.052,0.007,36.292,0.017,35.769,0.017,78.413,0.021,12.672,0.017,33.756,0.007,30.746,0.014,34.271,0.027,39.748,0.014,54.465,0.027,40.726,0.014,52.31,0.027,11.956,0.019,35.406,0.008,10.096,0.023,31.105,0.021,13.103,0.023,33.768,0.021,44.018,0.275,59.051,0.221,27.06,0.275,32.045,0.221,30.521,0.064,61.313,0.052,33.141,0.05,39.913,0.045,64.934,0.05,66.508,0.045
17.288,0.274,42.154,0.042,11.153,0.274,37.427,0.042,17.199,0.274,55.124,0.042,38,0.031,31.802,0.024,39.063,0.031,37.459,0.024,14.822,0.01,26.202,0.01,3.729,0.017,42.52,0.007,4.379,0.017,16.575,0.007,12.801,0.014,34.854,0.01,35.861,0.017,77.596,0.003,12.747,0.031,33.486,0.01,30.469,0.021,33.774,0.01,39.9,0.021,54.279,0.01,40.923,0.021,52.204,0.01,12.112,0.025,35.828,0.014,10.179,0.023,30.941,0.01,13.491,0.023,34.04,0.01,44.054,0.267,58.79,0.194,27.054,0.267,31.965,0.194,30.564,0.05,60.752,0.031,32.997,0.048,39.333,0.037,64.758,0.048,66.061,0.037
17.113,0.281,41.925,0.059,11.227,0.281,37.387,0.059,17.399,0.281,54.962,0.059,36.973,0.035,30.896,0.035,38.433,0.035,36.792,0.035,15.086,0.007,26.489,0.014,3.747,0.014,42.523,0.014,4.45,0.014,16.563,0.014,13.016,0.007,35.502,0.014,36.032,0.038,76.782,0.003,12.7,0.014,33.324,0.01,30.129,0.019,33.336,0.023,40.011,0.019,53.801,0.023,40.833,0.019,52.103,0.023,11.51,0.021,33.474,0.008,10.345,0.029,30.776,0.019,13.856,0.029,34.032,0.019,44.264,0.306,58.833,0.2,26.948,0.306,31.904,0.2,30.859,0.066,60.873,0.037,32.829,0.041,38.819,0.05,64.519,0.041,65.796,0.05
16.916,0.243,41.728,0.049,11.254,0.243,37.213,0.049,17.656,0.243,54.862,0.049,36.512,0.042,30.569,0.017,38.276,0.042,36.439,0.017,15.491,0.01,26.79,0.031,3.714,0.017,42.336,0.021,4.606,0.017,16.539,0.021,13.418,0.007,36.623,0.01,36.446,0.017,76.622,0.017,12.715,0.017,33.214,0.007,29.864,0.023,32.997,0.025,40.246,0.023,53.759,0.025,41.225,0.023,52.074,0.025,10.951,0.025,31.397,0.012,10.329,0.01,30.769,0.023,14.144,0.01,34.113,0.023,44.661,0.318,58.697,0.229,27.061,0.318,31.609,0.229,30.269,0.064,59.216,0.045,31.501,0.05,37.279,0.035,62.882,0.05,64.442,0.035
16.874,0.194,41.606,0.069,11.399,0.194,37.318,0.069,17.842,0.194,54.87,0.069,36.264,0.021,30.2,0.024,38.016,0.021,36.191,0.024,15.361,0.003,26.48,0.014,3.719,0.024,42.131,0.01,4.627,0.024,16.52,0.01,13.097,0.01,34.775,0.007,36.854,0.021,76.359,0.021,12.889,0.017,33.023,0.014,29.705,0.027,32.62,0.006,40.373,0.027,53.568,0.006,41.459,0.027,52.181,0.006,10.923,0.037,31.427,0.008,10.449,0.023,30.672,0.01,14.268,0.023,34.085,0.01,44.543,0.295,58.444,0.184,27.141,0.295,31.87,0.184,31.047,0.054,60.535,0.058,31.729,0.06,37.518,0.027,63.161,0.06,64.48,0.027
17.002,0.243,42.061,0.073,11.632,0.243,37.37,0.073,18.037,0.243,55.05,0.073,36.686,0.024,30.434,0.021,38.559,0.024,36.497,0.021,15.947,0,26.855,0.017,3.725,0.021,41.542,0.017,4.693,0.021,16.573,0.017,13.829,0.017,37.401,0.017,37.231,0.014,75.879,0.014,12.698,0.003,32.862,0.003,29.838,0.029,32.735,0.014,40.67,0.029,53.35,0.014,41.827,0.029,52.232,0.014,11.107,0.031,32.01,0.006,10.544,0.021,30.717,0.023,14.565,0.021,34.109,0.023,44.638,0.262,58.437,0.188,26.948,0.262,31.556,0.188,31.515,0.05,60.824,0.052,31.75,0.037,37.26,0.037,63.092,0.037,64.189,0.037
17.196,0.219,42.543,0.076,11.903,0.219,37.84,0.076,18.434,0.219,54.842,0.076,36.229,0.035,30.069,0.021,38.327,0.035,36.234,0.021,15.841,0.01,26.807,0.014,3.748,0.014,41.673,0.021,4.671,0.014,16.422,0.021,13.74,0,36.842,0.007,37.531,0.031,75.799,0.014,12.813,0.021,32.849,0.007,29.312,0.008,31.793,0.023,40.701,0.008,52.959,0.023,41.682,0.008,51.933,0.023,11.146,0.035,31.709,0.017,10.602,0.025,30.691,0.021,14.754,0.025,34.303,0.021,44.605,0.333,58.514,0.198,26.603,0.333,31.115,0.198,31.192,0.068,59.929,0.05,30.432,0.05,35.478,0.017,61.212,0.05,62.291,0.017
16.946,0.285,42.242,0.076,11.975,0.285,37.588,0.076,18.605,0.285,55.299,0.076,35.927,0.021,29.797,0.038,38.191,0.021,35.737,0.038,16.05,0.01,26.723,0.017,3.736,0.017,41.341,0.014,4.771,0.017,16.419,0.014,13.558,0.014,36.301,0.021,38.106,0.017,75.926,0.017,12.888,0.014,32.792,0.007,28.786,0.021,31.249,0.01,40.423,0.021,52.414,0.01,41.676,0.021,51.638,0.01,11.17,0.027,31.942,0.014,10.632,0.029,30.464,0.017,15.325,0.029,34.081,0.017,44.918,0.306,58.323,0.165,26.555,0.306,30.904,0.165,30.587,0.045,58.403,0.039,30.924,0.039,36.048,0.045,62.574,0.039,62.565,0.045
16.831,0.229,41.565,0.038,11.873,0.229,37.297,0.038,18.59,0.229,54.911,0.038,36.045,0.028,29.838,0.014,38.342,0.028,35.743,0.014,16.146,0,26.842,0.017,3.693,0.01,40.965,0.017,4.912,0.01,16.56,0.017,13.146,0,35.286,0.021,38.401,0.017,75.522,0.01,12.828,0.003,32.85,0,28.668,0.012,30.99,0.019,40.596,0.012,52.052,0.019,41.787,0.012,51.443,0.019,10.748,0.031,30.275,0.012,10.666,0.033,30.282,0.019,15.377,0.033,34.108,0.019,44.649,0.326,58.153,0.213,26.798,0.326,31.272,0.213,30.849,0.056,58.502,0.052,30.212,0.043,34.899,0.023,61.02,0.043,61.717,0.023
17,0.267,42.234,0.045,12.293,0.267,37.641,0.045,19.148,0.267,54.847,0.045,36.581,0.028,30.069,0.01,38.706,0.028,36.025,0.01,16.136,0.01,26.432,0.007,3.715,0.007,40.543,0.014,4.895,0.007,16.408,0.014,13.17,0.003,35.163,0.007,38.848,0.017,75.62,0.017,13.131,0.028,32.447,0.01,28.289,0.017,30.403,0.012,40.522,0.017,51.665,0.012,41.729,0.017,51.179,0.012,10.463,0.01,29.275,0.014,10.772,0.019,29.964,0.01,15.546,0.019,34.458,0.01,44.755,0.306,58.059,0.18,26.437,0.306,30.722,0.18,29.831,0.076,56.189,0.037,30.579,0.033,35.129,0.039,61.544,0.033,62.102,0.039
16.604,0.236,41.48,0.062,12.152,0.236,37.155,0.062,19.183,0.236,54.912,0.062,35.936,0.035,29.549,0.024,38.281,0.035,35.542,0.024,16.404,0.01,26.736,0.028,3.722,0.021,40.624,0.017,5.057,0.021,16.673,0.017,13.737,0.01,36.787,0.01,39.149,0.031,75.484,0.007,13.019,0.014,32.446,0.01,27.393,0.023,29.444,0.012,40.022,0.023,50.619,0.012,41.567,0.023,50.853,0.012,10.648,0.031,29.892,0.008,10.872,0.025,29.909,0.019,15.998,0.025,34.499,0.019,44.979,0.3,57.897,0.174,26.315,0.3,30.617,0.174,31.118,0.06,57.884,0.043,31.309,0.056,35.881,0.043,63.217,0.056,63.009,0.043
16.419,0.205,41.101,0.087,12.116,0.205,36.689,0.087,19.434,0.205,55.082,0.087,35.881,0.021,29.423,0.014,38.3,0.021,35.351,0.014,16.329,0.007,26.31,0.028,3.703,0.017,40.193,0.024,5.111,0.017,16.572,0.024,13.544,0.003,35.956,0.017,39.692,0.028,75.301,0.014,13.105,0.007,32.484,0.014,27.211,0.029,29.101,0.012,40.019,0.029,50.139,0.012,41.632,0.029,50.481,0.012,10.83,0.031,30.349,0.017,10.945,0.021,29.759,0.027,16.146,0.021,34.18,0.027,45.049,0.337,57.852,0.194,26.281,0.337,30.638,0.194,32.187,0.058,59.258,0.023,30.439,0.041,34.752,0.027,61.765,0.041,61.83,0.027
16.254,0.229,40.726,0.062,12.16,0.229,36.526,0.062,19.621,0.229,55.079,0.062,35.604,0.014,29.113,0.021,38.175,0.014,35.215,0.021,16.258,0.01,25.882,0.017,3.738,0.01,40.045,0.017,5.097,0.01,16.436,0.017,13.53,0.007,36.092,0.01,39.999,0.042,75.42,0.007,13.223,0.003,32.529,0.014,27.36,0.014,28.995,0.014,40.181,0.014,50.146,0.014,42.001,0.014,50.579,0.014,10.738,0.035,29.935,0.017,11.048,0.025,30.082,0.017,16.594,0.025,34.219,0.017,45.346,0.316,57.856,0.149,26.431,0.316,30.718,0.149,31.875,0.043,58.496,0.037,30.746,0.05,35.072,0.041,62.761,0.05,62.569,0.041
16.419,0.208,40.996,0.049,12.486,0.208,36.915,0.049,20.128,0.208,55.119,0.049,35.694,0.038,29.133,0.021,38.227,0.038,35.283,0.021,16.397,0.007,26.216,0.01,3.729,0.028,39.537,0.007,5.195,0.028,16.451,0.007,13.75,0.01,36.66,0.021,40.643,0.01,75.892,0.01,13.266,0.007,32.291,0.014,27.222,0.025,29.048,0.008,40.465,0.025,50.223,0.008,42.086,0.025,50.507,0.008,10.641,0.027,29.471,0.012,11.042,0.029,29.668,0.017,16.674,0.029,34.34,0.017,45.296,0.279,57.841,0.157,25.741,0.279,30.182,0.157,31.249,0.052,57.005,0.035,30.279,0.037,34.653,0.021,62.077,0.037,61.742,0.021
16.382,0.215,40.705,0.059,12.598,0.215,36.796,0.059,20.346,0.215,55,0.059,35.674,0.028,29.078,0.014,38.522,0.028,35.223,0.014,16.446,0.014,26.115,0.01,3.723,0.01,39.137,0.01,5.264,0.01,16.508,0.01,13.482,0.01,35.553,0.003,40.823,0.031,75.347,0.021,13.31,0.01,32.34,0.007,27.427,0.014,29.256,0.017,40.984,0.014,50.615,0.017,42.182,0.014,50.977,0.017,10.944,0.025,30.022,0.004,11.071,0.029,29.201,0.006,16.727,0.029,34.469,0.006,45.134,0.258,57.889,0.171,25.348,0.258,29.879,0.171,29.826,0.045,54.52,0.029,30.739,0.035,34.722,0.033,62.552,0.035,62.19,0.033
16.175,0.243,40.084,0.052,12.569,0.243,36.228,0.052,20.541,0.243,55.066,0.052,36.472,0.014,29.592,0.017,39.274,0.014,35.71,0.017,16.726,0.024,26.348,0.024,3.748,0.031,38.893,0.007,5.244,0.031,16.292,0.007,13.35,0.01,35.497,0.003,41.332,0.045,75.926,0.01,13.477,0.007,32.174,0.007,27.576,0.017,29.507,0.029,41.615,0.017,51.187,0.029,42.299,0.017,51.409,0.029,11.151,0.037,30.624,0.014,11.019,0.023,28.902,0.023,17.375,0.023,34.781,0.023,44.765,0.254,57.818,0.161,25.375,0.254,29.776,0.161,30.091,0.045,54.548,0.035,32.018,0.054,35.888,0.041,64.209,0.054,63.721,0.041
16.015,0.25,40.351,0.069,12.688,0.25,36.132,0.069,20.799,0.25,54.955,0.069,36.223,0.014,29.341,0.028,39.239,0.014,35.436,0.028,16.549,0.014,26.116,0.024,3.742,0.021,38.451,0.024,5.413,0.021,16.339,0.024,13.074,0.007,34.129,0.017,41.881,0.021,76.213,0.014,13.412,0.014,32.272,0.01,27.654,0.012,29.729,0.008,41.909,0.012,51.418,0.008,42.455,0.012,51.635,0.008,10.863,0.035,29.621,0.023,11.01,0.01,28.877,0.019,17.553,0.01,34.408,0.019,44.978,0.289,57.612,0.151,25.384,0.289,29.317,0.151,31.865,0.054,57.03,0.043,31.31,0.05,35.031,0.033,63.113,0.05,62.833,0.033
16.036,0.212,39.957,0.087,12.709,0.212,35.843,0.087,21.176,0.212,55.027,0.087,35.591,0.042,28.682,0.028,38.648,0.042,34.836,0.028,16.629,0.017,26.182,0.021,3.721,0.003,37.906,0.017,5.42,0.003,16.314,0.017,13.298,0.014,35.206,0.003,42.171,0.017,75.942,0.021,13.623,0.01,32.101,0.007,27.804,0.017,29.918,0.014,42.401,0.017,51.716,0.014,42.501,0.017,51.868,0.014,10.781,0.027,29.242,0.014,11.193,0.014,28.586,0.017,17.749,0.014,34.499,0.017,44.99,0.298,57.362,0.153,25.114,0.298,29.362,0.153,32.284,0.05,57.537,0.021,32.661,0.045,36.396,0.033,65.116,0.045,64.339,0.033
15.965,0.198,40.008,0.066,12.906,0.198,35.827,0.066,21.591,0.198,55.08,0.066,34.493,0.028,28.011,0.014,37.897,0.028,34.234,0.014,16.799,0.007,26.038,0.007,3.736,0.014,37.467,0.003,5.434,0.014,16.205,0.003,12.825,0.007,33.65,0.014,42.282,0.024,75.237,0.021,13.684,0.003,32.084,0.003,27.744,0.025,29.655,0.019,42.45,0.025,51.856,0.019,42.509,0.025,52.105,0.019,10.094,0.037,26.936,0.008,11.294,0.025,28.697,0.023,18.082,0.025,34.468,0.023,45.13,0.244,57.33,0.157,25,0.244,29.405,0.157,33.258,0.056,58.777,0.045,30.646,0.039,34.253,0.035,62.41,0.039,61.604,0.035
16.149,0.281,40.248,0.045,13.416,0.281,36.197,0.045,22.187,0.281,54.997,0.045,34.618,0.038,27.897,0.021,38.045,0.038,34.19,0.021,17.043,0.014,26.175,0.003,3.753,0.031,37.099,0.021,5.513,0.031,16.205,0.021,13.598,0.017,35.481,0.003,42.403,0.042,75.149,0.028,13.681,0.024,31.941,0.01,28.07,0.019,30.272,0.017,42.954,0.019,52.203,0.017,42.7,0.019,52.555,0.017,10.304,0.017,27.402,0.017,11.333,0.033,28.563,0.006,18.281,0.033,34.61,0.006,45.063,0.306,57.412,0.19,24.844,0.306,28.87,0.19,32.556,0.043,57.441,0.029,30.598,0.058,34.083,0.037,62.385,0.058,61.72,0.037
15.862,0.229,39.518,0.056,13.274,0.229,35.459,0.056,22.336,0.229,55.057,0.056,33.922,0.031,27.328,0.003,37.513,0.031,33.677,0.003,16.817,0.014,25.542,0.014,3.8,0.014,36.942,0.028,5.627,0.014,16.234,0.028,12.464,0.003,32.535,0.007,42.989,0.024,75.546,0.017,13.885,0.014,31.886,0.01,28.129,0.021,30.051,0.017,43.102,0.021,52.248,0.017,42.463,0.021,52.572,0.017,10.35,0.021,27.427,0.017,11.492,0.025,28.64,0.012,18.294,0.025,34.613,0.012,45.039,0.246,57.268,0.186,24.969,0.246,29.146,0.186,31.207,0.054,54.693,0.033,30,0.056,33.333,0.043,61.177,0.056,60.485,0.043
15.918,0.219,39.672,0.052,13.709,0.219,35.664,0.052,22.89,0.219,55.012,0.052,34.067,0.024,27.387,0.028,37.755,0.024,33.692,0.028,16.923,0.01,25.78,0.014,3.825,0.01,36.595,0.014,5.666,0.01,16.228,0.014,13.417,0.014,35.149,0.017,42.903,0.031,74.636,0,13.742,0.014,31.743,0.014,27.974,0.025,30.073,0.008,43.528,0.025,52.573,0.008,42.672,0.025,53.075,0.008,10.214,0.027,27.066,0.014,11.465,0.033,28.352,0.01,18.298,0.033,34.815,0.01,45.312,0.277,57.2,0.14,25.041,0.277,29.203,0.14,32.437,0.064,56.559,0.041,27.986,0.048,31.317,0.031,57.396,0.048,57.048,0.031
15.81,0.243,39.527,0.08,14.021,0.243,35.794,0.08,23.708,0.243,55.072,0.08,34.081,0.042,27.224,0.042,37.907,0.042,33.543,0.042,16.772,0.017,25.183,0.007,3.798,0.017,36.285,0.017,5.641,0.017,16.025,0.017,13.167,0.01,34.397,0.01,43.113,0.017,74.841,0.007,13.784,0.01,31.66,0.007,27.882,0.027,29.972,0.019,43.487,0.027,52.423,0.019,42.808,0.027,53.226,0.019,9.613,0.031,25.189,0.014,11.565,0.035,28.113,0.017,18.7,0.035,34.594,0.017,45.056,0.277,57.021,0.188,24.566,0.277,28.741,0.188,31.032,0.064,54.024,0.043,27.855,0.035,31.037,0.017,57.43,0.035,56.853,0.017
15.893,0.281,39.514,0.066,14.066,0.281,35.447,0.066,24.042,0.281,55.119,0.066,33.79,0.01,27.07,0.014,37.604,0.01,33.301,0.014,17.261,0.035,25.969,0.007,3.874,0.024,36.135,0.017,5.8,0.024,16.189,0.017,13.384,0.014,35.16,0.007,43.437,0.017,74.7,0.014,14.061,0.01,31.729,0.007,28.273,0.027,30.288,0.012,44.007,0.027,52.908,0.012,42.987,0.027,53.49,0.012,9.58,0.023,25.025,0.01,11.574,0.021,28.013,0.021,18.799,0.021,34.478,0.021,45.038,0.254,56.976,0.202,24.309,0.254,28.423,0.202,31.644,0.048,54.769,0.05,29.856,0.064,33.157,0.017,61.621,0.064,60.258,0.017
16.08,0.243,39.235,0.052,14.348,0.243,35.618,0.052,24.517,0.243,55.294,0.052,33.931,0.038,27.02,0.028,37.703,0.038,33.198,0.028,17.249,0.01,25.906,0.01,3.917,0.01,35.952,0.024,5.818,0.01,16.061,0.024,13.089,0.01,34.186,0.01,43.879,0.028,74.884,0.014,13.862,0.024,31.757,0.01,28.299,0.021,30.55,0.017,44.177,0.021,53.087,0.017,43.104,0.021,53.834,0.017,9.577,0.014,24.827,0.006,11.546,0.031,27.79,0.01,18.899,0.031,34.602,0.01,45.007,0.267,56.777,0.163,24.054,0.267,28.184,0.163,32.394,0.068,55.599,0.041,28.659,0.05,31.767,0.041,58.996,0.05,58.209,0.041
15.91,0.236,38.663,0.083,14.507,0.236,35.277,0.083,24.936,0.236,54.935,0.083,33.115,0.035,26.54,0.021,37.295,0.035,32.869,0.021,16.985,0.014,25.517,0.024,3.93,0.007,35.531,0.031,5.842,0.007,16.094,0.031,13.15,0.007,34.308,0.014,43.757,0.024,74.242,0.028,13.938,0.014,31.6,0.021,28.82,0.01,30.959,0.017,44.838,0.01,53.737,0.017,43.458,0.01,54.099,0.017,9.342,0.021,24.112,0.014,11.722,0.033,27.814,0.021,19.151,0.033,34.494,0.021,45.018,0.277,56.644,0.174,24.301,0.277,28.398,0.174,31.456,0.058,53.823,0.043,29.008,0.05,32.044,0.014,59.802,0.05,59.27,0.014
15.978,0.25,39.291,0.052,15.108,0.25,35.606,0.052,25.566,0.25,55.141,0.052,33.79,0.017,26.886,0.014,37.753,0.017,33.042,0.014,17.371,0.01,25.571,0.014,3.996,0.017,35.429,0.007,5.929,0.017,16.072,0.007,13.219,0,34.155,0.003,44.169,0.014,74.404,0.014,14.182,0.014,31.433,0.003,28.896,0.019,30.928,0.012,45.098,0.019,53.701,0.012,43.551,0.019,54.044,0.012,9.365,0.033,23.924,0.012,11.825,0.033,27.887,0.017,19.379,0.033,34.545,0.017,45.295,0.264,56.708,0.192,24.189,0.264,28.371,0.192,33.116,0.054,56.195,0.025,28.746,0.043,31.605,0.027,59.105,0.043,58.122,0.027
15.477,0.243,37.973,0.045,14.593,0.243,34.452,0.045,25.444,0.243,54.766,0.045,32.787,0.028,26.242,0.01,36.869,0.028,32.36,0.01,16.897,0.014,24.794,0.014,4.017,0.014,35.162,0.028,5.937,0.014,15.977,0.028,13.179,0.021,34.108,0.017,44.204,0.031,74.145,0.017,14.302,0.024,31.376,0.017,29,0.021,30.833,0.008,45.306,0.021,53.709,0.008,43.783,0.021,54.342,0.008,9.238,0.027,23.437,0.01,11.998,0.027,27.98,0.008,19.222,0.027,34.464,0.008,45.31,0.26,56.726,0.132,24.587,0.26,28.648,0.132,32.121,0.056,54.387,0.039,29.346,0.056,32.193,0.019,60.401,0.056,59.361,0.019
15.499,0.233,38.065,0.052,14.947,0.233,34.61,0.052,26.116,0.233,54.927,0.052,31.879,0.024,25.46,0.003,35.933,0.024,31.541,0.003,16.805,0.017,24.532,0.021,4.092,0.014,35.181,0.014,6.062,0.014,16.081,0.014,12.839,0.014,33.228,0.017,44.508,0.021,73.972,0.003,14.191,0.01,31.355,0.003,28.841,0.014,30.794,0.008,45.141,0.014,53.814,0.008,43.787,0.014,54.189,0.008,9.027,0.027,22.929,0.012,12.034,0.027,27.889,0.027,19.574,0.027,34.47,0.027,45.394,0.298,56.543,0.163,23.982,0.298,27.949,0.163,32.7,0.054,55.141,0.052,29.592,0.052,32.32,0.029,61.007,0.052,59.828,0.029
15.299,0.208,37.476,0.062,14.97,0.208,34.353,0.062,26.504,0.208,54.721,0.062,31.789,0.024,25.381,0.007,35.931,0.024,31.551,0.007,17.371,0.038,25.454,0.01,4.183,0.01,35.021,0.017,6.074,0.01,16.126,0.017,12.954,0.014,33.189,0.003,45.018,0.024,74.585,0.024,14.359,0.007,31.354,0.01,29.149,0.029,30.909,0.021,45.526,0.029,53.849,0.021,44.018,0.029,54.398,0.021,9.456,0.029,23.822,0.023,12.065,0.019,27.752,0.033,19.535,0.019,34.492,0.033,45.391,0.287,56.683,0.182,24.056,0.287,28.024,0.182,31.707,0.045,53.593,0.052,30.593,0.037,33.411,0.025,63.156,0.037,61.649,0.025
