kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_5-488,kl-3_5-BG,kl-3_5-568,kl-3_5-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_13-488,kl-3_13-BG,kl-3_13-568,kl-3_13-BG,kl-3_14-488,kl-3_14-BG,kl-3_14-568,kl-3_14-BG,kl-3_15-488,kl-3_15-BG,kl-3_15-568,kl-3_15-BG,kl-3_16-488,kl-3_16-BG,kl-3_16-568,kl-3_16-BG,kl-3_17-488,kl-3_17-BG,kl-3_17-568,kl-3_17-BG
68.146,0.45,62.98,0.129,13.46,0.043,61.809,0.021,13.62,0.043,67.535,0.021,65.384,0.074,66.656,0.018,32.445,0.186,31.096,0.171,11.114,0.412,70.43,0.181,9.98,0.412,77.623,0.181,91.021,0.014,91.554,0,44.515,0.014,76.048,0,43.505,0,70.851,0.171,55.687,0,79.587,0,4.58,0,6.496,0,41.919,0.313,66.981,0.101,19.66,0.687,33.387,0.404,14.441,0.687,55.886,0.404,21.741,0.687,74.582,0.404,14.175,0.012,31.735,0.018
69.712,0.536,62.991,0.157,13.804,0.036,61.068,0.036,13.782,0.036,68.071,0.036,67.877,0.1,66.921,0.035,32.73,0.079,31.205,0.036,11.075,0.307,67.659,0.147,8.974,0.307,76.004,0.147,88.789,0.056,88.763,0.042,44.026,0.056,71.814,0.042,41.858,0,65.314,0.036,54.569,0,74.907,0.028,4.349,0,5.981,0.028,39.821,0.356,66.232,0.083,19.921,0.685,33.141,0.404,14.624,0.685,55.671,0.404,22.007,0.685,74.582,0.404,14.616,0.02,31.216,0.008
71.162,0.5,62.637,0.193,14.179,0.064,61.505,0.029,14.008,0.064,67.386,0.029,68.782,0.085,65.714,0.006,33.055,0.071,31.146,0.036,11.227,0.277,67.316,0.122,8.995,0.277,75.773,0.122,89.27,0.014,88.105,0,45.537,0.014,71.678,0,43.151,0.042,64.981,0.036,56.181,0.042,74.966,0.028,4.449,0.042,5.95,0.028,38.061,0.331,66.217,0.097,20.41,0.731,33.036,0.455,15.065,0.731,55.787,0.455,22.353,0.731,74.6,0.455,15.029,0.016,30.819,0.01
72.924,0.393,63.106,0.136,14.263,0.029,59.943,0.036,14.153,0.029,68.98,0.036,69.133,0.065,65.199,0.032,32.149,0.021,30.156,0.014,11.522,0.307,67.71,0.097,9.167,0.307,75.529,0.097,89.977,0.014,87.974,0.014,47.124,0.014,71.106,0.014,44.382,0,64.285,0.014,57.781,0,74.601,0.028,4.545,0,5.886,0.028,36.18,0.307,65.763,0.075,20.535,0.699,33.011,0.396,15.157,0.699,55.698,0.396,22.52,0.699,74.423,0.396,15.701,0.024,30.974,0.014
74.06,0.393,63.004,0.107,14.865,0.071,60.118,0.014,14.352,0.071,68.533,0.014,69.258,0.047,64.662,0.035,31.787,0.021,30.343,0.036,11.765,0.382,67.671,0.113,9.313,0.382,75.594,0.113,90.783,0,87.845,0,49.067,0,71.364,0,46.327,0,64.898,0.036,59.751,0,75.307,0,4.706,0,5.945,0,34.546,0.341,65.898,0.095,20.763,0.612,32.714,0.372,15.419,0.612,55.503,0.372,22.759,0.612,74.33,0.372,16.377,0.03,30.967,0.006
75.532,0.393,63.123,0.086,15.193,0.064,59.805,0.014,14.505,0.064,69.308,0.014,69.319,0.076,64.492,0.015,30.69,0.079,29.636,0.043,11.852,0.353,67.191,0.13,9.396,0.353,75.33,0.13,91.384,0.014,87.99,0.014,50.868,0.014,71.445,0.014,48.093,0,65.123,0.043,61.318,0,75.375,0.028,4.836,0,5.961,0.028,32.992,0.323,66.147,0.081,20.685,0.648,32.564,0.384,15.447,0.648,55.203,0.384,22.899,0.648,74.202,0.384,16.788,0.02,30.663,0.02
75.814,0.386,63.089,0.114,15.738,0.029,60.467,0.021,14.706,0.029,68.525,0.021,69.293,0.082,64.329,0.021,29.774,0.136,29.763,0.093,11.921,0.286,67.502,0.088,9.483,0.286,75.213,0.088,91.957,0.042,88.134,0.056,52.741,0.042,72.052,0.056,50.012,0,65.718,0.093,63.047,0,75.734,0.014,4.984,0,6.012,0.014,31.415,0.339,65.988,0.091,20.586,0.6,31.948,0.366,15.517,0.6,54.61,0.366,22.922,0.6,73.783,0.366,17.342,0.016,30.501,0.016
75.979,0.379,63.519,0.114,15.663,0.043,58.593,0.021,14.7,0.043,69.841,0.021,68.666,0.065,63.3,0.029,28.94,0.064,29.873,0.043,11.808,0.307,66.794,0.097,9.227,0.307,75.015,0.097,91.199,0.014,87.525,0.014,53.641,0.014,70.966,0.014,49.772,0.014,63.901,0.043,62.832,0.014,74.561,0,4.928,0.014,5.856,0,29.743,0.301,65.98,0.093,20.155,0.586,31.733,0.356,15.326,0.586,53.983,0.356,22.831,0.586,73.244,0.356,17.903,0.02,30.573,0.014
75.238,0.393,63.676,0.086,15.685,0.043,57.798,0.014,14.671,0.043,70.681,0.014,68.702,0.05,63.507,0.029,27.407,0.086,29.56,0.043,11.612,0.244,66.703,0.097,9.169,0.244,74.829,0.097,89.934,0.042,86.628,0.014,53.779,0.042,69.512,0.014,49.429,0.014,62.205,0.043,62.338,0.014,73.338,0.028,4.862,0.014,5.708,0.028,28.164,0.275,66.016,0.089,19.858,0.592,31.283,0.356,15.286,0.592,53.764,0.356,22.796,0.592,73.089,0.356,18.536,0.022,30.53,0.014
73.724,0.357,63.606,0.114,15.327,0.043,55.652,0.036,14.523,0.043,71.771,0.036,68.318,0.065,63.233,0.044,26.57,0.064,29.443,0.043,11.478,0.319,66.289,0.155,9.023,0.319,74.654,0.155,89.051,0.028,85.862,0,54.171,0.028,68.85,0,49.551,0.042,61.47,0.043,62.587,0.042,72.769,0.028,4.859,0.042,5.639,0.028,26.716,0.287,65.557,0.095,19.428,0.564,31.05,0.38,15.19,0.564,53.337,0.38,22.786,0.564,72.501,0.38,18.835,0.022,30.433,0.024
72.458,0.4,63.493,0.093,15.65,0.021,57.113,0.007,14.423,0.021,70.864,0.007,67.984,0.076,62.532,0.021,25.596,0.057,29.011,0.05,11.48,0.34,66.333,0.118,8.914,0.34,74.426,0.118,87.706,0,85.139,0,54.356,0,67.66,0,49.3,0.028,59.912,0.05,62.123,0.028,71.437,0.028,4.804,0.028,5.505,0.028,25.298,0.313,65.228,0.069,19.079,0.554,30.606,0.339,15.055,0.554,52.656,0.339,22.526,0.554,71.94,0.339,19.245,0.018,30.071,0.016
70.847,0.271,63.696,0.107,15.459,0.064,56.025,0.043,14.312,0.064,71.357,0.043,67.703,0.068,62.331,0.024,24.691,0.057,28.621,0.043,11.249,0.286,66.109,0.105,8.962,0.286,74.117,0.105,86.74,0.028,84.382,0.014,54.521,0.028,66.873,0.014,49.041,0.014,58.843,0.043,62.078,0.014,70.59,0.014,4.774,0.014,5.419,0.014,24.027,0.301,64.736,0.075,18.697,0.495,29.979,0.307,14.892,0.495,52.099,0.307,22.384,0.495,71.32,0.307,19.415,0.026,29.667,0.016
69.442,0.293,63.433,0.107,15.475,0.079,55.31,0.007,14.213,0.079,71.576,0.007,67.682,0.065,62.078,0.029,24.096,0.014,28.186,0.021,11.247,0.303,65.681,0.059,8.883,0.303,74.011,0.059,85.421,0.014,83.26,0,54.393,0.014,65.407,0,48.469,0.014,57.399,0.021,61.262,0.014,69.561,0.014,4.698,0.014,5.303,0.014,23.009,0.315,64.545,0.055,18.375,0.477,29.878,0.263,14.835,0.477,51.552,0.263,22.465,0.477,70.996,0.263,19.688,0.018,29.391,0.01
67.911,0.271,63.169,0.071,15.862,0.036,57.991,0.007,14.131,0.036,70.01,0.007,68.046,0.047,62.211,0.021,22.946,0.064,27.644,0.1,11.128,0.286,64.794,0.105,8.66,0.286,73.079,0.105,84.421,0.083,82.273,0.014,54.359,0.083,64.657,0.014,48.099,0.014,56.186,0.1,60.512,0.014,68.556,0,4.643,0.014,5.197,0,21.863,0.339,63.497,0.083,18.197,0.465,29.466,0.277,14.813,0.465,50.942,0.277,22.341,0.465,70.612,0.277,19.836,0.014,28.9,0.014
66.675,0.279,63.237,0.079,15.446,0.029,55.958,0.036,13.957,0.029,71.054,0.036,67.836,0.044,61.833,0.012,22.169,0.05,27.154,0.064,11.012,0.286,64.901,0.092,8.557,0.286,72.851,0.092,83.881,0,81.908,0.042,54.738,0,64.059,0.042,48.099,0,55.756,0.064,60.678,0,68.175,0,4.638,0,5.159,0,20.877,0.315,63.113,0.057,18.085,0.493,29.397,0.333,14.901,0.493,51.25,0.333,22.576,0.493,70.645,0.333,19.993,0.016,28.638,0
65.436,0.357,63.18,0.1,15.526,0.029,56.642,0.029,13.885,0.029,70.405,0.029,67.99,0.071,62.115,0.026,22.421,0.021,27.799,0.05,10.984,0.307,64.059,0.105,8.564,0.307,72.393,0.105,82.711,0.014,80.856,0.014,54.472,0.014,62.892,0.014,47.627,0.042,54.58,0.05,60.035,0.042,67.419,0.028,4.584,0.042,5.073,0.028,20.051,0.297,62.934,0.081,17.705,0.432,29.02,0.301,14.742,0.432,50.39,0.301,22.493,0.432,69.926,0.301,19.083,0.022,27.167,0.014
64.214,0.329,63.002,0.064,15.491,0.021,56.25,0.029,13.792,0.021,70.256,0.029,68.08,0.076,61.674,0.032,21.966,0.086,27.056,0.057,10.788,0.315,63.002,0.139,8.211,0.315,71.49,0.139,82.215,0.028,80.461,0.042,54.576,0.028,62.552,0.042,47.636,0,54.047,0.057,59.983,0,67.006,0,4.571,0,5.028,0,19.21,0.297,61.897,0.077,17.691,0.444,28.637,0.283,14.825,0.444,49.851,0.283,22.647,0.444,69.707,0.283,18.903,0.018,26.515,0.006
63.354,0.25,62.998,0.114,15.032,0.057,54.533,0.029,13.62,0.057,70.824,0.029,67.125,0.068,60.708,0.012,21.069,0.007,26.242,0.014,10.674,0.311,62.872,0.092,8.172,0.311,70.817,0.092,81.746,0,80.024,0.014,54.653,0,61.753,0.014,47.288,0.014,53.07,0.014,59.518,0.014,66.444,0.028,4.528,0.014,4.955,0.028,18.415,0.321,61.338,0.061,17.608,0.444,28.535,0.257,14.876,0.444,49.909,0.257,22.73,0.444,69.554,0.257,18.327,0.024,25.438,0.014
62.527,0.314,62.867,0.071,15.45,0.036,56.625,0.05,13.68,0.036,69.527,0.05,67.315,0.05,60.743,0.035,20.437,0.029,25.617,0.007,10.853,0.307,63.209,0.105,8.155,0.307,71.256,0.105,80.292,0.014,78.684,0,53.42,0.014,60.247,0,45.823,0.056,51.313,0.007,58.193,0.056,64.961,0,4.398,0.056,4.804,0,18.039,0.333,61.813,0.083,17.501,0.511,28.499,0.271,14.991,0.511,49.48,0.271,22.886,0.511,69.35,0.271,18.325,0.016,25.08,0.016
61.574,0.307,62.849,0.057,15.183,0.05,55.353,0.014,13.48,0.05,70.599,0.014,67.073,0.071,60.683,0.032,20.364,0.021,25.623,0.029,10.852,0.265,63.374,0.092,8.385,0.265,71.254,0.092,79.504,0.028,78.018,0.014,53.351,0.028,59.531,0.014,45.561,0.028,50.644,0.029,57.949,0.028,64.414,0,4.371,0.028,4.751,0,17.132,0.368,60.046,0.063,17.477,0.404,28.113,0.253,15.111,0.404,49.243,0.253,23.156,0.404,69.313,0.253,18.313,0.01,25.017,0.018
60.903,0.3,63.028,0.107,14.98,0.093,54.49,0.029,13.349,0.093,70.587,0.029,66.404,0.074,59.74,0.041,20.298,0.043,25.485,0.014,10.928,0.286,62.694,0.071,8.271,0.286,70.583,0.071,78.584,0.028,76.923,0,52.697,0.028,58.447,0,44.821,0,49.525,0.014,57.556,0,63.859,0,4.312,0,4.675,0,16.728,0.293,59.819,0.073,17.329,0.416,28.146,0.244,15.236,0.416,48.995,0.244,23.386,0.416,69.211,0.244,18.521,0.01,24.934,0.01
60.392,0.207,62.965,0.057,15.253,0.107,56.011,0.036,13.307,0.107,70.295,0.036,65.188,0.038,58.561,0.032,20.628,0.014,25.764,0.043,10.91,0.34,62.537,0.101,8.189,0.34,70.207,0.101,77.931,0,76.314,0.028,52.515,0,57.845,0.028,44.35,0,48.77,0.043,56.998,0,63.094,0,4.264,0,4.608,0,16.113,0.309,59.049,0.073,17.293,0.372,27.685,0.275,15.313,0.372,48.695,0.275,23.604,0.372,68.832,0.275,18.217,0.034,24.427,0.012
60.014,0.307,62.979,0.107,15.291,0.064,56.167,0.021,13.187,0.064,70.118,0.021,66.352,0.082,59.426,0.012,20.701,0.021,26.172,0.036,10.839,0.311,61.514,0.08,8.022,0.311,69.214,0.08,77.883,0.014,76.424,0.014,52.733,0.014,57.936,0.014,44.508,0,48.571,0.036,57.47,0,63.167,0.014,4.286,0,4.602,0.014,15.558,0.307,57.794,0.069,17.268,0.356,27.396,0.24,15.369,0.356,48.178,0.24,23.878,0.356,68.539,0.24,18.201,0.012,24.166,0.022
59.462,0.279,63.009,0.043,15.137,0.029,55.681,0.021,13.044,0.029,70.35,0.021,65.469,0.071,58.754,0.035,20.505,0.043,26.017,0.021,10.874,0.286,61.128,0.097,8.004,0.286,69.105,0.097,77.333,0,75.705,0.028,52.819,0,57.347,0.028,44.259,0,48.21,0.021,57.223,0,62.834,0,4.26,0,4.565,0,15.257,0.364,57.383,0.075,17.061,0.372,27.243,0.204,15.477,0.372,47.548,0.204,24.069,0.372,68.106,0.204,18.221,0.01,24.067,0.012
59.039,0.271,62.904,0.036,15.068,0.079,54.783,0.036,12.931,0.079,70.642,0.036,66.258,0.074,59.093,0.032,20.799,0.021,26.2,0.036,10.863,0.349,60.857,0.076,8.062,0.349,68.426,0.076,76.687,0.028,75.173,0,52.399,0.028,56.596,0,43.68,0.014,47.385,0.036,56.999,0.014,62.155,0,4.214,0.014,4.503,0,15.213,0.323,58.284,0.069,16.999,0.352,27.017,0.234,15.629,0.352,47.588,0.234,24.31,0.352,68.031,0.234,18.149,0.012,23.598,0.008
58.591,0.221,62.87,0.071,14.968,0.071,54.272,0.029,12.924,0.071,70.811,0.029,66.015,0.062,58.602,0.029,20.387,0.021,25.743,0.021,10.921,0.303,60.542,0.092,7.962,0.303,67.974,0.092,74.739,0.028,73.456,0,50.695,0.028,54.82,0,41.995,0.056,45.557,0.021,55.63,0.056,60.542,0.042,4.087,0.056,4.355,0.042,14.929,0.327,58.399,0.069,17.067,0.358,26.973,0.198,15.767,0.358,47.312,0.198,24.703,0.358,67.627,0.198,18.033,0.018,23.494,0.006
58.324,0.307,62.878,0.1,15.004,0.079,54.426,0.014,12.806,0.079,70.766,0.014,66.181,0.062,58.604,0.021,20.294,0.05,25.724,0.021,11.135,0.29,60.74,0.084,8.121,0.29,68.173,0.084,74.17,0,72.937,0,50.773,0,54.59,0,41.937,0.028,45.335,0.021,55.786,0.028,60.373,0.028,4.083,0.028,4.336,0.028,14.615,0.323,57.04,0.059,17.083,0.398,26.9,0.208,15.991,0.398,47.312,0.208,25.135,0.398,67.651,0.208,17.466,0.016,22.731,0.012
57.817,0.25,62.604,0.071,14.805,0.036,53.085,0.021,12.681,0.036,71.304,0.021,65.963,0.05,58.302,0.029,20.457,0.014,25.703,0.029,11.295,0.324,60.667,0.088,8.173,0.324,67.878,0.088,73.057,0,72.011,0,50.23,0,53.674,0,41.204,0,44.361,0.029,55.431,0,59.78,0,4.032,0,4.267,0,14.311,0.341,56.692,0.063,17.001,0.329,26.592,0.257,16.108,0.329,46.605,0.257,25.383,0.329,67.287,0.257,17.277,0.016,22.289,0.004
57.442,0.193,62.375,0.093,14.504,0.071,52.387,0.036,12.676,0.071,71.539,0.036,66.051,0.065,58.091,0.012,20.158,0.021,25.482,0.021,11.285,0.269,60.644,0.097,8.201,0.269,67.732,0.097,71.942,0.028,70.997,0.014,49.433,0.028,52.667,0.014,40.602,0,43.544,0.021,54.858,0,59.253,0.042,3.983,0,4.209,0.042,14.028,0.388,56.467,0.057,16.976,0.307,26.563,0.238,16.256,0.307,46.544,0.238,25.722,0.307,67.012,0.238,16.758,0.016,21.629,0.016
57.544,0.264,62.458,0.064,14.725,0.057,52.69,0.021,12.634,0.057,71.422,0.021,66.371,0.044,58.376,0.012,19.481,0.086,24.664,0.043,11.382,0.239,60.217,0.118,8.219,0.239,67.51,0.118,71.574,0.014,70.468,0.014,49.18,0.014,52.261,0.014,40.268,0.028,43.164,0.043,55.133,0.028,58.774,0.014,3.97,0.028,4.174,0.014,13.989,0.329,56.747,0.091,17.116,0.341,26.525,0.24,16.51,0.341,46.339,0.24,26.199,0.341,67.017,0.24,16.49,0.024,21.134,0.012
57.451,0.2,62.381,0.064,14.64,0.014,51.86,0.029,12.63,0.014,71.61,0.029,65.921,0.056,57.706,0.029,19.686,0.029,24.87,0.021,11.506,0.412,60.065,0.134,8.383,0.412,67.427,0.134,70.975,0.028,69.999,0,48.934,0.028,51.82,0,40.071,0.014,42.693,0.021,54.544,0.014,58.332,0,3.94,0.014,4.131,0,13.505,0.309,55.477,0.057,16.966,0.317,26.25,0.222,16.716,0.317,46.1,0.222,26.582,0.317,66.742,0.222,16.622,0.018,21.324,0.018
57.061,0.307,62.051,0.1,14.702,0.064,51.385,0.021,12.555,0.064,71.474,0.021,65.213,0.071,56.921,0.029,19.708,0.043,24.776,0.021,11.682,0.252,59.729,0.109,8.449,0.252,67.581,0.109,70.119,0.028,69.056,0,48.524,0.028,51.103,0,39.425,0.028,41.864,0.021,54.192,0.028,58.111,0,3.897,0.028,4.088,0,13.114,0.319,54.151,0.067,16.955,0.327,25.9,0.234,16.773,0.327,45.653,0.234,26.922,0.327,66.457,0.234,16.34,0.02,20.905,0.012
57.061,0.279,62.111,0.071,14.923,0.064,51.741,0.036,12.595,0.064,71.397,0.036,65.05,0.059,56.732,0.018,19.732,0.007,24.595,0.021,11.836,0.269,59.993,0.084,8.58,0.269,66.929,0.084,69.679,0.028,68.673,0,48.209,0.028,50.546,0,39.146,0,41.425,0.021,54.161,0,57.477,0,3.878,0,4.04,0,12.853,0.38,53.784,0.061,17.007,0.285,25.789,0.204,17.005,0.285,45.496,0.204,27.331,0.285,66.316,0.204,16.569,0.014,20.993,0.008
57.046,0.236,62.175,0.086,14.946,0.036,51.232,0,12.61,0.036,71.408,0,65.776,0.062,56.969,0.026,19.584,0.014,24.699,0.014,11.613,0.315,59.132,0.105,8.524,0.315,66.694,0.105,69.575,0.042,68.302,0.014,48.379,0.042,50.459,0.014,39.286,0,41.2,0.014,54.394,0,57.196,0.014,3.888,0,4.024,0.014,13.039,0.317,54.666,0.061,16.841,0.327,25.702,0.17,17.196,0.327,44.949,0.17,27.602,0.327,65.91,0.17,16.585,0.012,21.121,0.022
57.351,0.3,62.082,0.086,15.428,0.064,52.876,0.021,12.67,0.064,70.911,0.021,65.351,0.079,56.56,0.012,19.526,0.021,24.557,0.057,11.84,0.269,59.762,0.109,8.64,0.269,66.562,0.109,68.562,0,67.447,0,47.614,0,49.391,0,38.416,0.014,40.332,0.057,53.728,0.014,56.518,0.014,3.825,0.014,3.95,0.014,12.916,0.354,54.017,0.061,16.888,0.273,25.517,0.19,17.323,0.273,44.998,0.19,28.081,0.273,65.798,0.19,16.212,0.014,20.616,0.012
57.377,0.2,62.303,0.071,15.51,0.021,53.188,0.036,12.615,0.021,70.937,0.036,65.187,0.074,56.28,0.012,19.385,0.007,24.313,0.021,12.089,0.277,59.334,0.143,8.791,0.277,66.574,0.143,67.515,0.014,66.092,0.014,46.725,0.014,48.353,0.014,37.714,0,39.301,0.021,53.086,0,55.586,0.014,3.77,0,3.877,0.014,12.818,0.404,54.289,0.081,16.822,0.341,25.371,0.184,17.621,0.341,44.767,0.184,28.519,0.341,65.779,0.184,16.148,0.02,20.539,0.014
57.07,0.236,62.003,0.086,15.436,0.071,51.501,0.029,12.588,0.071,71.236,0.029,65.345,0.047,56.165,0.018,19.342,0.029,24.08,0.036,12.139,0.307,59.307,0.092,8.76,0.307,66.327,0.092,66.964,0.014,65.417,0,46.506,0.014,47.813,0,37.259,0.028,38.688,0.036,52.861,0.028,55.186,0.014,3.742,0.028,3.828,0.014,12.622,0.333,53.773,0.079,16.794,0.309,25.234,0.164,17.707,0.309,44.598,0.164,28.94,0.309,65.552,0.164,16.078,0.02,20.467,0.01
57.149,0.214,61.917,0.036,15.438,0.057,50.994,0.021,12.658,0.057,71.603,0.021,66.947,0.041,57.468,0.038,19.378,0.036,24.013,0.029,12.232,0.252,58.908,0.071,8.763,0.252,65.744,0.071,66.06,0.014,64.343,0,45.966,0.014,46.865,0,37.053,0.014,38.157,0.029,52.625,0.014,54.667,0,3.715,0.014,3.788,0,12.309,0.299,52.829,0.067,16.725,0.339,25.251,0.156,17.993,0.339,44.395,0.156,29.374,0.339,65.308,0.156,15.78,0.008,20.191,0.022
